,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,33.93,949363200,14.97,949320000,0.75,Camas,23.1,0.84,949302000Camas,43.40809133,-114.7397043,0.85,1.216,0.0046,0.026,949348800,0.63,snow,1023.71,ID,949330655,949366179,38.42,949363200,23.03,949330800,949302000,7.1,118,3.4
0,2000-02-29 00:00:00,40.61,951858000,26.56,951825600,0.7,Camas,30.75,0.76,951807600Camas,43.40809133,-114.7397043,0.83,,0.0053,0.021,951858000,0.61,rain,1015.59,ID,951833833,951874105,45.12,951858000,32.02,951825600,951807600,8.64,160,4.79
0,2000-03-31 00:00:00,58.8,954547200,24.57,954504000,0.04,Camas,21.02,0.46,954486000Camas,43.40809133,-114.7397043,0.86,,0,0,,0,,1027.6,ID,954508937,954554745,58.8,954547200,27.26,954507600,954486000,9.61,303,4.3
0,2000-04-30 00:00:00,76.5,957139200,29.21,957096000,0.06,Camas,24.89,0.39,957074400Camas,43.40809133,-114.7397043,0.88,,0,0,,0,,1024.25,ID,957098004,957148869,76.5,957139200,32.75,957099600,957074400,9.66,124,4.45
0,2000-05-31 00:00:00,71.69,959817600,31.1,959770800,0.13,Camas,29.61,0.48,959752800Camas,43.40809133,-114.7397043,0.93,,0.0002,0.0054,959810400,0.24,rain,1017.68,ID,959774566,959829221,71.69,959817600,37.68,959770800,959752800,9.28,270,7.46
0,2000-06-30 00:00:00,85.96,962398800,57.37,962366400,0.16,Camas,43.8,0.35,962344800Camas,43.40809133,-114.7397043,0.96,,0.0027,0.0493,962406000,0.71,rain,1007.58,ID,962366591,962421879,89.41,962398800,57.37,962366400,962344800,9.49,144,3.41
0,2000-07-31 00:00:00,99.37,965084400,63.48,965044800,0.16,Camas,49.37,0.35,965023200Camas,43.40809133,-114.7397043,0.03,,0,0,,0,,1012,ID,965046580,965099002,101.37,965084400,63.48,965044800,965023200,9.69,287,1.32
0,2000-08-31 00:00:00,73.19,967755600,52.07,967726800,0.37,Camas,46.17,0.57,967701600Camas,43.40809133,-114.7397043,0.09,,0.0051,0.0495,967766400,0.71,rain,1007.71,ID,967727045,967774621,73.19,967755600,52.07,967726800,967701600,9.36,168,4.99
0,2000-09-30 00:00:00,74.19,970351200,48.5,970322400,0.2,Camas,41.18,0.5,970293600Camas,43.40809133,-114.7397043,0.1,,0,0,,0,,1014.07,ID,970321035,970363354,74.19,970351200,48.5,970322400,970293600,9.72,231,4.98
0,2000-10-31 00:00:00,43.15,973029600,28.65,973054800,0.49,Camas,32.59,0.74,972975600Camas,43.40809133,-114.7397043,0.15,,0.0007,0.0145,973036800,0.56,rain,1017.75,ID,973001707,973038746,47.45,973029600,35.94,973004400,972975600,8.54,289,9.41
0,2000-11-30 00:00:00,39.5,975618000,20.05,975592800,0.32,Camas,26.45,0.78,975567600Camas,43.40809133,-114.7397043,0.15,,0.0001,0.0027,975600000,0.08,rain,1026.83,ID,975595978,975629152,42.06,975618000,26.28,975650400,975567600,9.29,225,2.92
0,2000-12-31 00:00:00,20.47,978307200,9.99,978271200,0.83,Camas,18.96,0.88,978246000Camas,43.40809133,-114.7397043,0.19,,0,0,,0,,1034.2,ID,978275573,978308043,26.15,978307200,18.41,978274800,978246000,4.81,291,2.71
0,2001-01-31 00:00:00,21.1,980971200,2.75,980946000,0.54,Camas,14.11,0.79,980924400Camas,43.40809133,-114.7397043,0.23,0.267,0.0006,0.0043,980946000,0.17,snow,1031.78,ID,980953008,980988639,29.02,980971200,13.14,980953200,980924400,7.79,242,4.16
0,2001-02-28 00:00:00,36.1,983404800,5.96,983372400,0.02,Camas,14.13,0.64,983343600Camas,43.40809133,-114.7397043,0.17,,0,0,,0,,1020.39,ID,983369859,983410085,39.29,983404800,14.21,983368800,983343600,9.54,26,1.36
0,2001-03-31 00:00:00,55.47,986083200,26.64,986047200,0.44,Camas,28.04,0.56,986022000Camas,43.40809133,-114.7397043,0.23,,0.0038,0.0215,986097600,0.61,rain,1016.38,ID,986044965,986090726,55.47,986083200,30.22,986040000,986022000,9.57,218,2.5
0,2001-04-30 00:00:00,69.71,988671600,41.1,988635600,0.55,Camas,36.42,0.48,988610400Camas,43.40809133,-114.7397043,0.25,,0.0057,0.0435,988678800,0.7,rain,1014.62,ID,988634026,988684850,69.71,988671600,43.53,988635600,988610400,9.4,236,4.11
0,2001-05-31 00:00:00,83.05,991353600,46.29,991306800,0.04,Camas,38.44,0.41,991288800Camas,43.40809133,-114.7397043,0.32,,0,0,,0,,1018.24,ID,991310574,991365208,86.46,991353600,48.37,991314000,991288800,9.78,253,5.15
0,2001-06-30 00:00:00,85.89,993942000,53.03,993902400,0.15,Camas,46.15,0.44,993880800Camas,43.40809133,-114.7397043,0.34,,0,0,,0,,1012.12,ID,993902583,993957881,89.49,993942000,53.03,993902400,993880800,9.89,241,1.83
0,2001-07-31 00:00:00,81.93,996624000,41.68,996584400,0.16,Camas,42.8,0.6,996559200Camas,43.40809133,-114.7397043,0.39,,0.0002,0.0035,996598800,0.13,rain,1015.46,ID,996582563,996635020,84.88,996624000,45.6,996584400,996559200,9.83,255,4.78
0,2001-08-31 00:00:00,83.42,999298800,56.8,999262800,0.09,Camas,44.21,0.4,999237600Camas,43.40809133,-114.7397043,0.43,,0,0,,0,,1008.62,ID,999263028,999310648,86.55,999298800,56.8,999262800,999237600,9.85,203,0.48
0,2001-09-30 00:00:00,79.64,1001894400,37.85,1001851200,0,Camas,33.47,0.45,1001829600Camas,43.40809133,-114.7397043,0.44,,0,0,,0,,1021.45,ID,1001857017,1001899382,79.64,1001894400,41.83,1001858400,1001829600,9.91,101,1.59
0,2001-10-31 00:00:00,51.9,1004565600,36.81,1004536800,0.73,Camas,37.63,0.69,1004511600Camas,43.40809133,-114.7397043,0.48,,0.0047,0.0249,1004511600,0.63,rain,1011.81,ID,1004537687,1004574767,51.9,1004565600,42.35,1004536800,1004511600,8.45,238,8.36
0,2001-11-30 00:00:00,22.82,1007164800,10.16,1007132400,0.45,Camas,18.46,0.77,1007103600Camas,43.40809133,-114.7397043,0.49,0.094,0.0003,0.0025,1007114400,0.07,snow,1014.35,ID,1007131961,1007165158,33.95,1007164800,17.77,1007128800,1007103600,9.27,195,6.1
0,2001-12-31 00:00:00,26.73,1009832400,16.14,1009803600,0.99,Camas,25.53,0.89,1009782000Camas,43.40809133,-114.7397043,0.55,0.793,0.0034,0.0127,1009810800,0.54,snow,1020.87,ID,1009811572,1009844030,31.2,1009832400,25.77,1009807200,1009782000,5.1,62,2.96
0,2002-01-31 00:00:00,17.88,1012521600,3.22,1012492800,0.75,Camas,11.92,0.78,1012460400Camas,43.40809133,-114.7397043,0.61,0.058,0.0002,0.0019,1012532400,0.05,snow,1030.4,ID,1012489025,1012524618,25.54,1012521600,11.94,1012489200,1012460400,8.71,86,4.99
0,2002-02-28 00:00:00,23.49,1014930000,7.85,1014912000,0.5,Camas,16.03,0.65,1014879600Camas,43.40809133,-114.7397043,0.55,0.123,0.0007,0.0101,1014922800,0.51,snow,1016.36,ID,1014905885,1014946065,33.67,1014930000,21.2,1014908400,1014879600,9.44,305,7.41
0,2002-03-31 00:00:00,62.63,1017615600,28.76,1017576000,0.06,Camas,25.75,0.46,1017558000Camas,43.40809133,-114.7397043,0.61,,0,0,,0,,1018.73,ID,1017580993,1017626708,62.63,1017615600,33.85,1017583200,1017558000,9.85,241,5.68
0,2002-04-30 00:00:00,59.45,1020211200,42.79,1020168000,0.69,Camas,38.25,0.65,1020146400Camas,43.40809133,-114.7397043,0.63,,0.0034,0.0272,1020200400,0.64,rain,1006.89,ID,1020170048,1020220832,59.45,1020211200,43.34,1020171600,1020146400,9.92,257,4.9
0,2002-05-31 00:00:00,80.68,1022886000,54.11,1022850000,0.11,Camas,43.91,0.45,1022824800Camas,43.40809133,-114.7397043,0.68,,0.0001,0.0032,1022889600,0.11,rain,1010.43,ID,1022846582,1022901196,83.09,1022886000,54.11,1022850000,1022824800,9.77,262,5.54
0,2002-06-30 00:00:00,81.23,1025485200,54.29,1025438400,0,Camas,45.17,0.45,1025416800Camas,43.40809133,-114.7397043,0.69,,0,0,,0,,1013.01,ID,1025438575,1025493883,83.58,1025485200,54.29,1025438400,1025416800,9.96,268,5.02
0,2002-07-31 00:00:00,81.98,1028160000,57.56,1028120400,0.1,Camas,38.56,0.35,1028095200Camas,43.40809133,-114.7397043,0.73,,0,0,,0,,1013.9,ID,1028118546,1028171038,85.13,1028160000,57.56,1028120400,1028095200,9.95,266,6.89
