,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,37.93,949363200,21.32,949309200,0.62,Canyon,28.13,0.84,949302000Canyon,43.6288476,-116.7172884,0.85,0.853,0.0045,0.0382,949348800,0.68,snow,1023.65,ID,949331161,949366622,40.87,949363200,27.65,949330800,949302000,8.07,140,4.64
0,2000-02-29 00:00:00,43.94,951868800,27.92,951818400,0.71,Canyon,34.3,0.83,951807600Canyon,43.6288476,-116.7172884,0.83,,0.0061,0.0263,951847200,0.64,rain,1015.86,ID,951834320,951874567,46,951868800,35.72,951822000,951807600,9.07,150,5.37
0,2000-03-31 00:00:00,63.36,954547200,26.29,954511200,0.01,Canyon,24.94,0.46,954486000Canyon,43.6288476,-116.7172884,0.86,,0,0,,0,,1028.92,ID,954509402,954555229,63.36,954547200,31.48,954511200,954486000,9.8,317,8.91
0,2000-04-30 00:00:00,74.72,957139200,26.71,957099600,0.02,Canyon,27.27,0.42,957074400Canyon,43.6288476,-116.7172884,0.88,,0,0,,0,,1023.76,ID,957098449,957149373,74.72,957139200,32.67,957099600,957074400,9.82,128,7.11
0,2000-05-31 00:00:00,65.89,959817600,35.85,959770800,0.18,Canyon,33.06,0.51,959752800Canyon,43.6288476,-116.7172884,0.93,,0.0001,0.0036,959810400,0.13,rain,1019.51,ID,959774995,959829742,65.89,959817600,40.54,959774400,959752800,9.76,311,5.4
0,2000-06-30 00:00:00,89.53,962406000,56.2,962370000,0.04,Canyon,47.87,0.41,962344800Canyon,43.6288476,-116.7172884,0.96,,0.0001,0.0022,962409600,0.06,rain,1006.87,ID,962367017,962422402,93.09,962406000,56.2,962370000,962344800,9.53,48,1.02
0,2000-07-31 00:00:00,97.13,965091600,63.96,965048400,0.04,Canyon,57.12,0.51,965023200Canyon,43.6288476,-116.7172884,0.03,,0,0,,0,,1011.77,ID,965047019,965099512,98.53,965091600,63.96,965048400,965023200,9.1,8,1.95
0,2000-08-31 00:00:00,76.81,967759200,45.38,967730400,0.13,Canyon,45.93,0.54,967701600Canyon,43.6288476,-116.7172884,0.09,,0.0052,0.0449,967762800,0.7,rain,1007.05,ID,967727504,967775111,76.81,967759200,48.97,967726800,967701600,9.59,144,7.2
0,2000-09-30 00:00:00,77.52,970351200,42.62,970315200,0.21,Canyon,44.31,0.55,970293600Canyon,43.6288476,-116.7172884,0.1,,0,0,,0,,1014.38,ID,970321514,970363824,77.52,970351200,45.74,970318800,970293600,9.78,126,1.44
0,2000-10-31 00:00:00,52.93,973029600,28.4,972997200,0.13,Canyon,32.2,0.65,972975600Canyon,43.6288476,-116.7172884,0.15,,0,0,,0,,1019.96,ID,973002208,973039195,52.93,973029600,36.56,973004400,972975600,9.68,310,12.93
0,2000-11-30 00:00:00,45.48,975621600,23.69,975589200,0.32,Canyon,30.26,0.85,975567600Canyon,43.6288476,-116.7172884,0.15,,0.0001,0.0018,975600000,0.04,rain,1027.37,ID,975596495,975629585,45.48,975621600,27.96,975592800,975567600,9.35,109,2.59
0,2000-12-31 00:00:00,31.13,978307200,18.57,978282000,0.94,Canyon,23.05,0.84,978246000Canyon,43.6288476,-116.7172884,0.19,,0,0,,0,,1034.88,ID,978276093,978308473,31.13,978307200,26.08,978325200,978246000,8.2,323,3.22
0,2001-01-31 00:00:00,23.4,980982000,5.3,980928000,0.67,Canyon,15.66,0.83,980924400Canyon,43.6288476,-116.7172884,0.23,0.144,0.0003,0.0023,980946000,0.07,snow,1033.54,ID,980953514,980989083,29.09,980982000,10.48,980935200,980924400,4.78,253,2.49
0,2001-02-28 00:00:00,40.35,983404800,19.51,983372400,0.01,Canyon,20.73,0.68,983343600Canyon,43.6288476,-116.7172884,0.17,,0,0,,0,,1021.13,ID,983370346,983410547,46.19,983404800,19.51,983372400,983343600,9.21,307,0.64
0,2001-03-31 00:00:00,57.86,986083200,26.35,986043600,0.55,Canyon,32.66,0.63,986022000Canyon,43.6288476,-116.7172884,0.23,,0.0038,0.026,986101200,0.63,rain,1017.11,ID,986045430,986091210,57.86,986083200,31.33,986043600,986022000,9.66,109,1.7
0,2001-04-30 00:00:00,71.61,988671600,50.97,988639200,0.53,Canyon,40.74,0.56,988610400Canyon,43.6288476,-116.7172884,0.25,,0.0046,0.0406,988657200,0.69,rain,1015.66,ID,988634471,988685354,71.61,988671600,50.97,988639200,988610400,9.68,139,1.14
