,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,29.42,949363200,-2.75,949312800,0.64,Caribou,11.57,0.81,949302000Caribou,42.7447618,-111.5587412,0.85,0.545,0.0015,0.0071,949345200,0.35,snow,1025.39,ID,949329798,949365508,29.42,949363200,7.2,949312800,949302000,7.19,107,1.43
0,2000-02-29 00:00:00,39.17,951861600,19.87,951829200,0.62,Caribou,26.05,0.7,951807600Caribou,42.7447618,-111.5587412,0.83,,0.0009,0.0211,951868800,0.61,rain,1017.03,ID,951833034,951873378,43.93,951861600,26.74,951829200,951807600,9.76,186,5.55
0,2000-03-31 00:00:00,43.58,954540000,13.54,954507600,0.06,Caribou,18.04,0.52,954486000Caribou,42.7447618,-111.5587412,0.86,,0,0,,0,,1025.49,ID,954508201,954553954,48.65,954540000,21.59,954507600,954486000,9.84,14,6.93
0,2000-04-30 00:00:00,71.12,957139200,26.1,957096000,0.03,Caribou,23.5,0.45,957074400Caribou,42.7447618,-111.5587412,0.88,,0,0,,0,,1025.15,ID,957097328,957148018,71.12,957139200,26.1,957096000,957074400,9.81,337,1.2
0,2000-05-31 00:00:00,70.12,959817600,40.3,959774400,0.08,Caribou,27.83,0.39,959752800Caribou,42.7447618,-111.5587412,0.93,,0,0,,0,,1012.79,ID,959773938,959828322,70.12,959817600,42.29,959774400,959752800,9.81,242,8.97
0,2000-06-30 00:00:00,81.87,962395200,46.09,962366400,0.18,Caribou,42.16,0.43,962344800Caribou,42.7447618,-111.5587412,0.96,,0.0092,0.17,962406000,0.83,rain,1010.34,ID,962365971,962420971,84.58,962395200,48.36,962366400,962344800,9.65,170,4.56
0,2000-07-31 00:00:00,92.92,965080800,56.81,965044800,0.07,Caribou,45.29,0.35,965023200Caribou,42.7447618,-111.5587412,0.03,,0,0,,0,,1012.87,ID,965045922,965098133,96.58,965080800,56.81,965044800,965023200,9.48,69,1.34
0,2000-08-31 00:00:00,67.14,967759200,51.24,967719600,0.61,Caribou,47.68,0.69,967701600Caribou,42.7447618,-111.5587412,0.09,,0.0196,0.0908,967730400,0.78,rain,1010.98,ID,967726328,967773811,67.14,967759200,51.24,967719600,967701600,9.16,185,4.87
0,2000-09-30 00:00:00,71.45,970354800,39.8,970318800,0.22,Caribou,38.6,0.51,970293600Caribou,42.7447618,-111.5587412,0.1,,0,0,,0,,1013.65,ID,970320257,970362605,71.45,970354800,44.02,970318800,970293600,9.75,214,9.9
