,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,21.15,949363200,-12.11,949327200,0.5,Clark,5.21,0.76,949302000Clark,44.2246085,-112.2630675,0.85,0.043,0.0001,0.0035,949348800,0.13,snow,1027.18,ID,949330180,949365465,26.09,949363200,-2.61,949320000,949302000,8.56,133,0.79
0,2000-02-29 00:00:00,38.62,951858000,20.74,951829200,0.65,Clark,25.42,0.69,951807600Clark,44.2246085,-112.2630675,0.83,,0.0006,0.0141,951868800,0.55,rain,1016.52,ID,951833286,951873463,43.77,951858000,28.01,951836400,951807600,9.72,179,6.17
0,2000-03-31 00:00:00,50.6,954547200,16.64,954507600,0.07,Clark,16.65,0.51,954486000Clark,44.2246085,-112.2630675,0.86,,0,0,,0,,1027.85,ID,954508310,954554183,50.6,954547200,22.82,954500400,954486000,10,8,4.96
0,2000-04-30 00:00:00,71.26,957139200,19.37,957096000,0.04,Clark,22.84,0.46,957074400Clark,44.2246085,-112.2630675,0.88,,0,0,,0,,1026.29,ID,957097301,957148383,71.26,957139200,25.74,957096000,957074400,9.99,163,1.23
0,2000-05-31 00:00:00,62.98,959817600,34.4,959774400,0.25,Clark,31.05,0.51,959752800Clark,44.2246085,-112.2630675,0.93,,0.0026,0.0167,959821200,0.58,rain,1014.5,ID,959773800,959828798,62.98,959817600,39.31,959774400,959752800,9.98,211,9.28
0,2000-06-30 00:00:00,82.79,962402400,45.9,962362800,0.12,Clark,41.68,0.44,962344800Clark,44.2246085,-112.2630675,0.96,,0.0092,0.17,962406000,0.83,rain,1010.34,ID,962365814,962421467,85.69,962402400,45.9,962362800,962344800,9.76,194,2.68
0,2000-07-31 00:00:00,91.53,965080800,57.64,965044800,0.19,Clark,47.11,0.39,965023200Clark,44.2246085,-112.2630675,0.03,,0,0,,0,,1014.88,ID,965045851,965098543,94.9,965080800,57.64,965044800,965023200,9.59,319,1.66
0,2000-08-31 00:00:00,70.83,967759200,42.51,967723200,0.42,Clark,44.93,0.65,967701600Clark,44.2246085,-112.2630675,0.09,,0.0046,0.0388,967766400,0.68,rain,1010.48,ID,967726391,967774087,70.83,967759200,43.82,967723200,967701600,9.58,203,5.1
0,2000-09-30 00:00:00,66.35,970344000,44.6,970311600,0.39,Clark,39.41,0.53,970293600Clark,44.2246085,-112.2630675,0.1,,0.004,0.0394,970376400,0.69,rain,1012.29,ID,970320457,970362744,66.35,970344000,46.48,970322400,970293600,9.71,216,9.31
