,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,24.42,949273200,6.39,949244400,0.28,Clearwater,17.3,0.8,949302000Clearwater,46.52648917,-116.132742,0.82,0.079,0.0003,0.0061,949302000,0.28,snow,1020.9,ID,949245133,949279549,30.46,949273200,16.56,949233600,949219200,8.4,88,5.77
0,2000-02-29 00:00:00,37.95,951778800,30.38,951742800,0.87,Clearwater,34.19,0.84,951807600Clearwater,46.52648917,-116.132742,0.8,,0.0019,0.0077,951764400,0.39,rain,1011.66,ID,951748063,951787767,43.5,951778800,35,951807600,951724800,8.08,226,4.85
0,2000-03-31 00:00:00,53.89,954460800,27.48,954424800,0.12,Clearwater,26.1,0.63,954486000Clearwater,46.52648917,-116.132742,0.84,,0,0,,0,,1031.57,ID,954422854,954468733,53.89,954460800,27.48,954424800,954403200,9.85,251,1.44
0,2000-04-30 00:00:00,61.91,957052800,28.17,957013200,0.28,Clearwater,29.86,0.59,957074400Clearwater,46.52648917,-116.132742,0.84,,0,0,,0,,1025.13,ID,957011595,957063160,61.91,957052800,33.72,957013200,956991600,9.71,191,2.69
0,2000-05-31 00:00:00,58.44,959716800,38.22,959684400,0.53,Clearwater,40.3,0.75,959752800Clearwater,46.52648917,-116.132742,0.9,,0.0191,0.1131,959752800,0.8,rain,1013.65,ID,959687849,959743789,58.44,959716800,41.07,959688000,959670000,9.13,180,1.11
0,2000-06-30 00:00:00,80.85,962319600,54.79,962280000,0.13,Clearwater,45.28,0.45,962344800Clearwater,46.52648917,-116.132742,0.92,,0,0,,0,,1012.85,ID,962279759,962336557,82.99,962319600,54.79,962280000,962262000,9.81,246,0.49
0,2000-07-31 00:00:00,92.22,965001600,60.91,964958400,0.11,Clearwater,50.12,0.4,965023200Clearwater,46.52648917,-116.132742,0.99,,0,0,,0,,1013.05,ID,964959904,965013551,94.85,965001600,60.91,964958400,964940400,9.7,356,2.81
0,2000-08-31 00:00:00,74.71,967676400,55.7,967701600,0.3,Clearwater,44.88,0.51,967701600Clearwater,46.52648917,-116.132742,0.05,,0.0009,0.0154,967647600,0.57,rain,1010.54,ID,967640666,967688906,74.71,967676400,55.7,967701600,967618800,9.71,293,3.59
0,2000-09-30 00:00:00,64.77,970268400,50.05,970236000,0.53,Clearwater,42.27,0.59,970293600Clearwater,46.52648917,-116.132742,0.07,,0.0067,0.1295,970272000,0.81,rain,1015.83,ID,970234958,970277340,64.77,970268400,50.05,970236000,970210800,9.63,214,7.49
