,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,31.6,949363200,4.9,949309200,0.71,Franklin,16.82,0.84,949302000Franklin,42.17154583,-111.8785487,0.85,1.132,0.0034,0.0118,949323600,0.53,snow,1024.18,ID,949329795,949365665,31.6,949363200,14.27,949312800,949302000,6.36,83,0.96
0,2000-02-29 00:00:00,41.08,951861600,23.48,951829200,0.64,Franklin,27.84,0.7,951807600Franklin,42.17154583,-111.8785487,0.83,,0.0007,0.0172,951868800,0.58,rain,1016.47,ID,951833079,951873486,45.5,951861600,28.73,951829200,951807600,9.73,185,4.73
0,2000-03-31 00:00:00,50.79,954540000,15.9,954511200,0.08,Franklin,18.79,0.49,954486000Franklin,42.17154583,-111.8785487,0.86,,0,0,,0,,1023.98,ID,954508300,954554008,50.79,954540000,23.77,954507600,954486000,9.78,20,8.06
0,2000-04-30 00:00:00,71.43,957139200,29.39,957096000,0.04,Franklin,25.53,0.46,957074400Franklin,42.17154583,-111.8785487,0.88,,0,0,,0,,1024.45,ID,957097478,957148022,71.43,957139200,29.39,957096000,957074400,9.75,355,1.83
0,2000-05-31 00:00:00,70.49,959817600,45.09,959774400,0.08,Franklin,29.36,0.39,959752800Franklin,42.17154583,-111.8785487,0.93,,0,0,,0,,1012.25,ID,959774129,959828285,70.49,959817600,45.09,959774400,959752800,9.74,273,7.01
0,2000-06-30 00:00:00,82.83,962409600,51.65,962366400,0.23,Franklin,43.91,0.42,962344800Franklin,42.17154583,-111.8785487,0.96,,0.0103,0.1031,962406000,0.79,rain,1009.53,ID,962366170,962420927,85.65,962409600,51.65,962366400,962344800,9.64,171,5.43
0,2000-07-31 00:00:00,94.14,965084400,59.87,965044800,0.09,Franklin,45.78,0.33,965023200Franklin,42.17154583,-111.8785487,0.03,,0,0,,0,,1011.61,ID,965046088,965098121,97.8,965084400,59.87,965044800,965023200,9.56,128,1.9
0,2000-08-31 00:00:00,68.55,967759200,53.76,967719600,0.67,Franklin,47.38,0.65,967701600Franklin,42.17154583,-111.8785487,0.09,,0.0204,0.0883,967730400,0.77,rain,1010.96,ID,967726445,967773848,68.55,967759200,53.76,967719600,967701600,9.16,182,4.56
0,2000-09-30 00:00:00,73.49,970354800,42,970318800,0.15,Franklin,38.84,0.51,970293600Franklin,42.17154583,-111.8785487,0.1,,0,0,,0,,1013.37,ID,970320323,970362693,73.49,970354800,45.36,970322400,970293600,9.71,212,7.49
0,2000-10-31 00:00:00,38.9,973026000,29.76,973000800,0.86,Franklin,34.24,0.83,972975600Franklin,42.17154583,-111.8785487,0.15,,0.0024,0.0202,973036800,0.6,rain,1012.9,ID,973000881,973038199,44.62,973026000,35.35,972990000,972975600,8.86,323,6.87
0,2000-11-30 00:00:00,36.47,975614400,17.24,975646800,0.37,Franklin,23.48,0.69,975567600Franklin,42.17154583,-111.8785487,0.15,,0.0002,0.0052,975578400,0.23,rain,1026.23,ID,975595062,975628695,40.92,975614400,21.57,975650400,975567600,9.49,239,4.48
0,2000-12-31 00:00:00,16.66,978300000,4.08,978253200,0.58,Franklin,13.7,0.88,978246000Franklin,42.17154583,-111.8785487,0.19,,0,0,,0,,1032.85,ID,978274640,978307602,23.33,978300000,11.41,978253200,978246000,4.47,289,2.04
