,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,24.99,949363200,-12.86,949327200,0.49,Fremont,3.65,0.75,949302000Fremont,44.12596089,-111.5712326,0.85,0.039,0.0001,0.0026,949348800,0.08,snow,1027.32,ID,949329999,949365313,24.99,949363200,-4.72,949320000,949302000,8.46,3,0.49
0,2000-02-29 00:00:00,38,951865200,21.03,951829200,0.63,Fremont,25.03,0.67,951807600Fremont,44.12596089,-111.5712326,0.83,,0.0004,0.0106,951868800,0.51,rain,1016.74,ID,951833115,951873302,43.39,951865200,28.82,951836400,951807600,9.91,188,7.21
0,2000-03-31 00:00:00,48.8,954547200,14.72,954507600,0.09,Fremont,16.95,0.53,954486000Fremont,44.12596089,-111.5712326,0.86,,0,0,,0,,1027.77,ID,954508148,954554013,48.8,954547200,21.49,954500400,954486000,10,12,5.1
0,2000-04-30 00:00:00,70.03,957139200,21.36,957092400,0.03,Fremont,22.9,0.47,957074400Fremont,44.12596089,-111.5712326,0.88,,0,0,,0,,1026.35,ID,957097148,957148204,70.03,957139200,26.21,957092400,957074400,10,214,0.97
0,2000-05-31 00:00:00,62.89,959817600,35.81,959774400,0.19,Fremont,30.62,0.49,959752800Fremont,44.12596089,-111.5712326,0.93,,0.0037,0.0444,959792400,0.7,rain,1014.3,ID,959773655,959828611,62.89,959817600,41.55,959774400,959752800,10,208,11.75
0,2000-06-30 00:00:00,82.71,962402400,45.1,962366400,0.08,Fremont,42.31,0.47,962344800Fremont,44.12596089,-111.5712326,0.96,,0.0051,0.0946,962406000,0.78,rain,1010.55,ID,962365670,962421279,85.65,962402400,45.1,962366400,962344800,9.74,207,2.64
0,2000-07-31 00:00:00,91.85,965080800,55.67,965041200,0.12,Fremont,47.06,0.4,965023200Fremont,44.12596089,-111.5712326,0.03,,0,0,,0,,1015.15,ID,965045701,965098360,95.49,965080800,55.67,965041200,965023200,9.58,346,1.86
0,2000-08-31 00:00:00,70.05,967748400,41.06,967723200,0.4,Fremont,46.08,0.7,967701600Fremont,44.12596089,-111.5712326,0.09,,0.0038,0.029,967766400,0.65,rain,1011.08,ID,967726232,967773914,70.05,967748400,42.78,967723200,967701600,9.54,200,4.9
0,2000-09-30 00:00:00,68.15,970351200,44.45,970311600,0.29,Fremont,39.44,0.51,970293600Fremont,44.12596089,-111.5712326,0.1,,0.0032,0.0346,970376400,0.67,rain,1012.45,ID,970320289,970362580,68.15,970351200,48.02,970311600,970293600,9.7,213,11.66
