,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,18.62,949269600,2.39,949244400,0.4,Idaho,14.35,0.78,949302000Idaho,45.81441715,-115.9353511,0.82,0.059,0.0002,0.0047,949302000,0.2,snow,1021.92,ID,949244970,949279617,27.22,949269600,13.79,949237200,949219200,7.94,118,6.24
0,2000-02-29 00:00:00,37.96,951778800,29.52,951804000,0.84,Idaho,32.59,0.81,951807600Idaho,45.81441715,-115.9353511,0.8,,0.0021,0.0102,951735600,0.51,rain,1012.02,ID,951747969,951787766,43.51,951778800,34.54,951807600,951724800,8.47,241,3.23
0,2000-03-31 00:00:00,52.83,954460800,24.78,954424800,0.08,Idaho,23.69,0.61,954486000Idaho,45.81441715,-115.9353511,0.84,,0,0,,0,,1031.47,ID,954422837,954468656,52.83,954460800,24.78,954424800,954403200,9.77,331,2.38
0,2000-04-30 00:00:00,62.19,957052800,28.41,957013200,0.25,Idaho,27.38,0.55,957074400Idaho,45.81441715,-115.9353511,0.84,,0,0,,0,,1024.95,ID,957011650,957063010,62.19,957052800,32.82,957013200,956991600,9.63,303,1
0,2000-05-31 00:00:00,54.86,959716800,37.69,959688000,0.51,Idaho,37.75,0.74,959752800Idaho,45.81441715,-115.9353511,0.9,,0.0149,0.0978,959752800,0.78,rain,1013.65,ID,959687966,959743578,54.86,959716800,37.69,959688000,959670000,9.3,246,1.97
0,2000-06-30 00:00:00,81.66,962319600,51.03,962280000,0.06,Idaho,43.19,0.44,962344800Idaho,45.81441715,-115.9353511,0.92,,0,0,,0,,1013.37,ID,962279889,962336333,84.37,962319600,51.03,962280000,962262000,9.77,288,0.92
0,2000-07-31 00:00:00,90.64,964998000,58.68,964958400,0.08,Idaho,49.6,0.41,965023200Idaho,45.81441715,-115.9353511,0.99,,0,0,,0,,1013.02,ID,964959988,965013373,93.5,964998000,58.68,964958400,964940400,9.79,324,2.05
0,2000-08-31 00:00:00,74.41,967676400,52.65,967640400,0.25,Idaho,43.63,0.51,967701600Idaho,45.81441715,-115.9353511,0.05,,0.0009,0.0161,967647600,0.57,rain,1010.48,ID,967640678,967688800,74.41,967676400,52.65,967640400,967618800,9.52,294,3.97
0,2000-09-30 00:00:00,65.25,970268400,42.43,970218000,0.45,Idaho,39.42,0.57,970293600Idaho,45.81441715,-115.9353511,0.07,,0.0073,0.1691,970272000,0.83,rain,1017.11,ID,970234897,970277306,65.25,970268400,45.44,970232400,970210800,9.45,236,5.25
0,2000-10-31 00:00:00,42.49,972946800,28.98,972910800,0.45,Idaho,32.07,0.84,972975600Idaho,45.81441715,-115.9353511,0.12,,0,0,,0,,1019.26,ID,972915798,972952432,44.8,972946800,28.98,972910800,972892800,8.18,341,1.71
0,2000-11-30 00:00:00,27.07,975535200,13.72,975495600,0.71,Idaho,24.53,0.84,975567600Idaho,45.81441715,-115.9353511,0.12,1.629,0.0075,0.025,975510000,0.63,snow,1015.17,ID,975510272,975542589,32.2,975535200,25.27,975495600,975484800,7.69,117,5.52
0,2000-12-31 00:00:00,28,978220800,15.78,978242400,0.81,Idaho,23.09,0.9,978246000Idaho,45.81441715,-115.9353511,0.16,1.085,0.0036,0.0141,978192000,0.55,snow,1027.72,ID,978189971,978221364,31.28,978220800,23.42,978238800,978163200,6.42,113,1.67
