,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,32.26,949363200,10.31,949305600,0.67,Jerome,22.8,0.88,949302000Jerome,42.639914,-114.2308617,0.85,1.481,0.0047,0.0266,949305600,0.64,snow,1023.41,ID,949330424,949366165,37.02,949363200,22.35,949305600,949302000,6.56,100,3.1
0,2000-02-29 00:00:00,39.85,951854400,26.24,951822000,0.61,Jerome,30.67,0.75,951807600Jerome,42.639914,-114.2308617,0.83,,0.0047,0.0233,951868800,0.62,rain,1015.62,ID,951833669,951874025,46.38,951854400,32.61,951822000,951807600,9.19,171,6.37
0,2000-03-31 00:00:00,57.33,954547200,20.35,954507600,0.03,Jerome,21.94,0.5,954486000Jerome,42.639914,-114.2308617,0.86,,0,0,,0,,1026.87,ID,954508846,954554592,57.33,954547200,25.76,954507600,954486000,9.85,264,3.09
0,2000-04-30 00:00:00,78.66,957139200,27.03,957099600,0.04,Jerome,24.67,0.37,957074400Jerome,42.639914,-114.2308617,0.88,,0,0,,0,,1024.26,ID,957097982,957148646,78.66,957139200,32.52,957099600,957074400,9.88,109,4.17
0,2000-05-31 00:00:00,74.78,959817600,30.82,959770800,0.04,Jerome,30.16,0.48,959752800Jerome,42.639914,-114.2308617,0.93,,0,0,,0,,1017.33,ID,959774600,959828943,74.78,959817600,37.72,959770800,959752800,9.75,265,10.41
0,2000-06-30 00:00:00,86.55,962391600,59.83,962366400,0.16,Jerome,45.31,0.37,962344800Jerome,42.639914,-114.2308617,0.96,,0.0055,0.0988,962406000,0.78,rain,1007.59,ID,962366635,962421590,89.76,962391600,59.83,962366400,962344800,9.82,149,5.93
0,2000-07-31 00:00:00,101.08,965084400,63.21,965044800,0.13,Jerome,50.71,0.35,965023200Jerome,42.639914,-114.2308617,0.03,,0,0,,0,,1011.62,ID,965046580,965098758,100.38,965084400,63.21,965044800,965023200,9.89,239,2.08
0,2000-08-31 00:00:00,72.78,967748400,55.51,967719600,0.37,Jerome,50.06,0.64,967701600Jerome,42.639914,-114.2308617,0.09,,0.006,0.0807,967766400,0.76,rain,1007.86,ID,967726978,967774444,72.78,967748400,55.51,967719600,967701600,9.68,182,6.19
0,2000-09-30 00:00:00,75.27,970351200,50.63,970322400,0.1,Jerome,41.66,0.49,970293600Jerome,42.639914,-114.2308617,0.1,,0,0,,0,,1013.95,ID,970320897,970363248,75.27,970351200,50.63,970322400,970293600,9.9,235,7.4
0,2000-10-31 00:00:00,38.64,973026000,28.02,973000800,0.69,Jerome,33,0.79,972975600Jerome,42.639914,-114.2308617,0.15,,0.0015,0.0291,973036800,0.65,rain,1016.96,ID,973001498,973038711,45.22,973026000,35.44,973000800,972975600,9.19,268,11.74
0,2000-11-30 00:00:00,39.16,975618000,20.3,975646800,0.2,Jerome,26.53,0.74,975567600Jerome,42.639914,-114.2308617,0.15,,0,0,,0,,1026.19,ID,975595713,975629174,43.5,975618000,25.54,975650400,975567600,9.85,231,5.31
0,2000-12-31 00:00:00,17.35,978307200,11.98,978274800,0.82,Jerome,20.63,0.94,978246000Jerome,42.639914,-114.2308617,0.19,,0,0,,0,,1033.47,ID,978275297,978308075,25.57,978307200,18.6,978246000,978246000,3.41,281,2.54
0,2001-01-31 00:00:00,24.14,980982000,3.65,980942400,0.41,Jerome,15.29,0.77,980924400Jerome,42.639914,-114.2308617,0.23,,0,0,,0,,1031.46,ID,980952779,980988624,29,980982000,14.73,980938800,980924400,9.4,238,6.08
0,2001-02-28 00:00:00,34.15,983404800,7.02,983368800,0.03,Jerome,15.37,0.66,983343600Jerome,42.639914,-114.2308617,0.17,,0,0,,0,,1019.92,ID,983369694,983410006,40.16,983404800,16.49,983365200,983343600,9.85,63,2.48
0,2001-03-31 00:00:00,56.43,986072400,25.18,986043600,0.36,Jerome,29,0.55,986022000Jerome,42.639914,-114.2308617,0.23,,0.001,0.0126,986104800,0.54,rain,1015.89,ID,986044873,986090574,56.43,986072400,30.92,986043600,986022000,9.85,236,4.92
0,2001-04-30 00:00:00,72.91,988678800,41.97,988614000,0.42,Jerome,35.3,0.44,988610400Jerome,42.639914,-114.2308617,0.25,,0.0005,0.0084,988650000,0.44,rain,1014.4,ID,988634003,988684629,72.91,988678800,44.46,988635600,988610400,9.79,247,6.78
0,2001-05-31 00:00:00,85.13,991353600,51.27,991314000,0.02,Jerome,39.17,0.4,991288800Jerome,42.639914,-114.2308617,0.32,,0,0,,0,,1017.76,ID,991310608,991364930,88.83,991353600,51.27,991314000,991288800,9.95,246,7.98
0,2001-06-30 00:00:00,88.34,993942000,55.76,993902400,0.09,Jerome,47.05,0.41,993880800Jerome,42.639914,-114.2308617,0.34,,0,0,,0,,1011.23,ID,993902628,993957592,92.12,993942000,55.76,993902400,993880800,9.99,240,3.23
0,2001-07-31 00:00:00,83.75,996624000,44.82,996584400,0.09,Jerome,44.24,0.59,996559200Jerome,42.639914,-114.2308617,0.39,,0.0001,0.0013,996598800,0.02,rain,1015.1,ID,996582564,996634775,87.02,996624000,48.51,996584400,996559200,9.96,260,6.32
0,2001-08-31 00:00:00,84.61,999298800,59.73,999262800,0.04,Jerome,46.35,0.4,999237600Jerome,42.639914,-114.2308617,0.43,,0,0,,0,,1008.52,ID,999262961,999310471,87.88,999298800,59.73,999262800,999237600,9.96,157,1.93
0,2001-09-30 00:00:00,79.22,1001890800,39.78,1001858400,0,Jerome,36.35,0.46,1001829600Jerome,42.639914,-114.2308617,0.44,,0,0,,0,,1020.86,ID,1001856880,1001899275,81.11,1001890800,42.64,1001858400,1001829600,9.98,101,3.48
0,2001-10-31 00:00:00,52.76,1004554800,37.84,1004536800,0.83,Jerome,37.44,0.67,1004511600Jerome,42.639914,-114.2308617,0.48,,0.0028,0.0242,1004511600,0.63,rain,1012.23,ID,1004537478,1004574731,52.76,1004554800,43.99,1004536800,1004511600,9.39,241,11.33
0,2001-11-30 00:00:00,25.76,1007164800,6.3,1007128800,0.32,Jerome,18.23,0.77,1007103600Jerome,42.639914,-114.2308617,0.49,0.056,0.0002,0.0021,1007103600,0.06,snow,1014.91,ID,1007131696,1007165179,36.92,1007164800,17.95,1007128800,1007103600,9.62,203,8.27
0,2001-12-31 00:00:00,30.01,1009843200,11.88,1009782000,0.99,Jerome,25.19,0.92,1009782000Jerome,42.639914,-114.2308617,0.55,0.754,0.0032,0.0159,1009836000,0.57,snow,1020.45,ID,1009811295,1009844062,30.01,1009843200,23.54,1009782000,1009782000,4.67,57,4.85
0,2002-01-31 00:00:00,15.11,1012521600,-0.52,1012467600,0.68,Jerome,11.28,0.83,1012460400Jerome,42.639914,-114.2308617,0.61,,0,0,,0,,1030.7,ID,1012488795,1012524603,24.46,1012521600,10.1,1012464000,1012460400,8.78,62,7.51
0,2002-02-28 00:00:00,22.25,1014930000,10.29,1014912000,0.62,Jerome,18.8,0.73,1014879600Jerome,42.639914,-114.2308617,0.55,0.102,0.0006,0.0076,1014922800,0.38,snow,1015.76,ID,1014905719,1014945987,33.39,1014930000,21.52,1014962400,1014879600,9.21,276,7.35
0,2002-03-31 00:00:00,64.66,1017615600,29.86,1017579600,0.03,Jerome,26.53,0.44,1017558000Jerome,42.639914,-114.2308617,0.61,,0,0,,0,,1018.03,ID,1017580900,1017626556,64.66,1017615600,35.85,1017579600,1017558000,9.95,243,8.45
0,2002-04-30 00:00:00,59.38,1020211200,39.54,1020168000,0.64,Jerome,39.7,0.7,1020146400Jerome,42.639914,-114.2308617,0.63,,0.0022,0.0198,1020182400,0.6,rain,1006.9,ID,1020170025,1020220611,59.38,1020211200,43.3,1020171600,1020146400,9.96,249,7.38
0,2002-05-31 00:00:00,81.22,1022893200,57.01,1022850000,0.08,Jerome,47.06,0.47,1022824800Jerome,42.639914,-114.2308617,0.68,,0,0,,0,,1009.76,ID,1022846616,1022900918,83.33,1022893200,57.01,1022850000,1022824800,9.86,251,7.14
0,2002-06-30 00:00:00,82.36,1025474400,58.15,1025438400,0,Jerome,49.48,0.48,1025416800Jerome,42.639914,-114.2308617,0.69,,0,0,,0,,1012.58,ID,1025438620,1025493594,84.26,1025474400,58.15,1025438400,1025416800,10,253,6.49
