,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,21.36,949273200,3.35,949248000,0.09,Kootenai,15.87,0.81,949302000Kootenai,47.72596607,-116.7287046,0.82,0.075,0.0002,0.0048,949302000,0.2,snow,1020.24,ID,949245478,949279490,30.51,949273200,13.87,949248000,949219200,9.53,45,8.5
0,2000-02-29 00:00:00,36.26,951775200,30.08,951735600,0.86,Kootenai,34.99,0.91,951807600Kootenai,47.72596607,-116.7287046,0.8,,0.0037,0.0234,951789600,0.62,rain,1010.85,ID,951748287,951787829,42.01,951775200,35.14,951807600,951724800,7.89,207,5.98
0,2000-03-31 00:00:00,53.26,954460800,22.47,954410400,0.15,Kootenai,27.95,0.68,954486000Kootenai,47.72596607,-116.7287046,0.84,,0,0,,0,,1031.19,ID,954422946,954468928,53.26,954460800,27.98,954424800,954403200,9.86,179,3.7
0,2000-04-30 00:00:00,57.62,957052800,28.61,957013200,0.27,Kootenai,31.62,0.63,957074400Kootenai,47.72596607,-116.7287046,0.84,,0,0,,0,,1024.72,ID,957011558,957063482,57.62,957052800,35.13,957013200,956991600,9.76,171,4.86
0,2000-05-31 00:00:00,62.18,959716800,35.23,959684400,0.45,Kootenai,42.24,0.78,959752800Kootenai,47.72596607,-116.7287046,0.9,,0.0287,0.1219,959749200,0.8,rain,1013.54,ID,959687703,959744221,62.18,959716800,40.45,959684400,959670000,8.82,43,4.06
0,2000-06-30 00:00:00,79.89,962323200,54.7,962280000,0.16,Kootenai,48.17,0.52,962344800Kootenai,47.72596607,-116.7287046,0.92,,0,0,,0,,1012.54,ID,962279590,962337013,81.07,962323200,54.7,962280000,962262000,9.83,133,0.66
0,2000-07-31 00:00:00,93.14,965001600,57.74,964958400,0.13,Kootenai,52.73,0.47,965023200Kootenai,47.72596607,-116.7287046,0.99,,0,0,,0,,1013.65,ID,964959818,965013924,95.61,965001600,57.74,964958400,964940400,9.8,15,4.99
0,2000-08-31 00:00:00,75.48,967676400,53.73,967701600,0.28,Kootenai,45.72,0.54,967701600Kootenai,47.72596607,-116.7287046,0.05,,0.0012,0.0189,967647600,0.59,rain,1010.75,ID,967640706,967689153,75.48,967676400,53.73,967701600,967618800,9.75,341,2.13
0,2000-09-30 00:00:00,63.82,970268400,52.12,970228800,0.49,Kootenai,44.47,0.62,970293600Kootenai,47.72596607,-116.7287046,0.07,,0.006,0.0812,970272000,0.76,rain,1014.46,ID,970235125,970277459,63.82,970268400,52.12,970228800,970210800,9.82,181,8.57
0,2000-10-31 00:00:00,46.31,972946800,29.72,972896400,0.61,Kootenai,34.76,0.89,972975600Kootenai,47.72596607,-116.7287046,0.12,,0,0,,0,,1020.04,ID,972916230,972952380,46.31,972946800,31.99,972975600,972892800,7.35,36,2.89
0,2000-11-30 00:00:00,19.29,975528000,16.53,975506400,0.7,Kootenai,26.11,0.89,975567600Kootenai,47.72596607,-116.7287046,0.12,2.282,0.0104,0.0346,975538800,0.67,snow,1014.01,ID,975510873,975542368,30.39,975528000,27.4,975495600,975484800,6.98,28,7.86
0,2000-12-31 00:00:00,26.2,978220800,17.68,978177600,0.86,Kootenai,25.08,0.93,978246000Kootenai,47.72596607,-116.7287046,0.16,0.922,0.0034,0.0179,978224400,0.59,snow,1026.71,ID,978190611,978221104,30.88,978220800,21.87,978163200,978163200,7.25,104,0.85
