,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,25.78,949273200,9.82,949244400,0.27,Latah,20.16,0.79,949302000Latah,46.78818842,-116.7369198,0.82,0.109,0.0004,0.01,949302000,0.51,snow,1019.4,ID,949245321,949279651,33.25,949273200,20.39,949248000,949219200,8.89,83,7.26
0,2000-02-29 00:00:00,38.77,951775200,30.83,951742800,0.85,Latah,35.22,0.84,951807600Latah,46.78818842,-116.7369198,0.8,,0.0023,0.0078,951789600,0.4,rain,1011.55,ID,951748225,951787894,44.86,951775200,36.05,951807600,951724800,8.68,222,6.22
0,2000-03-31 00:00:00,54.98,954460800,26.34,954410400,0.09,Latah,27.17,0.64,954486000Latah,46.78818842,-116.7369198,0.84,,0,0,,0,,1031.71,ID,954422988,954468889,54.98,954460800,28.15,954417600,954403200,9.86,216,1.65
0,2000-04-30 00:00:00,64.19,957052800,28.13,957013200,0.24,Latah,31.25,0.6,957074400Latah,46.78818842,-116.7369198,0.84,,0,0,,0,,1025.26,ID,957011701,957063344,64.19,957052800,34.09,957013200,956991600,9.73,183,3.72
0,2000-05-31 00:00:00,58.83,959716800,38.23,959688000,0.51,Latah,41.39,0.78,959752800Latah,46.78818842,-116.7369198,0.9,,0.0187,0.1029,959752800,0.79,rain,1014.13,ID,959687932,959743996,58.83,959716800,41.04,959688000,959670000,9.02,218,2.13
0,2000-06-30 00:00:00,81.35,962319600,55.63,962283600,0.13,Latah,46.99,0.46,962344800Latah,46.78818842,-116.7369198,0.92,,0,0,,0,,1012.85,ID,962279837,962336769,83.54,962319600,55.63,962283600,962262000,9.77,203,0.34
0,2000-07-31 00:00:00,93.43,965001600,59.68,964958400,0.11,Latah,51.46,0.43,965023200Latah,46.78818842,-116.7369198,0.99,,0,0,,0,,1013.24,ID,964960000,965013745,95.61,965001600,59.68,964958400,964940400,9.79,357,2.9
0,2000-08-31 00:00:00,75.38,967676400,54.4,967701600,0.31,Latah,45.77,0.53,967701600Latah,46.78818842,-116.7369198,0.05,,0.0008,0.0145,967647600,0.56,rain,1011.02,ID,967640789,967689073,75.38,967676400,54.4,967701600,967618800,9.75,280,3.86
0,2000-09-30 00:00:00,65.93,970268400,51.94,970236000,0.53,Latah,41.82,0.54,970293600Latah,46.78818842,-116.7369198,0.07,,0.0068,0.1262,970272000,0.81,rain,1015.64,ID,970235108,970277479,65.93,970268400,51.94,970236000,970210800,9.71,217,9.19
0,2000-10-31 00:00:00,44.02,972946800,29.39,972910800,0.46,Latah,34.76,0.9,972975600Latah,46.78818842,-116.7369198,0.12,,0,0,,0,,1020.19,ID,972916111,972952503,45.8,972946800,32.72,972910800,972892800,7.05,14,1.17
0,2000-11-30 00:00:00,26.46,975531600,19.94,975495600,0.75,Latah,27.58,0.87,975567600Latah,46.78818842,-116.7369198,0.12,1.93,0.01,0.04,975542400,0.69,snow,1013.49,ID,975510669,975542576,33.44,975531600,29.39,975495600,975484800,6.93,95,5.55
0,2000-12-31 00:00:00,28.75,978213600,21.81,978188400,0.87,Latah,27.78,0.93,978246000Latah,46.78818842,-116.7369198,0.16,1.216,0.0051,0.0205,978177600,0.6,snow,1026.91,ID,978190388,978221332,32.86,978213600,27.3,978163200,978163200,5.95,106,2.14
0,2001-01-31 00:00:00,33.8,980899200,17.45,980863200,0.73,Latah,25.75,0.81,980924400Latah,46.78818842,-116.7369198,0.2,,0.0012,0.0106,980924400,0.52,rain,1027.99,ID,980867668,980902119,37.58,980899200,24.2,980866800,980841600,8.67,202,8.05
0,2001-02-28 00:00:00,39.06,983318400,11.88,983286000,0.02,Latah,16.58,0.64,983343600Latah,46.78818842,-116.7369198,0.14,,0,0,,0,,1029.32,ID,983284254,983323872,39.06,983318400,18.79,983286000,983260800,9.64,51,1.64
0,2001-03-31 00:00:00,46.63,985993200,30.45,985953600,0.39,Latah,28.78,0.64,986022000Latah,46.78818842,-116.7369198,0.19,,0.0021,0.0342,985996800,0.67,rain,1020.14,ID,985959019,986004868,49.87,985993200,34.23,986022000,985939200,9.39,266,5.74
0,2001-04-30 00:00:00,50.03,988592400,29.18,988545600,0.64,Latah,35.59,0.74,988610400Latah,46.78818842,-116.7369198,0.22,,0.0095,0.1947,988531200,0.84,rain,1017.13,ID,988547726,988599322,50.03,988592400,35.66,988549200,988527600,9.48,191,9.36
0,2001-05-31 00:00:00,77.76,991267200,35.92,991224000,0.22,Latah,35.6,0.5,991288800Latah,46.78818842,-116.7369198,0.28,,0,0,,0,,1025.43,ID,991223942,991279981,77.76,991267200,38.48,991224000,991206000,9.77,219,3.8
0,2001-06-30 00:00:00,81.18,993859200,51.09,993819600,0.17,Latah,51.44,0.65,993880800Latah,46.78818842,-116.7369198,0.31,,0,0,,0,,1018.94,ID,993815829,993872772,81.79,993859200,51.09,993819600,993798000,9.91,336,0.7
0,2001-07-31 00:00:00,72.17,996537600,50.73,996494400,0.61,Latah,46.31,0.64,996559200Latah,46.78818842,-116.7369198,0.36,,0.0018,0.0144,996541200,0.56,rain,1013.06,ID,996495981,996549766,72.17,996537600,50.73,996494400,996476400,9.72,210,2.21
0,2001-08-31 00:00:00,84.79,999208800,53.97,999176400,0.1,Latah,45.02,0.43,999237600Latah,46.78818842,-116.7369198,0.41,,0,0,,0,,1008.22,ID,999176769,999225103,88,999208800,53.97,999176400,999154800,9.7,216,2.44
0,2001-09-30 00:00:00,74.81,1001808000,36.25,1001772000,0.03,Latah,37.01,0.58,1001829600Latah,46.78818842,-116.7369198,0.41,,0,0,,0,,1022.57,ID,1001771088,1001813511,74.81,1001808000,40.25,1001772000,1001746800,9.83,75,3.13
0,2001-10-31 00:00:00,45.52,1004475600,39.23,1004450400,0.96,Latah,42.8,0.88,1004511600Latah,46.78818842,-116.7369198,0.45,,0.0207,0.0763,1004508000,0.76,rain,1009.52,ID,1004452088,1004488527,48.25,1004475600,43.38,1004450400,1004428800,5.78,103,2.93
0,2001-11-30 00:00:00,29.42,1007060400,22.6,1007103600,0.86,Latah,30.03,0.82,1007103600Latah,46.78818842,-116.7369198,0.46,,0.0067,0.0318,1007064000,0.66,rain,1001.14,ID,1007046650,1007078584,36.79,1007060400,31.34,1007103600,1007020800,8.31,179,8.41
0,2001-12-31 00:00:00,23.69,1009778400,16.62,1009706400,0.8,Latah,24.56,0.89,1009782000Latah,46.78818842,-116.7369198,0.51,,0,0,,0,,1022.67,ID,1009726387,1009757318,30.38,1009778400,23.13,1009702800,1009699200,7.82,59,6.16
0,2002-01-31 00:00:00,23.52,1012435200,16.74,1012392000,0.98,Latah,24.83,0.91,1012460400Latah,46.78818842,-116.7369198,0.57,0.984,0.004,0.0113,1012420800,0.52,snow,1023.22,ID,1012403687,1012438095,32.73,1012435200,23.74,1012381200,1012377600,4.38,189,4.37
0,2002-02-28 00:00:00,31.64,1014854400,8.94,1014811200,0.59,Latah,19.87,0.78,1014879600Latah,46.78818842,-116.7369198,0.52,0.069,0.0004,0.0024,1014868800,0.07,snow,1029.16,ID,1014820282,1014859849,36.13,1014854400,17.42,1014814800,1014796800,9.15,131,2.94
0,2002-03-31 00:00:00,54.77,1017532800,28.12,1017493200,0.32,Latah,33.13,0.68,1017558000Latah,46.78818842,-116.7369198,0.58,,0,0,,0,,1023.41,ID,1017495050,1017540847,54.77,1017532800,34.43,1017496800,1017475200,9.71,211,6.24
0,2002-04-30 00:00:00,64.51,1020121200,35.5,1020078000,0.08,Latah,33.07,0.54,1020146400Latah,46.78818842,-116.7369198,0.6,,0.0003,0.0069,1020124800,0.34,rain,1017.08,ID,1020083751,1020135301,64.51,1020121200,36.92,1020085200,1020063600,9.8,23,1.08
0,2002-05-31 00:00:00,69.17,1022803200,52.86,1022760000,0.18,Latah,46.06,0.61,1022824800Latah,46.78818842,-116.7369198,0.65,,0,0,,0,,1015.79,ID,1022759953,1022815966,69.17,1022803200,52.86,1022760000,1022742000,9.81,217,4.01
0,2002-06-30 00:00:00,70.84,1025391600,56.78,1025355600,0.59,Latah,51.25,0.69,1025416800Latah,46.78818842,-116.7369198,0.66,,0.0201,0.066,1025352000,0.74,rain,1011.66,ID,1025351821,1025408774,70.84,1025391600,56.78,1025355600,1025334000,8.87,230,8.7
0,2002-07-31 00:00:00,81.21,1028070000,55.62,1028034000,0.19,Latah,44.6,0.43,1028095200Latah,46.78818842,-116.7369198,0.7,,0,0,,0,,1013.22,ID,1028031962,1028085786,83.18,1028070000,55.62,1028034000,1028012400,9.68,244,8.34
0,2002-08-31 00:00:00,79.17,1030752000,55.36,1030712400,0.15,Latah,48.43,0.53,1030773600Latah,46.78818842,-116.7369198,0.74,,0.0007,0.0158,1030723200,0.57,rain,1012.11,ID,1030712749,1030761133,80.3,1030752000,55.36,1030712400,1030690800,9.77,197,3.16
0,2002-09-30 00:00:00,54.8,1033322400,40.71,1033365600,0.59,Latah,39.92,0.66,1033365600Latah,46.78818842,-116.7369198,0.76,,0.0091,0.0539,1033347600,0.72,rain,1006.43,ID,1033307067,1033349542,54.8,1033322400,46.38,1033365600,1033282800,9.21,215,6.81
0,2002-10-31 00:00:00,30.81,1036022400,8.3,1035986400,0.16,Latah,7.71,0.52,1036047600Latah,46.78818842,-116.7369198,0.81,,0,0,,0,,1028.36,ID,1035988065,1036024551,30.81,1036022400,16.11,1036047600,1035964800,9.74,23,3.6
0,2002-11-30 00:00:00,37.95,1038603600,24.39,1038567600,0.35,Latah,27.99,0.87,1038639600Latah,46.78818842,-116.7369198,0.83,,0,0,,0,,1027.64,ID,1038582631,1038614592,37.95,1038603600,27.38,1038582000,1038556800,7.2,13,2.21
0,2002-12-31 00:00:00,31.09,1041292800,20.67,1041256800,0.94,Latah,29.99,0.88,1041318000Latah,46.78818842,-116.7369198,0.89,,0.011,0.0212,1041318000,0.61,rain,1011.09,ID,1041262385,1041293305,36.66,1041292800,28.86,1041235200,1041235200,7.05,118,8.09
0,2003-01-31 00:00:00,45.64,1043967600,35.21,1043935200,0.91,Latah,41.23,0.92,1043996400Latah,46.78818842,-116.7369198,0.95,,0.0222,0.051,1043985600,0.72,rain,1018.88,ID,1043939705,1043974071,46.9,1043967600,40.77,1043935200,1043913600,7.83,208,4.81
0,2003-02-28 00:00:00,36.65,1046386800,18.98,1046340000,0.43,Latah,22.47,0.71,1046415600Latah,46.78818842,-116.7369198,0.9,,0,0.001,1046365200,0,,1015.89,ID,1046356311,1046395826,40.37,1046386800,24.75,1046343600,1046332800,9.59,192,2.06
0,2003-03-31 00:00:00,67.24,1049065200,39.83,1049025600,0.28,Latah,40.03,0.61,1049094000Latah,46.78818842,-116.7369198,0.94,,0,0,,0,,1019.74,ID,1049031081,1049076826,67.24,1049065200,42.43,1049029200,1049011200,9.79,185,5.07
0,2003-04-30 00:00:00,55.85,1051660800,39.04,1051617600,0.54,Latah,39.52,0.7,1051682400Latah,46.78818842,-116.7369198,0.95,,0.0015,0.0134,1051653600,0.55,rain,1011.26,ID,1051619776,1051671280,55.85,1051660800,42.99,1051617600,1051599600,9.57,44,1.93
0,2003-05-31 00:00:00,66.01,1054339200,56.01,1054353600,0.53,Latah,51.71,0.73,1054360800Latah,46.78818842,-116.7369198,0.99,,0.02,0.0753,1054321200,0.76,rain,1010.43,ID,1054295963,1054351952,66.01,1054339200,56.01,1054353600,1054278000,8.76,101,1.35
0,2003-06-30 00:00:00,87.84,1056927600,57.33,1056884400,0.12,Latah,48.47,0.44,1056952800Latah,46.78818842,-116.7369198,0.99,,0,0,,0,,1008.63,ID,1056887813,1056944776,91.45,1056927600,57.33,1056884400,1056870000,9.74,71,3.13
0,2003-07-31 00:00:00,94.77,1059602400,59.22,1059570000,0.02,Latah,41.74,0.29,1059631200Latah,46.78818842,-116.7369198,0.05,,0,0,,0,,1011.82,ID,1059567943,1059621806,98.89,1059602400,59.22,1059570000,1059548400,9.76,229,1.82
0,2003-08-31 00:00:00,83.03,1062280800,52.24,1062248400,0.04,Latah,39.55,0.38,1062309600Latah,46.78818842,-116.7369198,0.11,,0,0,,0,,1018.33,ID,1062248729,1062297162,86.33,1062280800,52.24,1062248400,1062226800,9.16,45,1.52
0,2003-09-30 00:00:00,77.67,1064872800,50.99,1064840400,0.02,Latah,40.77,0.46,1064901600Latah,46.78818842,-116.7369198,0.13,,0,0,,0,,1014.35,ID,1064843047,1064885573,77.67,1064872800,50.99,1064840400,1064818800,9.6,49,7.53
0,2003-10-31 00:00:00,28.38,1067551200,14.06,1067583600,0.33,Latah,9.76,0.4,1067583600Latah,46.78818842,-116.7369198,0.2,0.106,0.0006,0.0051,1067540400,0.22,snow,1019.39,ID,1067524042,1067560576,37.5,1067551200,24.3,1067583600,1067500800,9.74,44,14.59
0,2003-11-30 00:00:00,42.34,1070143200,33.1,1070092800,0.8,Latah,39.78,0.91,1070175600Latah,46.78818842,-116.7369198,0.22,,0.0167,0.0703,1070118000,0.75,rain,1014.43,ID,1070118612,1070150601,46.89,1070143200,37.24,1070175600,1070092800,8.01,200,6.81
0,2003-12-31 00:00:00,24.97,1072828800,0.19,1072789200,0.44,Latah,14.61,0.84,1072854000Latah,46.78818842,-116.7369198,0.26,0.179,0.0006,0.0148,1072828800,0.56,snow,1017.31,ID,1072798384,1072829292,24.97,1072828800,10.53,1072789200,1072771200,8.93,108,3.71
0,2004-01-31 00:00:00,38.91,1075449600,22.8,1075532400,0.57,Latah,30.11,0.72,1075532400Latah,46.78818842,-116.7369198,0.3,,0.0078,0.046,1075478400,0.7,rain,1004.88,ID,1075475724,1075510047,44.92,1075449600,33.13,1075532400,1075449600,9.08,221,17
0,2004-02-29 00:00:00,44.98,1078012800,30.47,1077962400,0.8,Latah,34.33,0.87,1078038000Latah,46.78818842,-116.7369198,0.27,,0.0001,0.0013,1077973200,0.02,rain,1019.84,ID,1077978629,1078018291,44.98,1078012800,34.31,1078038000,1077955200,8.57,258,3.27
0,2004-03-31 00:00:00,66.69,1080680400,35.14,1080716400,0.33,Latah,35.37,0.54,1080716400Latah,46.78818842,-116.7369198,0.31,,0.002,0.0118,1080716400,0.53,rain,1011.48,ID,1080653393,1080699286,66.69,1080680400,40.37,1080716400,1080633600,9.55,217,3.62
0,2004-04-30 00:00:00,70.38,1083283200,30.32,1083243600,0.02,Latah,31.66,0.53,1083304800Latah,46.78818842,-116.7369198,0.32,,0,0,,0,,1019.27,ID,1083242105,1083293740,70.38,1083283200,34.97,1083240000,1083222000,9.71,45,2.94
0,2004-05-31 00:00:00,60.33,1085961600,41.96,1085918400,0.71,Latah,42.63,0.68,1085983200Latah,46.78818842,-116.7369198,0.37,,0.0062,0.028,1085968800,0.64,rain,1015.97,ID,1085918334,1085974394,60.33,1085961600,46.01,1085914800,1085900400,9.42,221,9.12
0,2004-06-30 00:00:00,81.89,1088550000,57.69,1088510400,0.19,Latah,54.71,0.59,1088575200Latah,46.78818842,-116.7369198,0.4,,0.0007,0.011,1088568000,0.52,rain,1012.34,ID,1088510236,1088567169,82.72,1088550000,57.69,1088510400,1088492400,9.78,120,1.87
0,2004-07-31 00:00:00,86.15,1091232000,59.32,1091188800,0.08,Latah,48.16,0.43,1091253600Latah,46.78818842,-116.7369198,0.46,,0,0,,0,,1009.28,ID,1091190397,1091244148,89.73,1091232000,59.32,1091188800,1091170800,9.62,213,4.36
0,2004-08-31 00:00:00,83.86,1093910400,55.38,1093870800,0.06,Latah,48.78,0.52,1093932000Latah,46.78818842,-116.7369198,0.53,,0,0,,0,,1015.2,ID,1093871186,1093919478,86.37,1093910400,55.38,1093870800,1093849200,9.78,187,2.8
0,2004-09-30 00:00:00,73.65,1096495200,48.44,1096459200,0.08,Latah,45.78,0.63,1096524000Latah,46.78818842,-116.7369198,0.54,,0,0,,0,,1010.41,ID,1096465505,1096507884,73.65,1096495200,49.16,1096459200,1096441200,9.28,325,0.31
0,2004-10-31 00:00:00,50.32,1099173600,31.77,1099202400,0.69,Latah,32.65,0.63,1099202400Latah,46.78818842,-116.7369198,0.59,,0.0046,0.0239,1099177200,0.62,rain,1014.05,ID,1099146508,1099182907,50.32,1099173600,37.75,1099202400,1099119600,9.1,222,11.33
0,2004-11-30 00:00:00,30.98,1101765600,17.8,1101744000,0.41,Latah,21.3,0.73,1101798000Latah,46.78818842,-116.7369198,0.59,0.033,0.0001,0.0033,1101772800,0.12,snow,1030.72,ID,1101741067,1101772977,35.81,1101765600,24.23,1101740400,1101715200,9.55,114,5.34
0,2004-12-31 00:00:00,34.14,1104447600,22.18,1104476400,0.9,Latah,30.04,0.9,1104476400Latah,46.78818842,-116.7369198,0.63,,0.0021,0.0106,1104408000,0.52,rain,1004.47,ID,1104420788,1104451730,36.31,1104447600,30,1104476400,1104393600,6.67,77,3.93
0,2005-01-31 00:00:00,44.31,1107126000,31.08,1107090000,0.66,Latah,35.13,0.86,1107154800Latah,46.78818842,-116.7369198,0.67,,0.0004,0.0042,1107129600,0.17,rain,1028.57,ID,1107098071,1107132515,44.31,1107126000,35.23,1107154800,1107072000,7.45,201,2.18
0,2005-02-28 00:00:00,57.35,1109545200,22.5,1109516400,0.07,Latah,26.42,0.59,1109574000Latah,46.78818842,-116.7369198,0.62,,0.0001,0.0028,1109548800,0.09,rain,1017.74,ID,1109514658,1109554268,57.35,1109545200,29.18,1109512800,1109491200,9.65,75,4.55
0,2005-03-31 00:00:00,52.08,1112227200,25.66,1112187600,0.54,Latah,28.32,0.67,1112252400Latah,46.78818842,-116.7369198,0.67,,0.0037,0.0127,1112223600,0.54,rain,1022.04,ID,1112189424,1112235265,52.08,1112227200,34.29,1112252400,1112169600,9.37,231,8.98
0,2005-04-30 00:00:00,61.37,1114819200,30.43,1114776000,0.45,Latah,25.09,0.45,1114840800Latah,46.78818842,-116.7369198,0.69,,0.0002,0.0016,1114840800,0.03,rain,1019.23,ID,1114778130,1114829719,61.37,1114819200,35.77,1114776000,1114758000,9.79,72,1.78
0,2005-05-31 00:00:00,76.87,1117494000,50.67,1117454400,0.11,Latah,42.57,0.48,1117519200Latah,46.78818842,-116.7369198,0.76,,0.0002,0.0056,1117497600,0.25,rain,1011.49,ID,1117454344,1117510379,76.87,1117494000,50.67,1117454400,1117436400,9.81,225,2.27
0,2005-06-30 00:00:00,81.36,1120089600,55.24,1120046400,0.47,Latah,52.27,0.67,1120111200Latah,46.78818842,-116.7369198,0.78,,0.0026,0.0151,1120050000,0.56,rain,1016.97,ID,1120046228,1120103172,82.84,1120089600,55.24,1120046400,1120028400,9.3,185,3
0,2005-07-31 00:00:00,90.14,1122768000,57.26,1122728400,0.02,Latah,43.54,0.35,1122789600Latah,46.78818842,-116.7369198,0.83,,0,0,,0,,1015.46,ID,1122726378,1122780169,93.96,1122768000,57.26,1122728400,1122706800,9.8,214,2.21
0,2005-08-31 00:00:00,76.12,1125446400,46.08,1125406800,0.22,Latah,39.39,0.5,1125468000Latah,46.78818842,-116.7369198,0.88,,0,0,,0,,1019.34,ID,1125407166,1125455507,76.12,1125446400,48.76,1125406800,1125385200,9.82,228,6.1
0,2005-09-30 00:00:00,65,1128027600,52.2,1128002400,0.68,Latah,41.41,0.54,1128060000Latah,46.78818842,-116.7369198,0.88,,0.0035,0.0111,1128006000,0.52,rain,1014.12,ID,1128001485,1128043915,65,1128027600,52.2,1128002400,1127977200,9.21,190,6.16
0,2005-10-31 00:00:00,49.14,1130709600,32.95,1130684400,0.47,Latah,35.82,0.83,1130742000Latah,46.78818842,-116.7369198,0.92,,0.0018,0.0232,1130716800,0.62,rain,1028.18,ID,1130682485,1130718931,49.14,1130709600,35.25,1130680800,1130655600,7.97,179,1.88
0,2005-11-30 00:00:00,29.32,1133301600,19.73,1133334000,0.84,Latah,25.96,0.8,1133334000Latah,46.78818842,-116.7369198,0.93,1.197,0.006,0.0364,1133326800,0.68,snow,1011.35,ID,1133277047,1133308985,34.89,1133301600,29.25,1133269200,1133251200,6.64,187,2.75
0,2005-12-31 00:00:00,39.96,1135987200,28.74,1135954800,0.98,Latah,33.8,0.88,1136012400Latah,46.78818842,-116.7369198,0.98,,0.0156,0.0279,1135987200,0.64,rain,998.17,ID,1135956786,1135987716,39.96,1135987200,35.08,1135954800,1135929600,6.72,123,5.64
0,2006-01-31 00:00:00,40.07,1138662000,29.51,1138690800,0.69,Latah,33.86,0.72,1138690800Latah,46.78818842,-116.7369198,0.05,,0.0037,0.0155,1138644000,0.57,rain,1006.94,ID,1138634090,1138668491,47.49,1138662000,35.63,1138690800,1138608000,9.14,204,11.79
0,2006-02-28 00:00:00,43.95,1141081200,30.85,1141084800,0.93,Latah,38.97,0.85,1141110000Latah,46.78818842,-116.7369198,0.99,,0.0131,0.0372,1141030800,0.68,rain,1002.72,ID,1141050686,1141090245,47.16,1141081200,39.3,1141038000,1141027200,7.89,143,5.09
0,2006-03-31 00:00:00,53.74,1143759600,35,1143720000,0.69,Latah,36.08,0.68,1143788400Latah,46.78818842,-116.7369198,0.05,,0.0001,0.0018,1143763200,0.04,rain,1012.95,ID,1143725454,1143771244,53.74,1143759600,39.9,1143727200,1143705600,9.51,162,3.16
0,2006-04-30 00:00:00,73.42,1146348000,45.73,1146308400,0.27,Latah,43.42,0.58,1146376800Latah,46.78818842,-116.7369198,0.07,,0.0067,0.0609,1146366000,0.73,rain,1015.65,ID,1146314155,1146365698,73.42,1146348000,47.32,1146308400,1146294000,9.53,213,3.54
0,2006-05-31 00:00:00,78.02,1149033600,42.21,1148990400,0.1,Latah,40.5,0.56,1149055200Latah,46.78818842,-116.7369198,0.12,,0,0,,0,,1021.96,ID,1148990354,1149046364,78.02,1149033600,43.84,1148990400,1148972400,9.79,114,3.04
0,2006-06-30 00:00:00,82.38,1151625600,59.48,1151582400,0.42,Latah,52.19,0.6,1151647200Latah,46.78818842,-116.7369198,0.13,,0.0026,0.0162,1151640000,0.57,rain,1017.45,ID,1151582220,1151639174,84.03,1151625600,59.48,1151582400,1151564400,9.72,162,2.25
0,2006-07-31 00:00:00,74.53,1154304000,55.08,1154264400,0.19,Latah,37.33,0.39,1154325600Latah,46.78818842,-116.7369198,0.17,,0,0,,0,,1012.62,ID,1154262359,1154316189,74.53,1154304000,55.08,1154264400,1154242800,9.77,244,10.53
0,2006-08-31 00:00:00,69.3,1156982400,44.14,1156942800,0.42,Latah,37.41,0.52,1157004000Latah,46.78818842,-116.7369198,0.22,,0.0009,0.0093,1156986000,0.5,rain,1015.32,ID,1156943146,1156991537,69.3,1156982400,48.64,1157004000,1156921200,9.35,225,7.67
0,2006-09-30 00:00:00,79.87,1159567200,48.98,1159538400,0.03,Latah,41.26,0.51,1159596000Latah,46.78818842,-116.7369198,0.23,,0,0,,0,,1015.77,ID,1159537464,1159579946,79.87,1159567200,48.98,1159538400,1159513200,9.46,163,2.04
0,2006-10-31 00:00:00,36.76,1162245600,20.87,1162278000,0.24,Latah,16.45,0.6,1162278000Latah,46.78818842,-116.7369198,0.29,,0,0.0009,1162231200,0,,1024.12,ID,1162218462,1162254955,36.76,1162245600,20.87,1162278000,1162195200,9.56,333,2.39
