,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,11.01,949363200,-16.79,949320000,0.61,Lemhi,3.74,0.75,949302000Lemhi,45.0529276,-113.8422193,0.85,1.71,0.006,0.02,949323600,0.6,snow,1024.73,ID,949330682,949365720,21.77,949363200,-0.63,949320000,949302000,9.64,175,2.96
0,2000-02-29 00:00:00,39.68,951858000,20.08,951832800,0.52,Lemhi,25.13,0.68,951807600Lemhi,45.0529276,-113.8422193,0.83,,0.004,0.02,951865200,0.6,rain,1014.99,ID,951833714,951873793,45.41,951858000,25.41,951832800,951807600,9.73,163,2.22
0,2000-03-31 00:00:00,54.75,954547200,23.24,954507600,0.03,Lemhi,16.16,0.46,954486000Lemhi,45.0529276,-113.8422193,0.86,,,,,,rain,1029.35,ID,954508653,954554598,54.75,954547200,23.24,954507600,954486000,9.84,325,2.67
0,2000-04-30 00:00:00,70.57,957139200,18.33,957099600,0.02,Lemhi,24.47,0.47,957074400Lemhi,45.0529276,-113.8422193,0.88,,,,,,rain,1024.22,ID,957097565,957148877,70.57,957139200,25.09,957099600,957074400,9.9,13,0.92
0,2000-05-31 00:00:00,54.33,959817600,37.04,959835600,0.55,Lemhi,33.36,0.59,959752800Lemhi,45.0529276,-113.8422193,0.93,,0.0075,0.03,959821200,0.65,rain,1016.24,ID,959773999,959829357,54.33,959817600,40.54,959835600,959752800,9.73,347,3.55
0,2000-06-30 00:00:00,84.3,962413200,45.5,962362800,0.24,Lemhi,41.79,0.42,962344800Lemhi,45.0529276,-113.8422193,0.96,,,,,,rain,1009.14,ID,962366001,962422038,87.9,962413200,47.79,962362800,962344800,9.9,265,0.42
0,2000-07-31 00:00:00,87.99,965084400,58.54,965048400,0.43,Lemhi,47.99,0.41,965023200Lemhi,45.0529276,-113.8422193,0.03,,,,,,rain,1013.75,ID,965046089,965099062,91.34,965084400,58.54,965048400,965023200,9.95,212,0.87
0,2000-08-31 00:00:00,77.81,967755600,43.07,967726800,0.21,Lemhi,38.1,0.49,967701600Lemhi,45.0529276,-113.8422193,0.09,,,,,,rain,1007.44,ID,967726708,967774527,77.81,967755600,43.07,967726800,967701600,9.73,202,5.51
0,2000-09-30 00:00:00,68.71,970354800,39.21,970315200,0.74,Lemhi,40.56,0.63,970293600Lemhi,45.0529276,-113.8422193,0.1,,0.0104,,,,rain,1012.33,ID,970320854,970363104,68.71,970354800,42.31,970300800,970293600,9.29,265,4.23
