,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,31.84,949363200,9.76,949305600,0.71,Lincoln,21.72,0.86,949302000Lincoln,43.002988,-114.305483,0.85,1.162,0.0035,0.0196,949305600,0.6,snow,1023.84,ID,949330493,949366132,36.81,949363200,21.37,949305600,949302000,6.89,98,3.21
0,2000-02-29 00:00:00,40.08,951854400,26.1,951822000,0.63,Lincoln,30.14,0.74,951807600Lincoln,43.002988,-114.305483,0.83,,0.0042,0.0179,951872400,0.59,rain,1015.81,ID,951833707,951874023,46.28,951854400,32,951832800,951807600,9.02,168,5.7
0,2000-03-31 00:00:00,57.16,954547200,21.97,954500400,0.04,Lincoln,20.83,0.48,954486000Lincoln,43.002988,-114.305483,0.86,,0,0,,0,,1027.09,ID,954508849,954554624,57.16,954547200,25.69,954507600,954486000,9.76,289,2.72
0,2000-04-30 00:00:00,78.03,957139200,28.33,957099600,0.05,Lincoln,24.06,0.37,957074400Lincoln,43.002988,-114.305483,0.88,,0,0,,0,,1024.46,ID,957097953,957148711,78.03,957139200,32.37,957099600,957074400,9.8,114,4.19
0,2000-05-31 00:00:00,73.85,959817600,31.21,959770800,0.06,Lincoln,29.21,0.46,959752800Lincoln,43.002988,-114.305483,0.93,,0,0,,0,,1017.19,ID,959774545,959829034,73.85,959817600,38.02,959774400,959752800,9.58,260,9.79
0,2000-06-30 00:00:00,86.09,962391600,58.56,962366400,0.17,Lincoln,44.22,0.36,962344800Lincoln,43.002988,-114.305483,0.96,,0.0051,0.0925,962406000,0.78,rain,1007.86,ID,962366575,962421686,89.54,962391600,58.56,962366400,962344800,9.66,148,5.07
0,2000-07-31 00:00:00,100.65,965084400,62.68,965044800,0.15,Lincoln,49.34,0.34,965023200Lincoln,43.002988,-114.305483,0.03,,0,0,,0,,1011.95,ID,965046540,965098833,100.97,965084400,62.68,965044800,965023200,9.72,262,1.53
0,2000-08-31 00:00:00,72.84,967748400,54.2,967719600,0.41,Lincoln,48.54,0.62,967701600Lincoln,43.002988,-114.305483,0.09,,0.006,0.0556,967766400,0.73,rain,1008.18,ID,967726970,967774488,72.84,967748400,54.2,967719600,967701600,9.44,179,5.18
0,2000-09-30 00:00:00,74.84,970351200,50.3,970322400,0.12,Lincoln,41.03,0.48,970293600Lincoln,43.002988,-114.305483,0.1,,0,0,,0,,1013.95,ID,970320922,970363258,74.84,970351200,50.3,970322400,970293600,9.81,232,7.28
