,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,21.43,949363200,-15.05,949302000,0.61,Madison,5.18,0.8,949302000Madison,43.797793,-111.7116675,0.85,0.043,0.0001,0.0026,949348800,0.08,snow,1028.07,ID,949329985,949365395,26.81,949363200,-1.7,949327200,949302000,8.01,44,1.67
0,2000-02-29 00:00:00,38.61,951865200,20.2,951829200,0.65,Madison,25.74,0.68,951807600Madison,43.797793,-111.7116675,0.83,,0.0004,0.0105,951868800,0.51,rain,1017.31,ID,951833130,951873355,43.54,951865200,29.87,951829200,951807600,9.96,180,7.28
0,2000-03-31 00:00:00,48.82,954547200,11.98,954507600,0.04,Madison,17.06,0.53,954486000Madison,43.797793,-111.7116675,0.86,,0,0,,0,,1027.44,ID,954508195,954554033,49.37,954547200,20.8,954507600,954486000,10,20,6.12
0,2000-04-30 00:00:00,71.42,957139200,20.34,957099600,0,Madison,23.31,0.48,957074400Madison,43.797793,-111.7116675,0.88,,0,0,,0,,1026.46,ID,957097226,957148193,71.42,957139200,26.67,957099600,957074400,10,304,0.5
0,2000-05-31 00:00:00,65.38,959817600,35.06,959774400,0.07,Madison,29.38,0.45,959752800Madison,43.797793,-111.7116675,0.93,,0.0011,0.0122,959821200,0.53,rain,1013.82,ID,959773758,959828575,65.38,959817600,42.08,959774400,959752800,10,200,14.62
0,2000-06-30 00:00:00,83.58,962402400,45.54,962366400,0.03,Madison,44.02,0.5,962344800Madison,43.797793,-111.7116675,0.96,,0.0092,0.17,962406000,0.83,rain,1010.99,ID,962365778,962421238,86.65,962402400,46.4,962366400,962344800,9.83,200,2.54
0,2000-07-31 00:00:00,92.57,965080800,53.48,965044800,0.04,Madison,48.77,0.45,965023200Madison,43.797793,-111.7116675,0.03,,0,0,,0,,1014.8,ID,965045789,965098340,96.17,965080800,53.48,965044800,965023200,9.68,13,1.91
0,2000-08-31 00:00:00,71.38,967748400,42.02,967723200,0.37,Madison,48.24,0.74,967701600Madison,43.797793,-111.7116675,0.09,,0.0062,0.0365,967777200,0.68,rain,1011.2,ID,967726290,967773923,71.38,967748400,44.65,967723200,967701600,9.51,205,5.31
0,2000-09-30 00:00:00,71.36,970351200,46.2,970322400,0.14,Madison,40.02,0.51,970293600Madison,43.797793,-111.7116675,0.1,,0,0,,0,,1012.87,ID,970320315,970362620,71.36,970351200,49.81,970322400,970293600,9.81,203,13.12
