,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,33.07,949363200,6.02,949305600,0.71,Minidoka,20.29,0.87,949302000Minidoka,42.67784075,-113.689449,0.85,1.717,0.0046,0.0249,949305600,0.63,snow,1024.32,ID,949330300,949366030,36.69,949363200,17.58,949305600,949302000,6.71,92,2.27
0,2000-02-29 00:00:00,42.47,951854400,25.3,951822000,0.6,Minidoka,29.64,0.71,951807600Minidoka,42.67784075,-113.689449,0.83,,0.0035,0.0252,951868800,0.63,rain,1015.87,ID,951833541,951873893,48.08,951854400,31.37,951825600,951807600,9.53,184,6.23
0,2000-03-31 00:00:00,56.73,954547200,19.94,954500400,0.07,Minidoka,20.46,0.48,954486000Minidoka,42.67784075,-113.689449,0.86,,0,0,,0,,1026.28,ID,954508715,954554463,56.73,954547200,24.59,954500400,954486000,9.84,329,3.2
0,2000-04-30 00:00:00,79.27,957139200,26.99,957099600,0.06,Minidoka,24.59,0.39,957074400Minidoka,42.67784075,-113.689449,0.88,,0,0,,0,,1024.64,ID,957097847,957148521,79.27,957139200,31.02,957099600,957074400,9.87,107,3.21
0,2000-05-31 00:00:00,76.18,959817600,34.25,959770800,0.08,Minidoka,29.58,0.45,959752800Minidoka,42.67784075,-113.689449,0.93,,0,0,,0,,1016.31,ID,959774463,959828820,76.18,959817600,40.06,959770800,959752800,9.73,255,9.8
0,2000-06-30 00:00:00,86.02,962391600,55.41,962366400,0.26,Minidoka,45.85,0.41,962344800Minidoka,42.67784075,-113.689449,0.96,,0.0092,0.17,962406000,0.83,rain,1008.19,ID,962366497,962421468,89.49,962391600,55.41,962366400,962344800,9.74,169,4.76
0,2000-07-31 00:00:00,103.03,965084400,61.05,965044800,0.22,Minidoka,51.39,0.37,965023200Minidoka,42.67784075,-113.689449,0.03,,0,0,,0,,1011.96,ID,965046444,965098634,101.93,965084400,61.05,965044800,965023200,9.77,265,1.57
0,2000-08-31 00:00:00,72.19,967748400,53.68,967719600,0.53,Minidoka,50.37,0.66,967701600Minidoka,42.67784075,-113.689449,0.09,,0.0051,0.052,967766400,0.72,rain,1008.82,ID,967726845,967774317,72.19,967748400,53.68,967719600,967701600,9.59,192,5.85
0,2000-09-30 00:00:00,75.61,970351200,50.23,970322400,0.16,Minidoka,40.86,0.48,970293600Minidoka,42.67784075,-113.689449,0.1,,0,0,,0,,1013.54,ID,970320768,970363117,75.61,970351200,50.23,970322400,970293600,9.87,232,8.38
0,2000-10-31 00:00:00,38.58,973033200,27.62,972993600,0.81,Minidoka,33.56,0.81,972975600Minidoka,42.67784075,-113.689449,0.15,,0.0023,0.05,973036800,0.71,rain,1016.12,ID,973001372,973038577,45.1,973033200,35.14,972993600,972975600,8.97,272,9.66
0,2000-11-30 00:00:00,37.81,975618000,23.03,975592800,0.18,Minidoka,25.74,0.74,975567600Minidoka,42.67784075,-113.689449,0.15,,0.0001,0.0026,975578400,0.08,rain,1026.29,ID,975595590,975629037,42.23,975618000,23.72,975650400,975567600,9.79,246,6.04
0,2000-12-31 00:00:00,17.74,978300000,9.09,978253200,0.8,Minidoka,19.21,0.94,978246000Minidoka,42.67784075,-113.689449,0.19,,0,0,,0,,1033.63,ID,978275174,978307937,23.68,978300000,15.16,978246000,978246000,3.4,275,2.43
0,2001-01-31 00:00:00,18.26,980971200,0.81,980938800,0.66,Minidoka,14.15,0.79,980924400Minidoka,42.67784075,-113.689449,0.23,0.054,0.0001,0.0029,980946000,0.09,snow,1032.05,ID,980952655,980988489,27.21,980971200,11.56,980938800,980924400,8.47,245,4.52
0,2001-02-28 00:00:00,31.97,983404800,3.71,983368800,0.04,Minidoka,13.17,0.66,983343600Minidoka,42.67784075,-113.689449,0.17,,0,0,,0,,1020.19,ID,983369566,983409874,38.05,983404800,13.13,983368800,983343600,9.83,43,2.21
0,2001-03-31 00:00:00,57.87,986083200,24.58,986036400,0.35,Minidoka,27.44,0.54,986022000Minidoka,42.67784075,-113.689449,0.23,,0,0,,0,,1015.93,ID,986044742,986090445,57.87,986083200,27.95,986047200,986022000,9.87,248,5.11
0,2001-04-30 00:00:00,71.11,988678800,39.58,988614000,0.38,Minidoka,34.16,0.43,988610400Minidoka,42.67784075,-113.689449,0.25,,0,0,,0,,1014.18,ID,988633869,988684503,71.11,988678800,44.43,988614000,988610400,9.81,242,8.31
0,2001-05-31 00:00:00,84.8,991353600,51.58,991314000,0.02,Minidoka,39.04,0.4,991288800Minidoka,42.67784075,-113.689449,0.32,,0,0,,0,,1017.73,ID,991310470,991364808,88.47,991353600,51.58,991314000,991288800,9.95,248,7.57
0,2001-06-30 00:00:00,88.56,993942000,52.63,993902400,0.06,Minidoka,48.11,0.46,993880800Minidoka,42.67784075,-113.689449,0.34,,0,0,,0,,1011.78,ID,993902490,993957470,92.37,993942000,52.63,993902400,993880800,9.99,233,2.57
0,2001-07-31 00:00:00,83.55,996624000,43.9,996584400,0.12,Minidoka,43.94,0.57,996559200Minidoka,42.67784075,-113.689449,0.39,,0,0,,0,,1014.69,ID,996582428,996634651,86.78,996624000,47.96,996584400,996559200,9.93,251,7.18
0,2001-08-31 00:00:00,84.21,999298800,56.66,999255600,0.05,Minidoka,46.27,0.43,999237600Minidoka,42.67784075,-113.689449,0.43,,0,0,,0,,1008.87,ID,999262828,999310344,87.5,999298800,56.66,999255600,999237600,9.97,188,2.36
0,2001-09-30 00:00:00,79.02,1001890800,38.76,1001858400,0,Minidoka,37.13,0.52,1001829600Minidoka,42.67784075,-113.689449,0.44,,0,0,,0,,1021.4,ID,1001856751,1001899145,80.7,1001890800,39.43,1001854800,1001829600,9.98,76,2.39
0,2001-10-31 00:00:00,51.04,1004554800,37.38,1004533200,0.83,Minidoka,38.57,0.72,1004511600Minidoka,42.67784075,-113.689449,0.48,,0.0054,0.034,1004511600,0.67,rain,1011.92,ID,1004537353,1004574597,51.04,1004554800,44.03,1004590800,1004511600,9.43,240,11.5
0,2001-11-30 00:00:00,21.86,1007164800,5.76,1007136000,0.42,Minidoka,18.43,0.77,1007103600Minidoka,42.67784075,-113.689449,0.49,0.154,0.0006,0.0051,1007103600,0.22,snow,1014.75,ID,1007131573,1007165042,34.31,1007164800,17.31,1007186400,1007103600,9.41,218,9.7
0,2001-12-31 00:00:00,24.86,1009832400,11.58,1009782000,0.99,Minidoka,23.89,0.92,1009782000Minidoka,42.67784075,-113.689449,0.55,1.009,0.0042,0.0206,1009821600,0.6,snow,1020.97,ID,1009811173,1009843925,29.25,1009832400,21.72,1009782000,1009782000,4.85,48,3.92
0,2002-01-31 00:00:00,16.85,1012521600,0.3,1012464000,0.79,Minidoka,10.27,0.82,1012460400Minidoka,42.67784075,-113.689449,0.61,0.186,0.0005,0.0031,1012507200,0.11,snow,1031.02,ID,1012488670,1012524468,23.83,1012521600,9.36,1012464000,1012460400,8.42,60,4.42
0,2002-02-28 00:00:00,21,1014926400,10.68,1014962400,0.6,Minidoka,17.43,0.73,1014879600Minidoka,42.67784075,-113.689449,0.55,0.075,0.0004,0.0054,1014922800,0.24,snow,1015.42,ID,1014905591,1014945855,32.7,1014926400,18.97,1014962400,1014879600,9.03,289,5.67
0,2002-03-31 00:00:00,64.39,1017612000,27.66,1017579600,0.03,Minidoka,25.21,0.42,1017558000Minidoka,42.67784075,-113.689449,0.61,,0,0,,0,,1017.72,ID,1017580769,1017626428,64.39,1017612000,34.36,1017579600,1017558000,9.96,238,9.79
0,2002-04-30 00:00:00,59.2,1020207600,38.91,1020168000,0.58,Minidoka,39.22,0.68,1020146400Minidoka,42.67784075,-113.689449,0.63,,0.0014,0.0135,1020171600,0.55,rain,1006.24,ID,1020169890,1020220486,59.2,1020207600,43.06,1020168000,1020146400,9.96,256,6.76
0,2002-05-31 00:00:00,81.29,1022893200,56.67,1022850000,0.07,Minidoka,47.78,0.48,1022824800Minidoka,42.67784075,-113.689449,0.68,,0,0,,0,,1009.67,ID,1022846478,1022900795,83.27,1022893200,56.67,1022850000,1022824800,9.93,247,6.89
0,2002-06-30 00:00:00,82.31,1025474400,55.2,1025438400,0,Minidoka,49.33,0.5,1025416800Minidoka,42.67784075,-113.689449,0.69,,0,0,,0,,1012.59,ID,1025438482,1025493472,84.37,1025474400,55.2,1025438400,1025416800,10,242,6.6
0,2002-07-31 00:00:00,82.59,1028160000,60.65,1028120400,0.09,Minidoka,44.63,0.42,1028095200Minidoka,42.67784075,-113.689449,0.73,,0,0,,0,,1013.45,ID,1028118412,1028170669,85.73,1028160000,60.65,1028120400,1028095200,9.99,241,8.83
0,2002-08-31 00:00:00,79.99,1030834800,50.33,1030798800,0.05,Minidoka,45.51,0.53,1030773600Minidoka,42.67784075,-113.689449,0.77,,0,0,,0,,1015.7,ID,1030798811,1030846370,81.68,1030834800,50.33,1030798800,1030773600,9.99,229,2.32
0,2002-09-30 00:00:00,52.06,1033419600,29.88,1033394400,0.45,Minidoka,32.04,0.62,1033365600Minidoka,42.67784075,-113.689449,0.79,,0.0011,0.0085,1033405200,0.45,rain,1013.51,ID,1033392733,1033435172,52.06,1033419600,35.89,1033394400,1033365600,9.92,242,7.52
0,2002-10-31 00:00:00,21.95,1036108800,6.72,1036072800,0.38,Minidoka,13.71,0.8,1036047600Minidoka,42.67784075,-113.689449,0.85,0.019,0.0001,0.0014,1036047600,0.03,snow,1026.7,ID,1036073333,1036110618,27.94,1036108800,13.08,1036072800,1036047600,9.46,273,3.04
