,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,35.49,949363200,19.52,949309200,0.68,Owyhee,26.73,0.85,949302000Owyhee,43.1555052,-116.4167626,0.85,0.88,0.0042,0.029,949348800,0.65,snow,1023.54,ID,949331021,949366617,40.15,949363200,26.69,949330800,949302000,7.51,134,4.94
0,2000-02-29 00:00:00,44.75,951868800,26.81,951825600,0.75,Owyhee,33.65,0.83,951807600Owyhee,43.1555052,-116.4167626,0.83,,0.005,0.0263,951858000,0.64,rain,1015.75,ID,951834221,951874522,44.75,951868800,34.42,951832800,951807600,8.28,146,5.24
0,2000-03-31 00:00:00,60.79,954547200,25.24,954504000,0.04,Owyhee,23.55,0.47,954486000Owyhee,43.1555052,-116.4167626,0.86,,0,0,,0,,1028.03,ID,954509349,954555137,60.79,954547200,30.42,954507600,954486000,9.41,314,7.38
0,2000-04-30 00:00:00,76.7,957139200,27.7,957099600,0.06,Owyhee,25.79,0.4,957074400Owyhee,43.1555052,-116.4167626,0.88,,0,0,,0,,1023.87,ID,957098439,957149238,76.7,957139200,33.53,957099600,957074400,9.45,126,6.98
0,2000-05-31 00:00:00,67.42,959817600,32.81,959770800,0.17,Owyhee,31.58,0.5,959752800Owyhee,43.1555052,-116.4167626,0.93,,0.0002,0.004,959810400,0.15,rain,1018.82,ID,959775020,959829572,67.42,959817600,37.72,959774400,959752800,9.34,302,6.22
0,2000-06-30 00:00:00,89.08,962406000,59.92,962370000,0.14,Owyhee,45.14,0.34,962344800Owyhee,43.1555052,-116.4167626,0.96,,0.0003,0.0064,962413200,0.3,rain,1006.66,ID,962367049,962422226,92.54,962406000,59.92,962370000,962344800,9.46,130,2.48
0,2000-07-31 00:00:00,97.81,965084400,66.13,965048400,0.13,Owyhee,51.41,0.38,965023200Owyhee,43.1555052,-116.4167626,0.03,,0,0,,0,,1011.45,ID,965047023,965099364,100.07,965084400,66.13,965048400,965023200,9.39,336,1.58
0,2000-08-31 00:00:00,76.65,967755600,52.07,967726800,0.28,Owyhee,46,0.54,967701600Owyhee,43.1555052,-116.4167626,0.09,,0.0061,0.0523,967762800,0.72,rain,1007.14,ID,967727466,967775005,76.65,967755600,52.07,967726800,967701600,9.35,150,6.63
0,2000-09-30 00:00:00,76.05,970347600,46.43,970322400,0.22,Owyhee,42.63,0.51,970293600Owyhee,43.1555052,-116.4167626,0.1,,0,0,,0,,1014.15,ID,970321432,970363761,76.05,970347600,48.08,970322400,970293600,9.44,210,1.65
