,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,36.46,949363200,21.11,949305600,0.67,Payette,27.57,0.87,949302000Payette,43.99866967,-116.821572,0.85,1.558,0.008,0.0752,949348800,0.76,snow,1024.17,ID,949331240,949366593,39.56,949363200,27.64,949330800,949302000,6.58,144,3.85
0,2000-02-29 00:00:00,47.27,951868800,26.83,951825600,0.76,Payette,34.38,0.84,951807600Payette,43.99866967,-116.821572,0.83,,0.0072,0.0302,951847200,0.65,rain,1016.3,ID,951834366,951874571,49.19,951868800,34.84,951825600,951807600,8.95,138,4.07
0,2000-03-31 00:00:00,65.53,954547200,27.11,954507600,0.02,Payette,25.31,0.46,954486000Payette,43.99866967,-116.821572,0.86,,0,0,,0,,1029.38,ID,954509412,954555269,65.53,954547200,32.24,954507600,954486000,9.67,328,7.65
0,2000-04-30 00:00:00,76.98,957139200,28.41,957099600,0.03,Payette,28.58,0.45,957074400Payette,43.99866967,-116.821572,0.88,,0,0,,0,,1024.13,ID,957098424,957149448,76.98,957139200,33.34,957099600,957074400,9.75,133,5.59
0,2000-05-31 00:00:00,69.84,959817600,34.14,959767200,0.33,Payette,34.36,0.57,959752800Payette,43.99866967,-116.821572,0.93,,0.0014,0.0066,959767200,0.32,rain,1019.95,ID,959774942,959829845,69.84,959817600,37.03,959770800,959752800,9.63,310,4.34
0,2000-06-30 00:00:00,89.26,962406000,55.31,962366400,0.05,Payette,45.94,0.4,962344800Payette,43.99866967,-116.821572,0.96,,0.0001,0.0013,962409600,0.02,rain,1006.98,ID,962366960,962422510,92.84,962406000,55.31,962366400,962344800,9.56,311,2.02
0,2000-07-31 00:00:00,96.55,965084400,64.28,965048400,0.06,Payette,55.25,0.45,965023200Payette,43.99866967,-116.821572,0.03,,0,0,,0,,1011.72,ID,965046983,965099598,98.45,965084400,64.28,965048400,965023200,9.68,329,2.43
0,2000-08-31 00:00:00,78.38,967755600,44.78,967730400,0.2,Payette,46.36,0.55,967701600Payette,43.99866967,-116.821572,0.09,,0.0026,0.03,967766400,0.65,rain,1006.96,ID,967727502,967775163,78.38,967755600,48.88,967730400,967701600,9.69,152,5.68
0,2000-09-30 00:00:00,77.29,970354800,43.22,970315200,0.31,Payette,44.68,0.56,970293600Payette,43.99866967,-116.821572,0.1,,0.0005,0.0046,970372800,0.19,rain,1014.42,ID,970321547,970363841,77.29,970354800,46.1,970315200,970293600,9.57,163,1.27
0,2000-10-31 00:00:00,53.22,973029600,29.61,972997200,0.15,Payette,32.01,0.64,972975600Payette,43.99866967,-116.821572,0.15,,0,0,,0,,1020.45,ID,973002276,973039177,53.22,973029600,37.44,973004400,972975600,9.61,319,12.82
0,2000-11-30 00:00:00,45.01,975621600,23.4,975589200,0.35,Payette,29.86,0.86,975567600Payette,43.99866967,-116.821572,0.15,,0.0001,0.003,975600000,0.1,rain,1027.91,ID,975596591,975629539,45.01,975621600,28.14,975592800,975567600,8.23,133,1.93
0,2000-12-31 00:00:00,26.62,978307200,18.71,978271200,0.93,Payette,22.73,0.84,978246000Payette,43.99866967,-116.821572,0.19,,0,0,,0,,1035.44,ID,978276195,978308421,31.25,978307200,24.93,978325200,978246000,6.59,301,1.99
0,2001-01-31 00:00:00,27.05,980978400,6.97,980946000,0.66,Payette,16.96,0.83,980924400Payette,43.99866967,-116.821572,0.23,0.112,0.0003,0.0019,980946000,0.05,snow,1034.32,ID,980953592,980989055,31.12,980978400,12.49,980924400,980924400,5.8,241,2.99
0,2001-02-28 00:00:00,39.66,983404800,13.49,983368800,0.01,Payette,19.15,0.67,983343600Payette,43.99866967,-116.821572,0.17,,0,0,,0,,1021.62,ID,983370393,983410551,45.04,983404800,18.26,983372400,983343600,9.51,257,1.37
0,2001-03-31 00:00:00,56.66,986083200,28.91,986043600,0.6,Payette,33.37,0.68,986022000Payette,43.99866967,-116.821572,0.23,,0.0055,0.0448,986097600,0.7,rain,1017.56,ID,986045440,986091250,56.66,986083200,32.23,986036400,986022000,9.47,117,0.92
0,2001-04-30 00:00:00,69.69,988668000,43.21,988693200,0.58,Payette,40.58,0.6,988610400Payette,43.99866967,-116.821572,0.25,,0.0062,0.0731,988657200,0.75,rain,1016.08,ID,988634447,988685429,69.69,988668000,47.25,988635600,988610400,9.53,238,1.06
0,2001-05-31 00:00:00,84.55,991353600,46.25,991314000,0.02,Payette,41.13,0.42,991288800Payette,43.99866967,-116.821572,0.32,,0,0,,0,,1018.92,ID,991310950,991365832,88.2,991353600,49.12,991314000,991288800,9.73,299,2.67
0,2001-06-30 00:00:00,87.81,993945600,58.97,993906000,0.06,Payette,51.82,0.5,993880800Payette,43.99866967,-116.821572,0.34,,0,0,,0,,1012.37,ID,993902952,993958512,91.21,993945600,58.97,993906000,993880800,9.83,300,2.76
0,2001-07-31 00:00:00,82.51,996624000,43.16,996584400,0.17,Payette,45.3,0.62,996559200Payette,43.99866967,-116.821572,0.39,,0.0002,0.003,996566400,0.1,rain,1016.49,ID,996582966,996635617,85.51,996624000,46.14,996584400,996559200,9.78,274,1.5
0,2001-08-31 00:00:00,85.39,999302400,59.23,999266400,0.06,Payette,45.7,0.37,999237600Payette,43.99866967,-116.821572,0.43,,0,0,,0,,1008.41,ID,999263485,999311190,89.01,999302400,59.23,999266400,999237600,9.76,320,3.5
0,2001-09-30 00:00:00,79.7,1001894400,35.23,1001858400,0,Payette,34.6,0.48,1001829600Payette,43.99866967,-116.821572,0.44,,0,0,,0,,1021.56,ID,1001857529,1001899869,81.83,1001894400,38.41,1001858400,1001829600,9.93,112,1.95
0,2001-10-31 00:00:00,58.45,1004562000,43.74,1004533200,0.39,Payette,40.11,0.66,1004511600Payette,43.99866967,-116.821572,0.48,,0.0021,0.0104,1004515200,0.51,rain,1012.25,ID,1004538255,1004575198,58.45,1004562000,45.74,1004533200,1004511600,8.55,228,6.79
0,2001-11-30 00:00:00,32.43,1007164800,15.81,1007132400,0.49,Payette,22.47,0.78,1007103600Payette,43.99866967,-116.821572,0.49,0.03,0.0001,0.0023,1007136000,0.07,snow,1015.01,ID,1007132574,1007165545,39.77,1007164800,22.04,1007114400,1007103600,9.42,145,6.36
0,2001-12-31 00:00:00,31.42,1009836000,24.43,1009792800,0.99,Payette,29.23,0.89,1009782000Payette,43.99866967,-116.821572,0.55,0.403,0.0021,0.0162,1009810800,0.57,snow,1021.58,ID,1009812193,1009844408,34.11,1009836000,30.63,1009810800,1009782000,3.81,140,0.95
0,2002-01-31 00:00:00,24.82,1012514400,13.35,1012485600,0.92,Payette,19.08,0.76,1012460400Payette,43.99866967,-116.821572,0.61,0.064,0.0003,0.0023,1012532400,0.07,snow,1030.11,ID,1012489609,1012525033,31.11,1012514400,19.6,1012478400,1012460400,8.2,149,4.45
0,2002-02-28 00:00:00,29.82,1014926400,15.74,1014894000,0.37,Payette,17.71,0.57,1014879600Payette,43.99866967,-116.821572,0.55,,0,0,,0,,1019.97,ID,1014906419,1014946530,39.07,1014926400,24.35,1014890400,1014879600,9.81,321,13.13
0,2002-03-31 00:00:00,67.54,1017615600,29.38,1017583200,0.01,Payette,28.47,0.53,1017558000Payette,43.99866967,-116.821572,0.61,,0,0,,0,,1020.02,ID,1017581469,1017627231,67.54,1017615600,29.38,1017583200,1017558000,9.88,314,2.39
0,2002-04-30 00:00:00,65.57,1020211200,47.09,1020171600,0.7,Payette,37.26,0.52,1020146400Payette,43.99866967,-116.821572,0.63,,0.0018,0.0105,1020200400,0.51,rain,1008.07,ID,1020170469,1020221410,65.57,1020211200,48.37,1020171600,1020146400,9.87,280,4.78
0,2002-05-31 00:00:00,81.8,1022886000,50.5,1022850000,0.04,Payette,39.63,0.41,1022824800Payette,43.99866967,-116.821572,0.68,,0.0002,0.0051,1022889600,0.22,rain,1011.84,ID,1022846959,1022901819,84.86,1022886000,50.5,1022850000,1022824800,9.6,317,6.03
0,2002-06-30 00:00:00,82.3,1025485200,57.16,1025438400,0.02,Payette,45.29,0.42,1025416800Payette,43.99866967,-116.821572,0.69,,0,0,,0,,1014.32,ID,1025438944,1025494514,84.88,1025485200,57.16,1025438400,1025416800,9.93,315,6.96
0,2002-07-31 00:00:00,83.53,1028160000,59.72,1028116800,0,Payette,34.09,0.27,1028095200Payette,43.99866967,-116.821572,0.73,,0,0,,0,,1015.49,ID,1028118949,1028171635,87.13,1028160000,59.72,1028116800,1028095200,9.94,318,8.81
0,2002-08-31 00:00:00,82.72,1030834800,52.67,1030798800,0.04,Payette,45.73,0.48,1030773600Payette,43.99866967,-116.821572,0.77,,0,0,,0,,1015.94,ID,1030799467,1030847218,85.74,1030834800,52.67,1030798800,1030773600,9.98,273,2.8
0,2002-09-30 00:00:00,57.37,1033430400,33.14,1033390800,0.39,Payette,33.07,0.65,1033365600Payette,43.99866967,-116.821572,0.79,,0.001,0.0094,1033405200,0.5,rain,1016.03,ID,1033393511,1033435898,57.37,1033430400,35.81,1033394400,1033365600,9.7,314,3.16
0,2002-10-31 00:00:00,36.9,1036108800,10.57,1036076400,0.06,Payette,10.52,0.53,1036047600Payette,43.99866967,-116.821572,0.85,,0,0,,0,,1028.89,ID,1036074235,1036111219,36.9,1036108800,16.91,1036076400,1036047600,9.57,292,3.37
0,2002-11-30 00:00:00,44.82,1038693600,19.01,1038654000,0.04,Payette,22.13,0.7,1038639600Payette,43.99866967,-116.821572,0.87,,0,0,,0,,1026.1,ID,1038668556,1038701551,44.82,1038693600,21.41,1038664800,1038639600,6.75,224,1.14
0,2002-12-31 00:00:00,37.56,1041372000,29.23,1041318000,0.71,Payette,31.9,0.72,1041318000Payette,43.99866967,-116.821572,0.93,,0.0046,0.0591,1041361200,0.73,rain,1011.75,ID,1041348192,1041380395,43.15,1041372000,35.08,1041400800,1041318000,9.57,182,4.2
0,2003-01-31 00:00:00,54.97,1044046800,35.38,1044057600,0.45,Payette,39.47,0.72,1043996400Payette,43.99866967,-116.821572,0.98,,0.0012,0.0056,1044036000,0.25,rain,1019.03,ID,1044025625,1044061012,54.97,1044046800,42.7,1044057600,1043996400,8.06,157,5.53
