,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,17.72,949363200,-18.86,949312800,0.47,Teton,-0.54,0.75,949302000Teton,43.75159225,-111.1640968,0.85,0.066,0.0001,0.0035,949348800,0.13,snow,1027.97,ID,949329847,949365270,21.79,949363200,-6.98,949320000,949302000,8.63,34,2.16
0,2000-02-29 00:00:00,35.4,951865200,19.42,951829200,0.61,Teton,23.09,0.67,951807600Teton,43.75159225,-111.1640968,0.83,,0.0006,0.0138,951868800,0.55,rain,1017.51,ID,951832996,951873226,40.1,951865200,26.84,951836400,951807600,9.93,193,5.83
0,2000-03-31 00:00:00,42.37,954547200,8.86,954507600,0.04,Teton,15.26,0.53,954486000Teton,43.75159225,-111.1640968,0.86,,0,0,,0,,1027.05,ID,954508066,954553900,45.36,954547200,19.06,954500400,954486000,10,12,6.85
0,2000-04-30 00:00:00,67.42,957139200,21.64,957099600,0.01,Teton,21.51,0.47,957074400Teton,43.75159225,-111.1640968,0.88,,0,0,,0,,1026.13,ID,957097101,957148055,67.42,957139200,25.88,957096000,957074400,10,282,1.14
0,2000-05-31 00:00:00,61.32,959817600,37.66,959774400,0.09,Teton,27.35,0.42,959752800Teton,43.75159225,-111.1640968,0.93,,0,0,,0,,1013.6,ID,959773637,959828434,61.32,959817600,42.28,959774400,959752800,10,218,11.54
0,2000-06-30 00:00:00,81.38,962395200,41.9,962366400,0.05,Teton,39.76,0.44,962344800Teton,43.75159225,-111.1640968,0.96,,0.0092,0.17,962406000,0.83,rain,1011,ID,962365657,962421097,84.15,962395200,43.35,962366400,962344800,9.76,212,2.53
0,2000-07-31 00:00:00,90.35,965080800,52.34,965044800,0.04,Teton,44.27,0.39,965023200Teton,43.75159225,-111.1640968,0.03,,0,0,,0,,1015.63,ID,965045665,965098201,94.31,965080800,52.34,965044800,965023200,9.61,348,2.78
0,2000-08-31 00:00:00,67.48,967748400,40.51,967723200,0.44,Teton,46.42,0.74,967701600Teton,43.75159225,-111.1640968,0.09,,0.007,0.0286,967766400,0.65,rain,1011.79,ID,967726161,967773789,67.48,967748400,43.27,967723200,967701600,9.44,205,4.54
0,2000-09-30 00:00:00,69.14,970351200,42.66,970318800,0.19,Teton,37.26,0.49,970293600Teton,43.75159225,-111.1640968,0.1,,0,0,,0,,1013.35,ID,970320183,970362490,69.14,970351200,46.35,970318800,970293600,9.73,215,11.21
0,2000-10-31 00:00:00,45.9,973026000,28.96,973008000,0.68,Teton,31.8,0.82,972975600Teton,43.75159225,-111.1640968,0.15,,0.013,0.1392,973018800,0.81,rain,1015.22,ID,973000888,973037849,45.9,973026000,31.38,973000800,972975600,8.31,326,2.3
0,2000-11-30 00:00:00,26.67,975621600,5.38,975650400,0.46,Teton,20.98,0.76,975567600Teton,43.75159225,-111.1640968,0.15,,0,0,,0,,1025.99,ID,975595185,975628229,33.32,975621600,13.53,975650400,975567600,8.86,230,7.26
0,2000-12-31 00:00:00,25.1,978296400,3.36,978321600,0.62,Teton,12.71,0.85,978246000Teton,43.75159225,-111.1640968,0.19,,0,0,,0,,1032.67,ID,978274785,978307114,25.1,978296400,8.96,978249600,978246000,7.37,342,1.69
0,2001-01-31 00:00:00,15.15,980985600,-4.05,980938800,0.84,Teton,7.64,0.78,980924400Teton,43.75159225,-111.1640968,0.23,0.063,0.0001,0.0033,980946000,0.12,snow,1032.35,ID,980952200,980987731,22.35,980985600,7.44,980938800,980924400,6.1,354,3.75
0,2001-02-28 00:00:00,22.84,983404800,-18.8,983372400,0.01,Teton,2.18,0.71,983343600Teton,43.75159225,-111.1640968,0.17,,0,0,,0,,1024.16,ID,983369022,983409206,26.62,983404800,-3.51,983372400,983343600,9.77,22,3.81
0,2001-03-31 00:00:00,52.29,986083200,14.79,986040000,0.36,Teton,21.86,0.58,986022000Teton,43.75159225,-111.1640968,0.23,,0.0016,0.0317,986104800,0.66,rain,1017.14,ID,986044094,986089881,52.29,986083200,19.72,986040000,986022000,9.29,223,4.07
0,2001-04-30 00:00:00,60.69,988660800,37.48,988675200,0.46,Teton,30.77,0.44,988610400Teton,43.75159225,-111.1640968,0.25,,0.0019,0.0238,988668000,0.62,rain,1014.71,ID,988633123,988684037,60.69,988660800,43.27,988632000,988610400,8.97,216,13.2
0,2001-05-31 00:00:00,77.8,991353600,41.33,991306800,0.05,Teton,35.16,0.45,991288800Teton,43.75159225,-111.1640968,0.32,,0,0,,0,,1019.33,ID,991309645,991364421,77.8,991353600,41.33,991306800,991288800,9.98,231,3.62
0,2001-06-30 00:00:00,83.68,993938400,45.72,993902400,0.05,Teton,42.03,0.42,993880800Teton,43.75159225,-111.1640968,0.34,,0,0,,0,,1014.54,ID,993901649,993957099,87.07,993938400,47.63,993902400,993880800,9.99,267,0.82
0,2001-07-31 00:00:00,79.19,996624000,45.71,996584400,0.29,Teton,37,0.46,996559200Teton,43.75159225,-111.1640968,0.39,,0.0031,0.029,996570000,0.65,rain,1014.53,ID,996581648,996634219,80.98,996624000,49.61,996584400,996559200,10,216,8.55
0,2001-08-31 00:00:00,79.87,999302400,50.8,999259200,0.21,Teton,44.77,0.53,999237600Teton,43.75159225,-111.1640968,0.43,,0.0002,0.0049,999291600,0.21,rain,1012.12,ID,999262144,999309816,81.96,999302400,50.8,999259200,999237600,9.91,241,2.22
0,2001-09-30 00:00:00,75.54,1001890800,30.78,1001858400,0,Teton,33.13,0.52,1001829600Teton,43.75159225,-111.1640968,0.44,,0,0,,0,,1023.52,ID,1001856165,1001898518,75.54,1001890800,34.63,1001851200,1001829600,8.99,10,1.95
0,2001-10-31 00:00:00,37.98,1004558400,32.5,1004544000,0.8,Teton,35.11,0.75,1004511600Teton,43.75159225,-111.1640968,0.48,,0.0175,0.0963,1004515200,0.78,rain,1009.61,ID,1004536868,1004573870,45.5,1004558400,40.53,1004590800,1004511600,9.37,216,14.31
