,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,33.08,949363200,12.24,949320000,0.6,Twin Falls,23.86,0.91,949302000Twin Falls,42.44783644,-114.5442722,0.85,3.049,0.0101,0.055,949305600,0.72,snow,1022.6,ID,949330473,949366267,36.51,949363200,22.77,949323600,949302000,6.02,154,2.21
0,2000-02-29 00:00:00,38.42,951854400,26.18,951832800,0.59,Twin Falls,30.93,0.77,951807600Twin Falls,42.44783644,-114.5442722,0.83,,0.0054,0.0239,951865200,0.62,rain,1014.76,ID,951833733,951874111,45.8,951854400,33.38,951822000,951807600,9.4,178,8.31
0,2000-03-31 00:00:00,56.93,954547200,18.96,954507600,0.02,Twin Falls,22.67,0.5,954486000Twin Falls,42.44783644,-114.5442722,0.86,,0,0,,0,,1025.98,ID,954508929,954554659,56.93,954547200,26.74,954507600,954486000,9.92,254,4.71
0,2000-04-30 00:00:00,78.11,957139200,25.34,957099600,0.02,Twin Falls,25.38,0.38,957074400Twin Falls,42.44783644,-114.5442722,0.88,,0,0,,0,,1023.49,ID,957098082,957148697,78.11,957139200,32.46,957099600,957074400,9.93,102,2.88
0,2000-05-31 00:00:00,73.46,959817600,30.73,959774400,0.03,Twin Falls,30.74,0.5,959752800Twin Falls,42.44783644,-114.5442722,0.93,,0,0,,0,,1016.86,ID,959774714,959828979,73.46,959817600,37.11,959774400,959752800,9.86,270,9.93
0,2000-06-30 00:00:00,87.27,962391600,61.77,962366400,0.11,Twin Falls,45.5,0.36,962344800Twin Falls,42.44783644,-114.5442722,0.96,,0.005,0.0889,962406000,0.77,rain,1006.76,ID,962366752,962421625,90.09,962391600,61.77,962366400,962344800,9.9,161,7.06
0,2000-07-31 00:00:00,98.3,965084400,66.16,965044800,0.06,Twin Falls,48.03,0.3,965023200Twin Falls,42.44783644,-114.5442722,0.03,,0,0,,0,,1010.79,ID,965046685,965098803,99.65,965084400,66.16,965044800,965023200,9.9,231,3.13
0,2000-08-31 00:00:00,73.87,967748400,58.29,967777200,0.28,Twin Falls,51.62,0.66,967701600Twin Falls,42.44783644,-114.5442722,0.09,,0.0058,0.0766,967766400,0.76,rain,1007.16,ID,967727066,967774506,73.87,967748400,58.29,967777200,967701600,9.79,190,8.72
0,2000-09-30 00:00:00,76.35,970351200,52.16,970322400,0.04,Twin Falls,41.63,0.48,970293600Twin Falls,42.44783644,-114.5442722,0.1,,0,0,,0,,1013.18,ID,970320968,970363327,76.35,970351200,52.16,970322400,970293600,9.94,233,7.77
