,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,29.14,949363200,13.06,949305600,0.75,Valley,21.83,0.84,949302000Valley,44.6955836,-115.7287446,0.85,1.254,0.0044,0.02,949348800,0.6,snow,1023.98,ID,949331081,949366227,35.77,949363200,22.41,949330800,949302000,6.95,145,4.96
0,2000-02-29 00:00:00,42.84,951868800,24.12,951825600,0.8,Valley,30.89,0.82,951807600Valley,44.6955836,-115.7287446,0.83,,0.0045,0.0268,951858000,0.64,rain,1015.75,ID,951834145,951874268,42.84,951868800,31.32,951825600,951807600,8.38,136,4.23
0,2000-03-31 00:00:00,57.35,954547200,24.19,954489600,0.02,Valley,21.76,0.49,954486000Valley,44.6955836,-115.7287446,0.86,,0,0,,0,,1029.75,ID,954509121,954555036,57.35,954547200,26.81,954507600,954486000,9.47,332,6.11
0,2000-04-30 00:00:00,73.68,957139200,27.49,957099600,0.05,Valley,27.63,0.48,957074400Valley,44.6955836,-115.7287446,0.88,,0,0,,0,,1024.42,ID,957098067,957149280,73.68,957139200,30.76,957099600,957074400,9.66,136,5.17
0,2000-05-31 00:00:00,63.87,959817600,34.02,959763600,0.5,Valley,33.36,0.63,959752800Valley,44.6955836,-115.7287446,0.93,,0.0028,0.0157,959810400,0.57,rain,1018.97,ID,959774530,959829732,63.87,959817600,34.83,959770800,959752800,9.23,298,2.67
0,2000-06-30 00:00:00,84.36,962406000,50.46,962366400,0.11,Valley,43.78,0.42,962344800Valley,44.6955836,-115.7287446,0.96,,0,0,,0,,1008.42,ID,962366538,962422407,87.82,962406000,50.46,962366400,962344800,9.53,309,0.9
0,2000-07-31 00:00:00,92.68,965084400,61.2,965048400,0.15,Valley,51.49,0.43,965023200Valley,44.6955836,-115.7287446,0.03,,0,0,,0,,1012.98,ID,965046604,965099453,96.17,965084400,61.2,965048400,965023200,9.67,331,2.08
0,2000-08-31 00:00:00,74.88,967755600,42.07,967726800,0.24,Valley,43.27,0.58,967701600Valley,44.6955836,-115.7287446,0.09,,0.004,0.0442,967762800,0.7,rain,1007.58,ID,967727188,967774953,74.88,967755600,44.25,967726800,967701600,9.39,167,4.43
0,2000-09-30 00:00:00,68.21,970347600,40.39,970315200,0.52,Valley,43.82,0.65,970293600Valley,44.6955836,-115.7287446,0.1,,0.0021,0.0178,970372800,0.59,rain,1014.73,ID,970321299,970363564,68.21,970347600,43.74,970315200,970293600,9.69,180,1.25
0,2000-10-31 00:00:00,44.17,973029600,26.18,973000800,0.38,Valley,29.78,0.69,972975600Valley,44.6955836,-115.7287446,0.15,,0,0,,0,,1019.72,ID,973002096,973038832,48.44,973029600,33.41,973004400,972975600,9.31,321,8.92
0,2000-11-30 00:00:00,43,975628800,18.94,975589200,0.57,Valley,26.34,0.86,975567600Valley,44.6955836,-115.7287446,0.15,0.076,0.0003,0.0079,975600000,0.4,snow,1027.67,ID,975596466,975629140,43,975628800,23.92,975646800,975567600,8.03,156,2.69
0,2000-12-31 00:00:00,15.55,978307200,10.9,978318000,0.82,Valley,15.91,0.85,978246000Valley,44.6955836,-115.7287446,0.19,,0,0,,0,,1035.09,ID,978276080,978308011,23.79,978307200,16.32,978318000,978246000,5.98,262,1.53
0,2001-01-31 00:00:00,23.27,980982000,8.49,980956800,0.78,Valley,16.69,0.83,980924400Valley,44.6955836,-115.7287446,0.23,0.761,0.0019,0.0129,980946000,0.54,snow,1032.11,ID,980953432,980988690,28.58,980982000,16.53,980953200,980924400,7.03,222,1.99
0,2001-02-28 00:00:00,32.73,983404800,1.63,983372400,0.01,Valley,10.97,0.67,983343600Valley,44.6955836,-115.7287446,0.17,,0,0,,0,,1021.85,ID,983370172,983410247,37.68,983404800,7.87,983372400,983343600,9.38,213,0.68
0,2001-03-31 00:00:00,51.1,986083200,23.58,986043600,0.59,Valley,29.32,0.7,986022000Valley,44.6955836,-115.7287446,0.23,,0.0077,0.0366,986097600,0.68,rain,1017.59,ID,986045150,986091016,51.1,986083200,26.96,986036400,986022000,9.23,130,1.95
0,2001-04-30 00:00:00,66.44,988668000,40.63,988693200,0.7,Valley,38.44,0.65,988610400Valley,44.6955836,-115.7287446,0.25,,0.014,0.1257,988678800,0.8,rain,1015.75,ID,988634090,988685261,66.44,988668000,43.08,988635600,988610400,9.05,210,1.98
0,2001-05-31 00:00:00,80.34,991353600,40.05,991314000,0.05,Valley,40.45,0.5,991288800Valley,44.6955836,-115.7287446,0.32,,0,0,,0,,1019.62,ID,991310539,991365719,82.37,991353600,43.34,991314000,991288800,9.81,312,2.29
0,2001-06-30 00:00:00,83.57,993945600,50.04,993902400,0.1,Valley,48.89,0.55,993880800Valley,44.6955836,-115.7287446,0.34,,0,0,,0,,1013.66,ID,993902530,993958409,86.54,993945600,50.04,993902400,993880800,9.8,286,1.47
0,2001-07-31 00:00:00,79.07,996624000,42.71,996584400,0.35,Valley,44.31,0.68,996559200Valley,44.6955836,-115.7287446,0.39,,0.0089,0.0497,996577200,0.71,rain,1016.5,ID,996582586,996635472,80.31,996624000,44.3,996584400,996559200,9.46,247,1.55
0,2001-08-31 00:00:00,81.58,999298800,52.39,999262800,0.12,Valley,44.22,0.45,999237600Valley,44.6955836,-115.7287446,0.43,,0,0,,0,,1009.61,ID,999263170,999310981,83.94,999298800,52.39,999262800,999237600,9.85,328,1.9
