,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,24.03,949363200,-14.47,949320000,0.29,Beaverhead,4.56,0.72,949302000Beaverhead,45.30460013,-113.0206149,0.85,,0,0,,0,,1025.84,MT,949330524,949365484,31.46,949363200,-0.03,949330800,949302000,9.52,183,4.38
0,2000-02-29 00:00:00,42.97,951865200,19.34,951832800,0.46,Beaverhead,24.94,0.67,951807600Beaverhead,45.30460013,-113.0206149,0.83,,0,0,,0,,1015.1,MT,951833532,951873581,46.25,951865200,26.64,951832800,951807600,9.79,188,5.03
0,2000-03-31 00:00:00,53.54,954547200,19.35,954507600,0.11,Beaverhead,17.34,0.48,954486000Beaverhead,45.30460013,-113.0206149,0.86,,0,0,,0,,1028.62,MT,954508445,954554411,53.54,954547200,23.83,954507600,954486000,9.88,310,2.73
0,2000-04-30 00:00:00,73.55,957139200,21.54,957099600,0.08,Beaverhead,24.67,0.48,957074400Beaverhead,45.30460013,-113.0206149,0.88,,0,0,,0,,1025.2,MT,957097332,957148715,73.55,957139200,25.3,957099600,957074400,9.81,138,1.13
0,2000-05-31 00:00:00,59.75,959817600,35.14,959835600,0.63,Beaverhead,35.83,0.7,959752800Beaverhead,45.30460013,-113.0206149,0.93,,0.0151,0.0848,959756400,0.77,rain,1015.22,MT,959773746,959829216,59.75,959817600,38.96,959835600,959752800,9.48,310,2.49
0,2000-06-30 00:00:00,84.91,962402400,44.33,962362800,0.17,Beaverhead,40.46,0.4,962344800Beaverhead,45.30460013,-113.0206149,0.96,,0,0,,0,,1009.4,MT,962365744,962421900,88.43,962402400,47.46,962362800,962344800,9.83,201,3.42
0,2000-07-31 00:00:00,88,965077200,63.22,965044800,0.29,Beaverhead,47.84,0.37,965023200Beaverhead,45.30460013,-113.0206149,0.03,,0.0011,0.0163,965098800,0.57,rain,1014.28,MT,965045848,965098909,91.29,965077200,63.22,965044800,965023200,9.89,233,2.42
0,2000-08-31 00:00:00,75.41,967759200,40.38,967726800,0.23,Beaverhead,39.67,0.52,967701600Beaverhead,45.30460013,-113.0206149,0.09,,0.0007,0.0129,967777200,0.54,rain,1008.13,MT,967726491,967774350,75.41,967759200,43.1,967723200,967701600,9.65,194,5.02
0,2000-09-30 00:00:00,64.7,970354800,45.01,970311600,0.67,Beaverhead,41.3,0.58,970293600Beaverhead,45.30460013,-113.0206149,0.1,,0.0043,0.0447,970376400,0.7,rain,1010.56,MT,970320662,970362902,64.7,970354800,48.29,970311600,970293600,9.76,227,7.83
0,2000-10-31 00:00:00,39.76,973033200,28.96,973058400,0.83,Beaverhead,31.66,0.83,972975600Beaverhead,45.30460013,-113.0206149,0.15,,0.0008,0.0121,972975600,0.53,rain,1018.66,MT,973001520,973038108,41.8,973033200,33.57,973058400,972975600,9.14,270,1.17
0,2000-11-30 00:00:00,28.4,975621600,14.9,975596400,0.62,Beaverhead,20.91,0.75,975567600Beaverhead,45.30460013,-113.0206149,0.15,1.056,0.004,0.0482,975574800,0.71,snow,1025.4,MT,975595938,975628367,32.89,975621600,21.88,975650400,975567600,9.16,217,5.21
0,2000-12-31 00:00:00,29.24,978300000,8.27,978253200,0.54,Beaverhead,17.28,0.79,978246000Beaverhead,45.30460013,-113.0206149,0.19,,0,0,,0,,1030.35,MT,978275562,978307229,29.24,978300000,16.5,978325200,978246000,8.78,200,5.35
0,2001-01-31 00:00:00,22.72,980982000,5.8,980953200,0.88,Beaverhead,17.12,0.74,980924400Beaverhead,45.30460013,-113.0206149,0.23,0.13,0.0005,0.0022,980992800,0.06,snow,1025.89,MT,980952873,980987949,30.5,980982000,17.44,980953200,980924400,8.72,223,5.85
0,2001-02-28 00:00:00,35.28,983404800,-16.1,983368800,0.01,Beaverhead,1.71,0.64,983343600Beaverhead,45.30460013,-113.0206149,0.17,,0,0,,0,,1023.21,MT,983369559,983409560,35.28,983404800,-3.13,983372400,983343600,9.81,183,5.28
0,2001-03-31 00:00:00,51.26,986083200,16.04,986029200,0.52,Beaverhead,23.3,0.66,986022000Beaverhead,45.30460013,-113.0206149,0.23,,0.0016,0.0098,986104800,0.5,rain,1016.58,MT,986044475,986090392,51.26,986083200,20.84,986040000,986022000,9.4,207,4.04
0,2001-04-30 00:00:00,60.52,988678800,37.43,988635600,0.53,Beaverhead,32.69,0.53,988610400Beaverhead,45.30460013,-113.0206149,0.25,,0.0065,0.0569,988682400,0.73,rain,1011.52,MT,988633356,988684695,60.52,988678800,42.01,988635600,988610400,9.59,226,9.87
0,2001-05-31 00:00:00,79.62,991353600,43.95,991310400,0.09,Beaverhead,38.05,0.46,991288800Beaverhead,45.30460013,-113.0206149,0.32,,0,0,,0,,1018.92,MT,991309755,991365202,79.62,991353600,45.23,991310400,991288800,10,280,2.62
0,2001-06-30 00:00:00,85.09,993945600,51.85,993902400,0.09,Beaverhead,49.61,0.54,993880800Beaverhead,45.30460013,-113.0206149,0.34,,0.0019,0.0467,993960000,0.71,rain,1015.06,MT,993901736,993957903,88.66,993945600,51.85,993902400,993880800,9.85,66,0.87
0,2001-07-31 00:00:00,79.66,996624000,44.72,996580800,0.56,Beaverhead,43.5,0.64,996559200Beaverhead,45.30460013,-113.0206149,0.39,,0.0072,0.0537,996573600,0.72,rain,1014.08,MT,996581830,996634928,79.66,996624000,48.82,996584400,996559200,9.88,245,4.32
0,2001-08-31 00:00:00,80.12,999302400,51.5,999262800,0.12,Beaverhead,42.05,0.42,999237600Beaverhead,45.30460013,-113.0206149,0.43,,0,0,,0,,1009.66,MT,999262472,999310379,82.25,999302400,51.5,999262800,999237600,9.91,203,4.24
0,2001-09-30 00:00:00,75.11,1001894400,30.54,1001851200,0,Beaverhead,32,0.48,1001829600Beaverhead,45.30460013,-113.0206149,0.44,,0,0,,0,,1023.45,MT,1001856643,1001898932,75.11,1001894400,36.22,1001858400,1001829600,9.92,186,3.65
0,2001-10-31 00:00:00,52.26,1004554800,35.44,1004594400,0.64,Beaverhead,34.28,0.64,1004511600Beaverhead,45.30460013,-113.0206149,0.48,,0.0056,0.0264,1004562000,0.64,rain,1005.76,MT,1004537498,1004574131,52.26,1004554800,40.71,1004594400,1004511600,8.87,221,9.65
0,2001-11-30 00:00:00,23.37,1007164800,13.14,1007132400,0.49,Beaverhead,18.12,0.7,1007103600Beaverhead,45.30460013,-113.0206149,0.49,,0,0,,0,,1010.38,MT,1007131920,1007164374,33.33,1007164800,22.7,1007186400,1007103600,9.59,199,7.69
0,2001-12-31 00:00:00,21.62,1009836000,2.01,1009796400,0.83,Beaverhead,12.65,0.87,1009782000Beaverhead,45.30460013,-113.0206149,0.55,0.188,0.0004,0.0041,1009803600,0.16,snow,1025.54,MT,1009811561,1009843215,21.62,1009836000,10.7,1009792800,1009782000,8.2,80,1.65
0,2002-01-31 00:00:00,21.3,1012521600,0.66,1012482000,0.72,Beaverhead,10.29,0.71,1012460400Beaverhead,45.30460013,-113.0206149,0.61,0.042,0.0001,0.0022,1012460400,0.06,snow,1026.2,MT,1012488891,1012523926,27.12,1012521600,11.3,1012482000,1012460400,9.31,202,7.7
0,2002-02-28 00:00:00,9,1014933600,-3.4,1014962400,0.53,Beaverhead,10.72,0.73,1014879600Beaverhead,45.30460013,-113.0206149,0.55,0.106,0.0003,0.0044,1014897600,0.18,snow,1019.17,MT,1014905587,1014945538,23.08,1014933600,4.08,1014962400,1014879600,8.99,358,6.2
0,2002-03-31 00:00:00,59.85,1017615600,19.49,1017579600,0.12,Beaverhead,21.09,0.46,1017558000Beaverhead,45.30460013,-113.0206149,0.61,,0,0,,0,,1015.94,MT,1017580504,1017626372,59.85,1017615600,28.24,1017579600,1017558000,9.86,227,8.09
0,2002-04-30 00:00:00,53.3,1020204000,33.99,1020171600,0.66,Beaverhead,30.6,0.59,1020146400Beaverhead,45.30460013,-113.0206149,0.63,,0.0044,0.0216,1020186000,0.61,rain,1010.1,MT,1020169379,1020220676,53.3,1020204000,37.53,1020171600,1020146400,9.85,44,3.65
0,2002-05-31 00:00:00,77.71,1022886000,42.19,1022846400,0.18,Beaverhead,45.02,0.64,1022824800Beaverhead,45.30460013,-113.0206149,0.68,,0.0049,0.1059,1022889600,0.79,rain,1013.31,MT,1022845764,1022901189,77.71,1022886000,45.19,1022842800,1022824800,9.18,288,0.58
0,2002-06-30 00:00:00,79.2,1025478000,42.02,1025438400,0.06,Beaverhead,43.62,0.53,1025416800Beaverhead,45.30460013,-113.0206149,0.69,,0,0,,0,,1013.22,MT,1025437728,1025493906,80.47,1025478000,45.39,1025438400,1025416800,10,247,4.42
0,2002-07-31 00:00:00,78.64,1028160000,51.58,1028120400,0.04,Beaverhead,37.83,0.4,1028095200Beaverhead,45.30460013,-113.0206149,0.73,,0,0,,0,,1012.8,MT,1028117812,1028170947,80.22,1028160000,51.58,1028120400,1028095200,10,282,3.69
0,2002-08-31 00:00:00,74.88,1030838400,48.25,1030798800,0.26,Beaverhead,46.45,0.62,1030773600Beaverhead,45.30460013,-113.0206149,0.77,,0.0015,0.0156,1030831200,0.57,rain,1017.1,MT,1030798454,1030846407,74.88,1030838400,49.31,1030798800,1030773600,9.97,212,2.13
0,2002-09-30 00:00:00,43.17,1033423200,26.9,1033394400,0.5,Beaverhead,27.46,0.61,1033365600Beaverhead,45.30460013,-113.0206149,0.79,,0.0016,0.0121,1033369200,0.53,rain,1011.98,MT,1033392623,1033434962,47.7,1033423200,33.37,1033448400,1033365600,9.93,239,5.09
