,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,25.65,949363200,-11.03,949327200,0.06,Big Horn,5.44,0.64,949302000Big Horn,45.4890734,-107.4829025,0.85,,0,0,,0,,1022.91,MT,949329224,949364125,32.69,949363200,3.17,949327200,949302000,9.74,210,5.66
0,2000-02-29 00:00:00,47.53,951865200,21.36,951832800,0.21,Big Horn,23.68,0.59,951807600Big Horn,45.4890734,-107.4829025,0.83,,0,0,,0,,1014.98,MT,951832216,951872239,48.59,951865200,28.88,951832800,951807600,10,274,1.62
0,2000-03-31 00:00:00,51.2,954547200,18.68,954507600,0.45,Big Horn,23.23,0.6,954486000Big Horn,45.4890734,-107.4829025,0.86,,0,0,,0,,1026.43,MT,954507110,954553089,51.2,954547200,25.81,954507600,954486000,9.98,309,6.66
0,2000-04-30 00:00:00,74.49,957139200,28.23,957088800,0.14,Big Horn,28.28,0.5,957074400Big Horn,45.4890734,-107.4829025,0.88,,0,0,,0,,1024.75,MT,957095978,957147411,74.49,957139200,34.49,957096000,957074400,9.97,231,4.73
0,2000-05-31 00:00:00,64.97,959803200,39.94,959835600,0.62,Big Horn,44.5,0.68,959752800Big Horn,45.4890734,-107.4829025,0.93,,0.002,0.0254,959810400,0.63,rain,1011.27,MT,959772376,959827928,64.97,959803200,44.86,959835600,959752800,9.85,77,2.05
0,2000-06-30 00:00:00,87.61,962406000,56.06,962366400,0.1,Big Horn,43.36,0.36,962344800Big Horn,45.4890734,-107.4829025,0.96,,0.0006,0.015,962409600,0.56,rain,1008.3,MT,962364371,962420616,91.74,962406000,56.06,962366400,962344800,10,179,4.28
0,2000-07-31 00:00:00,90.56,965080800,68.1,965044800,0.27,Big Horn,45.85,0.3,965023200Big Horn,45.4890734,-107.4829025,0.03,,0,0,,0,,1013.77,MT,965044486,965097613,93.89,965080800,68.1,965044800,965023200,9.89,38,1.72
0,2000-08-31 00:00:00,72.49,967755600,44.93,967719600,0.51,Big Horn,46.42,0.66,967701600Big Horn,45.4890734,-107.4829025,0.09,,0.0012,0.0177,967766400,0.59,rain,1012.46,MT,967725147,967773037,72.49,967755600,46.36,967716000,967701600,9.76,131,6.04
0,2000-09-30 00:00:00,75.61,970347600,51.38,970322400,0.32,Big Horn,38.96,0.45,970293600Big Horn,45.4890734,-107.4829025,0.1,,0.0009,0.01,970376400,0.51,rain,1007.01,MT,970319336,970361571,75.61,970347600,51.38,970322400,970293600,10,252,4.45
0,2000-10-31 00:00:00,38.19,973026000,30.53,973036800,0.97,Big Horn,35.91,0.87,972975600Big Horn,45.4890734,-107.4829025,0.15,,0.0033,0.0177,973044000,0.58,rain,1016.55,MT,973000212,973036758,42.45,973026000,37.51,972993600,972975600,8.45,338,7.59
0,2000-11-30 00:00:00,23.33,975621600,15.93,975596400,0.75,Big Horn,22.38,0.81,975567600Big Horn,45.4890734,-107.4829025,0.15,0.464,0.0018,0.0117,975582000,0.53,snow,1021.45,MT,975594645,975627001,30.64,975621600,25.1,975567600,975567600,7.42,311,5.11
0,2000-12-31 00:00:00,30.35,978300000,7.29,978328800,0.45,Big Horn,18.98,0.8,978246000Big Horn,45.4890734,-107.4829025,0.19,0.079,0.0003,0.0036,978289200,0.13,snow,1025.09,MT,978274273,978305858,33.83,978300000,18.46,978256800,978246000,8.55,234,6.28
0,2001-01-31 00:00:00,23.87,980974800,11.17,980924400,0.7,Big Horn,15.8,0.67,980924400Big Horn,45.4890734,-107.4829025,0.23,0.144,0.0004,0.0063,980996400,0.3,snow,1021.66,MT,980951573,980986590,32.75,980974800,21.81,980924400,980924400,8.88,292,8.97
0,2001-02-28 00:00:00,31.36,983404800,-8,983365200,0.02,Big Horn,9.02,0.67,983343600Big Horn,45.4890734,-107.4829025,0.17,,0,0,,0,,1018.62,MT,983368243,983408218,33.98,983404800,7.11,983368800,983343600,9.37,210,7.8
0,2001-03-31 00:00:00,52.22,986083200,13.04,986043600,0.3,Big Horn,21.19,0.62,986022000Big Horn,45.4890734,-107.4829025,0.23,,0.0012,0.02,986054400,0.6,rain,1016.84,MT,986043140,986089069,52.22,986083200,19.54,986043600,986022000,9.56,234,3.17
0,2001-04-30 00:00:00,70.07,988668000,41.75,988675200,0.23,Big Horn,31.76,0.41,988610400Big Horn,45.4890734,-107.4829025,0.25,,0,0,,0,,1009.7,MT,988632002,988683391,70.07,988668000,44.69,988632000,988610400,9.95,239,5.52
0,2001-05-31 00:00:00,76.4,991353600,51.62,991306800,0.19,Big Horn,34.65,0.35,991288800Big Horn,45.4890734,-107.4829025,0.32,,0,0,,0,,1015.5,MT,991308385,991363914,76.4,991353600,51.62,991306800,991288800,10,323,9.2
0,2001-06-30 00:00:00,84.97,993945600,63.4,993898800,0.37,Big Horn,57.69,0.6,993880800Big Horn,45.4890734,-107.4829025,0.34,,0,0,,0,,1015.57,MT,993900362,993956618,85.2,993945600,63.4,993898800,993880800,9.98,19,8.02
0,2001-07-31 00:00:00,85.54,996624000,61.4,996584400,0.25,Big Horn,46.47,0.44,996559200Big Horn,45.4890734,-107.4829025,0.39,,0.0167,0.2082,996570000,0.84,rain,1008.32,MT,996580468,996633633,89.18,996624000,61.4,996584400,996559200,9.96,329,7.32
0,2001-08-31 00:00:00,84.22,999302400,57.72,999262800,0.1,Big Horn,43.04,0.37,999237600Big Horn,45.4890734,-107.4829025,0.43,,0,0,,0,,1008.09,MT,999261128,999309066,87.78,999302400,57.72,999262800,999237600,9.99,214,3.12
0,2001-09-30 00:00:00,79.44,1001894400,45.31,1001854800,0,Big Horn,38.99,0.45,1001829600Big Horn,45.4890734,-107.4829025,0.44,,0,0,,0,,1021.99,MT,1001855316,1001897601,81.34,1001894400,47.91,1001851200,1001829600,9.99,173,3.25
