,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,21.61,949356000,-5.25,949327200,0.01,Blaine,6.34,0.71,949302000Blaine,48.42077771,-108.9356336,0.85,,0,0,,0,,1020.15,MT,949330054,949363993,27.5,949356000,4.59,949327200,949302000,9.57,139,3.85
0,2000-02-29 00:00:00,38.23,951861600,13.95,951814800,0.05,Blaine,19.91,0.67,951807600Blaine,48.42077771,-108.9356336,0.83,,0,0,,0,,1016.01,MT,951832751,951872401,42.36,951861600,20.26,951825600,951807600,8.87,55,2.79
0,2000-03-31 00:00:00,39.97,954543600,15.38,954504000,0.21,Blaine,22.91,0.63,954486000Blaine,48.42077771,-108.9356336,0.86,,0.0002,0.0027,954543600,0.08,rain,1026.04,MT,954507322,954553574,47.13,954543600,23.92,954504000,954486000,9.44,307,9.48
0,2000-04-30 00:00:00,67.75,957135600,30.38,957096000,0.01,Blaine,27.43,0.45,957074400Blaine,48.42077771,-108.9356336,0.88,,0,0,,0,,1021.17,MT,957095882,957148205,67.75,957135600,30.38,957096000,957074400,9.62,243,6.75
0,2000-05-31 00:00:00,43.36,959756400,25.99,959817600,0.92,Blaine,32,0.73,959752800Blaine,48.42077771,-108.9356336,0.93,,0.0361,0.0955,959814000,0.78,rain,1018.53,MT,959772017,959828984,48.81,959756400,34.82,959817600,959752800,8.19,45,11.34
0,2000-06-30 00:00:00,83.48,962406000,51.33,962366400,0.01,Blaine,43.44,0.42,962344800Blaine,48.42077771,-108.9356336,0.96,,0,0,,0,,1007.06,MT,962363963,962421720,86.91,962406000,51.33,962366400,962344800,9.76,262,4.25
0,2000-07-31 00:00:00,83.41,965080800,62.16,965044800,0.03,Blaine,54.97,0.52,965023200Blaine,48.42077771,-108.9356336,0.03,,0,0,,0,,1015.32,MT,965044286,965098510,85,965080800,62.16,965044800,965023200,9.76,75,8.63
0,2000-08-31 00:00:00,70.06,967762800,35.43,967723200,0.24,Blaine,43.74,0.67,967701600Blaine,48.42077771,-108.9356336,0.09,,0,0,,0,,1012.73,MT,967725254,967773626,70.06,967762800,42.51,967723200,967701600,9.78,117,13.38
0,2000-09-30 00:00:00,69.5,970351200,40.81,970315200,0.23,Blaine,39.3,0.54,970293600Blaine,48.42077771,-108.9356336,0.1,,0,0,,0,,1003.74,MT,970319752,970361852,69.5,970351200,44.09,970315200,970293600,9.76,254,10.2
0,2000-10-31 00:00:00,43.81,973029600,24.98,972993600,0.5,Blaine,28.99,0.84,972975600Blaine,48.42077771,-108.9356336,0.15,,0,0,,0,,1018.52,MT,973000945,973036722,45.63,973029600,24.98,972993600,972975600,8.86,184,2.4
0,2000-11-30 00:00:00,25.7,975618000,7.07,975650400,0.82,Blaine,20.46,0.87,975567600Blaine,48.42077771,-108.9356336,0.15,0.476,0.0015,0.0147,975596400,0.56,snow,1022.97,MT,975595636,975626708,29.49,975618000,14.41,975650400,975567600,7.28,88,6.9
0,2000-12-31 00:00:00,22.13,978300000,2.78,978274800,0.18,Blaine,14.52,0.82,978246000Blaine,48.42077771,-108.9356336,0.19,,0,0,,0,,1023.31,MT,978275316,978305514,29.8,978300000,7.27,978264000,978246000,9.13,273,5.16
0,2001-01-31 00:00:00,15.92,980967600,-6.87,981007200,0.49,Blaine,12.45,0.79,980924400Blaine,48.42077771,-108.9356336,0.23,,0,0,,0,,1021.58,MT,980952396,980986465,26.31,980967600,1.76,981007200,980924400,9.55,306,8.2
0,2001-02-28 00:00:00,23.51,983401200,-3.37,983361600,0,Blaine,8.91,0.66,983343600Blaine,48.42077771,-108.9356336,0.17,,0,0,,0,,1013.16,MT,983368782,983408377,31.69,983401200,3.01,983343600,983343600,9.16,219,6.47
0,2001-03-31 00:00:00,39.23,986079600,10.16,986029200,0.17,Blaine,15.87,0.53,986022000Blaine,48.42077771,-108.9356336,0.23,,0.0002,0.0023,986101200,0.06,rain,1014.77,MT,986043355,986089551,44.92,986079600,16.26,986040000,986022000,9.34,223,6.13
0,2001-04-30 00:00:00,60.4,988660800,27.94,988632000,0.27,Blaine,26.95,0.44,988610400Blaine,48.42077771,-108.9356336,0.25,,0.0019,0.0135,988682400,0.55,rain,1007.35,MT,988631908,988684183,60.4,988660800,35.77,988621200,988610400,9.35,249,14.78
0,2001-05-31 00:00:00,71.79,991346400,40.76,991310400,0.14,Blaine,34.14,0.43,991288800Blaine,48.42077771,-108.9356336,0.32,,0,0,,0,,1015.75,MT,991308027,991364969,71.79,991346400,43.89,991310400,991288800,9.76,309,10.27
0,2001-06-30 00:00:00,74.07,993938400,52.19,993902400,0.35,Blaine,50.24,0.64,993880800Blaine,48.42077771,-108.9356336,0.34,,0,0,,0,,1020.09,MT,993899954,993957724,74.07,993938400,52.19,993902400,993880800,9.76,78,9.05
0,2001-07-31 00:00:00,65.62,996624000,54.17,996591600,0.66,Blaine,52.78,0.84,996559200Blaine,48.42077771,-108.9356336,0.39,,0.0359,0.1594,996598800,0.82,rain,1010.53,MT,996580265,996634532,65.62,996624000,54.17,996591600,996559200,9.27,17,1.39
0,2001-08-31 00:00:00,85.21,999295200,55.36,999262800,0.02,Blaine,40.88,0.37,999237600Blaine,48.42077771,-108.9356336,0.43,,0,0,,0,,1006.46,MT,999261233,999309658,89.07,999295200,55.36,999262800,999237600,9.76,175,4.38
0,2001-09-30 00:00:00,75.88,1001887200,40.83,1001851200,0,Blaine,30.51,0.42,1001829600Blaine,48.42077771,-108.9356336,0.44,,0,0,,0,,1021.43,MT,1001855729,1001897885,75.88,1001887200,40.83,1001851200,1001829600,9.76,241,2.04
0,2001-10-31 00:00:00,58.24,1004558400,25.56,1004594400,0.3,Blaine,34.65,0.64,1004511600Blaine,48.42077771,-108.9356336,0.48,,0.0003,0.0073,1004511600,0.36,rain,998.11,MT,1004536921,1004572748,58.24,1004558400,36.67,1004594400,1004511600,9.63,251,14.3
