,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,27.08,949363200,-10.65,949323600,0.06,Broadwater,5.98,0.67,949302000Broadwater,46.33816175,-111.552835,0.85,,0,0,,0,,1024.58,MT,949330334,949364970,34.56,949363200,2.78,949320000,949302000,9.89,209,5.43
0,2000-02-29 00:00:00,44.92,951865200,20.79,951832800,0.38,Broadwater,24.35,0.61,951807600Broadwater,46.33816175,-111.552835,0.83,,0,0,,0,,1014.99,MT,951833243,951873165,48.66,951865200,27.13,951832800,951807600,10,219,5.37
0,2000-03-31 00:00:00,51.91,954547200,19.69,954507600,0.3,Broadwater,19.96,0.5,954486000Broadwater,46.33816175,-111.552835,0.86,,0,0,,0,,1028.9,MT,954508048,954554105,51.91,954547200,27.06,954507600,954486000,10,277,5.53
0,2000-04-30 00:00:00,75.4,957139200,20.97,957092400,0.12,Broadwater,25.11,0.45,957074400Broadwater,46.33816175,-111.552835,0.88,,0,0,,0,,1024.67,MT,957096831,957148512,75.4,957139200,27,957092400,957074400,9.97,215,3.65
0,2000-05-31 00:00:00,51.27,959817600,32.57,959832000,0.88,Broadwater,37.35,0.81,959752800Broadwater,46.33816175,-111.552835,0.93,,0.0177,0.0629,959767200,0.74,rain,1016.96,MT,959773157,959829100,51.27,959817600,37.5,959835600,959752800,9.02,332,6.05
0,2000-06-30 00:00:00,86.24,962402400,47.34,962362800,0.2,Broadwater,41.77,0.4,962344800Broadwater,46.33816175,-111.552835,0.96,,0.0001,0.002,962409600,0.05,rain,1009.01,MT,962365139,962421800,90.21,962402400,49.78,962362800,962344800,9.89,211,3.28
0,2000-07-31 00:00:00,91.1,965080800,68.59,965041200,0.41,Broadwater,47.65,0.33,965023200Broadwater,46.33816175,-111.552835,0.03,,0.0012,0.0173,965098800,0.58,rain,1014.24,MT,965045312,965098741,94.58,965080800,68.59,965041200,965023200,9.93,267,0.71
0,2000-08-31 00:00:00,76.51,967759200,38.02,967726800,0.23,Broadwater,40.15,0.55,967701600Broadwater,46.33816175,-111.552835,0.09,,0,0,,0,,1009,MT,967726057,967774079,76.51,967759200,41.21,967723200,967701600,9.76,125,2.7
0,2000-09-30 00:00:00,67.26,970340400,52.01,970311600,0.7,Broadwater,41.76,0.54,970293600Broadwater,46.33816175,-111.552835,0.1,,0.004,0.0559,970376400,0.73,rain,1008.55,MT,970320332,970362527,67.26,970340400,52.01,970311600,970293600,9.94,237,11.26
