,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,24.11,949363200,-10.79,949320000,0.05,Carbon,5.01,0.63,949302000Carbon,45.3251308,-109.0387366,0.85,,0,0,,0,,1023.5,MT,949329572,949364524,30.13,949363200,2.93,949320000,949302000,9.86,213,6.55
0,2000-02-29 00:00:00,48.73,951865200,23.53,951832800,0.31,Carbon,22.81,0.54,951807600Carbon,45.3251308,-109.0387366,0.83,,0,0,,0,,1014.73,MT,951832579,951872623,48.73,951865200,30.56,951832800,951807600,10,231,3.15
0,2000-03-31 00:00:00,50.38,954547200,16.59,954507600,0.44,Carbon,21.88,0.57,954486000Carbon,45.3251308,-109.0387366,0.86,,0,0,,0,,1027.37,MT,954507490,954553456,50.38,954547200,25.68,954507600,954486000,9.98,289,4.82
0,2000-04-30 00:00:00,73.87,957139200,24.44,957092400,0.15,Carbon,27.26,0.49,957074400Carbon,45.3251308,-109.0387366,0.88,,0,0,,0,,1024.85,MT,957096375,957147762,73.87,957139200,31.07,957092400,957074400,9.97,208,6.67
0,2000-05-31 00:00:00,59.91,959799600,38.27,959832000,0.6,Carbon,41,0.66,959752800Carbon,45.3251308,-109.0387366,0.93,,0.0024,0.0291,959792400,0.65,rain,1012.53,MT,959772786,959828264,59.91,959799600,43.61,959835600,959752800,9.9,1,4.68
0,2000-06-30 00:00:00,86.69,962402400,52.17,962366400,0.14,Carbon,41.82,0.36,962344800Carbon,45.3251308,-109.0387366,0.96,,0.0002,0.0059,962409600,0.27,rain,1008.47,MT,962364783,962420950,90.74,962402400,52.17,962366400,962344800,9.96,188,3.54
0,2000-07-31 00:00:00,91.37,965080800,67.65,965041200,0.35,Carbon,44.67,0.28,965023200Carbon,45.3251308,-109.0387366,0.03,,0,0,,0,,1014.65,MT,965044888,965097957,94.98,965080800,67.65,965041200,965023200,9.93,39,2.57
0,2000-08-31 00:00:00,72.19,967759200,41.52,967723200,0.42,Carbon,44.7,0.65,967701600Carbon,45.3251308,-109.0387366,0.09,,0.0007,0.0051,967766400,0.22,rain,1011.8,MT,967725533,967773397,72.19,967759200,43.68,967723200,967701600,9.82,118,4.19
0,2000-09-30 00:00:00,72.11,970344000,48.94,970311600,0.43,Carbon,39.58,0.47,970293600Carbon,45.3251308,-109.0387366,0.1,,0.0029,0.0374,970376400,0.68,rain,1008.27,MT,970319706,970361947,72.11,970344000,49.87,970311600,970293600,9.81,242,7.53
0,2000-10-31 00:00:00,39.29,973029600,29.35,973036800,0.95,Carbon,34.55,0.86,972975600Carbon,45.3251308,-109.0387366,0.15,,0.004,0.0471,973018800,0.71,rain,1017.22,MT,973000566,973037151,42.34,973029600,35.51,972993600,972975600,8.76,332,3.88
0,2000-11-30 00:00:00,29.49,975621600,18.5,975596400,0.7,Carbon,22.76,0.76,975567600Carbon,45.3251308,-109.0387366,0.15,1.195,0.0049,0.0279,975574800,0.64,snow,1022.54,MT,975594986,975627408,34.17,975621600,23.37,975567600,975567600,8.41,267,6.12
0,2000-12-31 00:00:00,30.78,978300000,7.66,978328800,0.48,Carbon,20.61,0.79,978246000Carbon,45.3251308,-109.0387366,0.19,0.014,0.0001,0.0015,978282000,0.03,snow,1026.04,MT,978274611,978306268,36.09,978300000,18.22,978328800,978246000,8.66,230,8.47
0,2001-01-31 00:00:00,25.21,980974800,10.23,980946000,0.72,Carbon,14.95,0.62,980924400Carbon,45.3251308,-109.0387366,0.23,0.021,0.0001,0.0016,980996400,0.03,snow,1023.34,MT,980951922,980986989,34.21,980974800,21.73,980953200,980924400,9.47,256,9.44
0,2001-02-28 00:00:00,35.35,983404800,-8.06,983372400,0.02,Carbon,7.53,0.6,983343600Carbon,45.3251308,-109.0387366,0.17,,0,0,,0,,1020.15,MT,983368606,983408602,35.35,983404800,8.14,983354400,983343600,9.47,229,10.18
0,2001-03-31 00:00:00,52.37,986083200,12.34,986043600,0.39,Carbon,21.37,0.62,986022000Carbon,45.3251308,-109.0387366,0.23,,0.0006,0.0078,986054400,0.4,rain,1017,MT,986043520,986089436,52.37,986083200,18.52,986043600,986022000,9.64,227,5.46
0,2001-04-30 00:00:00,66.57,988668000,38.75,988675200,0.4,Carbon,30.89,0.4,988610400Carbon,45.3251308,-109.0387366,0.25,,0.0029,0.0272,988689600,0.64,rain,1010.37,MT,988632398,988683742,66.57,988668000,45.27,988675200,988610400,9.25,244,8.59
0,2001-05-31 00:00:00,75.41,991353600,45.13,991306800,0.2,Carbon,34.31,0.37,991288800Carbon,45.3251308,-109.0387366,0.32,,0,0,,0,,1017.16,MT,991308795,991364251,75.41,991353600,47.98,991306800,991288800,10,308,7.62
0,2001-06-30 00:00:00,83,993945600,56.88,993898800,0.3,Carbon,53.78,0.58,993880800Carbon,45.3251308,-109.0387366,0.34,,0,0,,0,,1016.43,MT,993900775,993956952,84.39,993945600,56.88,993898800,993880800,9.82,40,7.8
0,2001-07-31 00:00:00,80.99,996624000,57.22,996580800,0.33,Carbon,42.29,0.45,996559200Carbon,45.3251308,-109.0387366,0.39,,0.0021,0.0154,996595200,0.57,rain,1010.46,MT,996580870,996633977,83.64,996624000,57.22,996580800,996559200,9.95,300,6.2
0,2001-08-31 00:00:00,82.07,999302400,55.08,999262800,0.16,Carbon,42.99,0.4,999237600Carbon,45.3251308,-109.0387366,0.43,,0,0,,0,,1009.2,MT,999261514,999309426,85.05,999302400,55.08,999262800,999237600,9.98,233,4.28
0,2001-09-30 00:00:00,78.4,1001894400,39.48,1001851200,0,Carbon,37.02,0.49,1001829600Carbon,45.3251308,-109.0387366,0.44,,0,0,,0,,1022.84,MT,1001855686,1001897977,78.4,1001894400,41.45,1001851200,1001829600,9.02,210,1.88
0,2001-10-31 00:00:00,57.64,1004565600,38.78,1004590800,0.51,Carbon,33.62,0.53,1004511600Carbon,45.3251308,-109.0387366,0.48,,0.0046,0.0196,1004526000,0.6,rain,1002.42,MT,1004536544,1004573174,57.64,1004565600,45.68,1004590800,1004511600,9.98,255,12.1
0,2001-11-30 00:00:00,27.14,1007157600,13.14,1007186400,0.32,Carbon,18.66,0.68,1007103600Carbon,45.3251308,-109.0387366,0.49,,0,0,,0,,1009.29,MT,1007130967,1007163415,34.06,1007157600,23.65,1007186400,1007103600,9.97,241,8.19
0,2001-12-31 00:00:00,11.55,1009832400,3.15,1009796400,0.84,Carbon,8.88,0.86,1009782000Carbon,45.3251308,-109.0387366,0.55,0.668,0.0015,0.0057,1009807200,0.26,snow,1027.4,MT,1009810610,1009842255,17.64,1009832400,8.17,1009864800,1009782000,7.56,25,2.37
0,2002-01-31 00:00:00,14.79,1012521600,-7.61,1012460400,0.6,Carbon,5.8,0.62,1012460400Carbon,45.3251308,-109.0387366,0.61,,0,0,,0,,1025.3,MT,1012487939,1012522966,26.09,1012521600,8.36,1012460400,1012460400,9.93,230,15.05
0,2002-02-28 00:00:00,9.24,1014922800,-6.25,1014955200,0.79,Carbon,9.77,0.73,1014879600Carbon,45.3251308,-109.0387366,0.55,1.171,0.0032,0.0192,1014886800,0.6,snow,1018.74,MT,1014904634,1014944580,21.91,1014922800,2.42,1014962400,1014879600,7.42,334,7.3
0,2002-03-31 00:00:00,56.94,1017615600,11.71,1017619200,0.25,Carbon,23.72,0.57,1017558000Carbon,45.3251308,-109.0387366,0.61,,0.0001,0.0017,1017619200,0.04,rain,1015.35,MT,1017579549,1017625416,56.94,1017615600,24.72,1017619200,1017558000,9.04,240,7.04
0,2002-04-30 00:00:00,45.53,1020196800,33.23,1020164400,0.68,Carbon,32.26,0.66,1020146400Carbon,45.3251308,-109.0387366,0.63,,0.0071,0.0408,1020189600,0.69,rain,1011.93,MT,1020168421,1020219722,49.57,1020196800,37.42,1020164400,1020146400,9.68,17,4.68
0,2002-05-31 00:00:00,78.86,1022886000,47.92,1022846400,0.17,Carbon,47.13,0.58,1022824800Carbon,45.3251308,-109.0387366,0.68,,0.0023,0.0514,1022824800,0.72,rain,1012.26,MT,1022844804,1022900237,78.86,1022886000,49.09,1022846400,1022824800,9.59,315,2.63
0,2002-06-30 00:00:00,84.54,1025478000,52.37,1025438400,0.08,Carbon,44.26,0.41,1025416800Carbon,45.3251308,-109.0387366,0.69,,0,0,,0,,1010.88,MT,1025436767,1025492955,87.89,1025478000,52.37,1025438400,1025416800,10,314,1.57
0,2002-07-31 00:00:00,83.33,1028145600,54.81,1028113200,0.09,Carbon,40.53,0.38,1028095200Carbon,45.3251308,-109.0387366,0.73,,0,0,,0,,1010.43,MT,1028116852,1028169996,86.74,1028145600,54.81,1028113200,1028095200,10,307,4.91
