,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,34.69,949356000,-2.41,949327200,0.06,Carter,11.33,0.73,949302000Carter,45.6331832,-104.559253,0.85,,,,,,snow,1021.43,MT,949328546,949363401,36.96,949356000,6.12,949327200,949302000,9.24,165,0.9
0,2000-02-29 00:00:00,41.1,951865200,19.58,951832800,0.09,Carter,23.48,0.66,951807600Carter,45.6331832,-104.559253,0.83,,,,,,rain,1014.96,MT,951831524,951871528,46.61,951865200,26.65,951890400,951807600,8.75,302,8.42
0,2000-03-31 00:00:00,43.75,954536400,15.05,954507600,0.37,Carter,25.12,0.66,954486000Carter,45.6331832,-104.559253,0.86,,,,,,rain,1024.26,MT,954506403,954552393,49.94,954536400,25.6,954507600,954486000,9.21,289,12.72
0,2000-04-30 00:00:00,70.08,957139200,31.32,957096000,0.2,Carter,33.21,0.56,957074400Carter,45.6331832,-104.559253,0.88,,,,,,rain,1022.56,MT,957095257,957146730,70.08,957139200,37.96,957096000,957074400,10,292,8.96
0,2000-05-31 00:00:00,55.68,959796000,42.69,959824800,0.86,Carter,45.45,0.79,959752800Carter,45.6331832,-104.559253,0.93,,0.0258,0.09,959817600,0.77,rain,1014.83,MT,959771642,959827258,55.68,959796000,45.69,959835600,959752800,9.53,108,10.86
0,2000-06-30 00:00:00,89.08,962402400,58.49,962359200,0.08,Carter,45.81,0.39,962344800Carter,45.6331832,-104.559253,0.96,,,,,,rain,1007.7,MT,962363634,962419949,93.3,962402400,58.49,962359200,962344800,9.96,229,6.96
0,2000-07-31 00:00:00,92.98,965080800,66.91,965044800,0.17,Carter,55.8,0.44,965023200Carter,45.6331832,-104.559253,0.03,,,,,,rain,1013.55,MT,965043758,965096937,93.72,965080800,66.91,965044800,965023200,10,36,1.48
0,2000-08-31 00:00:00,75.99,967766400,45.56,967716000,0.68,Carter,47.32,0.69,967701600Carter,45.6331832,-104.559253,0.09,,,,,,rain,1015.26,MT,967724433,967772347,75.99,967766400,48.61,967716000,967701600,9.92,100,9.43
0,2000-09-30 00:00:00,75.01,970347600,45.38,970315200,0.3,Carter,38.74,0.45,970293600Carter,45.6331832,-104.559253,0.1,,,,,,rain,1005.35,MT,970318636,970360867,75.01,970347600,49.16,970318800,970293600,10,258,9.06
0,2000-10-31 00:00:00,39.36,973026000,25.68,973036800,0.99,Carter,41.19,0.95,972975600Carter,45.6331832,-104.559253,0.15,,0.0267,0.1097,972982800,0.79,rain,1014.8,MT,972999528,973036039,44.4,973026000,36.49,973036800,972975600,5.97,346,10.24
