,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,24.1,949363200,-4.49,949327200,0.02,Chouteau,9.37,0.69,949302000Chouteau,47.85369357,-110.4194733,0.85,,0,0,,0,,1019.89,MT,949330312,949364447,33.8,949363200,7.01,949323600,949302000,9.66,193,5.51
0,2000-02-29 00:00:00,43.32,951861600,15.78,951814800,0.19,Chouteau,22.25,0.65,951807600Chouteau,47.85369357,-110.4194733,0.83,,0,0,,0,,1015.1,MT,951833069,951872795,46.91,951861600,21.35,951836400,951807600,9.73,129,2.73
0,2000-03-31 00:00:00,44.15,954543600,17.45,954504000,0.29,Chouteau,21.85,0.56,954486000Chouteau,47.85369357,-110.4194733,0.86,,0,0,,0,,1027.58,MT,954507705,954553903,49.66,954543600,27.02,954504000,954486000,10,289,8.44
0,2000-04-30 00:00:00,69.06,957139200,23.27,957096000,0.15,Chouteau,26.22,0.43,957074400Chouteau,47.85369357,-110.4194733,0.88,,0,0,,0,,1021.83,MT,957096328,957148471,69.06,957139200,29.94,957096000,957074400,10,235,7.69
0,2000-05-31 00:00:00,43.23,959756400,24.19,959817600,0.99,Chouteau,33.64,0.79,959752800Chouteau,47.85369357,-110.4194733,0.93,,0.036,0.0915,959803200,0.78,rain,1019.84,MT,959772517,959829196,48.28,959756400,33.98,959817600,959752800,7.59,24,8.97
0,2000-06-30 00:00:00,84.57,962402400,52.5,962366400,0.11,Chouteau,40.55,0.37,962344800Chouteau,47.85369357,-110.4194733,0.96,,0.0001,0.0035,962409600,0.13,rain,1007.66,MT,962364474,962421922,88.33,962402400,52.5,962366400,962344800,9.94,243,4.53
0,2000-07-31 00:00:00,87.52,965084400,62.31,965044800,0.22,Chouteau,51.51,0.41,965023200Chouteau,47.85369357,-110.4194733,0.03,,0.0003,0.0048,965098800,0.2,rain,1014.89,MT,965044754,965098754,90.48,965084400,62.31,965044800,965023200,9.98,80,6.87
0,2000-08-31 00:00:00,75.44,967762800,35.38,967723200,0.12,Chouteau,42.3,0.62,967701600Chouteau,47.85369357,-110.4194733,0.09,,0,0,,0,,1010.6,MT,967725660,967773933,75.44,967762800,40.83,967723200,967701600,9.88,104,9.03
0,2000-09-30 00:00:00,67.49,970351200,45.26,970304400,0.54,Chouteau,40.03,0.52,970293600Chouteau,47.85369357,-110.4194733,0.1,,0.0023,0.052,970376400,0.72,rain,1004.92,MT,970320095,970362221,67.49,970351200,48.97,970304400,970293600,10,238,14.07
