,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,35.69,949359600,-2.54,949330800,0.11,Custer,10.83,0.69,949302000Custer,46.35492725,-105.5455915,0.85,,,,,,snow,1021.78,MT,949328896,949363524,38.12,949359600,7.56,949330800,949302000,9.66,145,3.91
0,2000-02-29 00:00:00,42.74,951865200,17.72,951836400,0.2,Custer,24.31,0.68,951807600Custer,46.35492725,-105.5455915,0.83,,,,,,rain,1016.4,MT,951831805,951871721,45.65,951865200,26.32,951890400,951807600,9.29,297,5.96
0,2000-03-31 00:00:00,53.29,954532800,18.35,954496800,0.39,Custer,26.73,0.68,954486000Custer,46.35492725,-105.5455915,0.86,,,,,,rain,1025.38,MT,954506607,954552662,53.29,954532800,27.03,954507600,954486000,9.5,295,10.43
0,2000-04-30 00:00:00,71.44,957139200,29.96,957096000,0.2,Custer,31.78,0.51,957074400Custer,46.35492725,-105.5455915,0.88,,,,,,rain,1022.83,MT,957095388,957147072,71.44,957139200,35.96,957096000,957074400,9.85,276,8.33
0,2000-05-31 00:00:00,59.2,959796000,40.82,959832000,0.9,Custer,43.6,0.69,959752800Custer,46.35492725,-105.5455915,0.93,,0.0409,0.124,959821200,0.8,rain,1014.52,MT,959771712,959827661,59.2,959796000,45.45,959835600,959752800,9.17,93,8.46
0,2000-06-30 00:00:00,92.04,962409600,56.95,962359200,0.13,Custer,43.88,0.36,962344800Custer,46.35492725,-105.5455915,0.96,,,,,,rain,1007.11,MT,962363693,962420363,96.76,962409600,56.95,962359200,962344800,9.89,229,4.72
0,2000-07-31 00:00:00,94.64,965080800,68.99,965048400,0.36,Custer,56.34,0.43,965023200Custer,46.35492725,-105.5455915,0.03,,,,,,rain,1013.66,MT,965043866,965097303,94.48,965080800,68.99,965048400,965023200,9.97,53,4.61
0,2000-08-31 00:00:00,79.47,967755600,45.95,967716000,0.76,Custer,46.3,0.65,967701600Custer,46.35492725,-105.5455915,0.09,,,,,,rain,1015.06,MT,967724613,967772641,79.47,967755600,48.88,967716000,967701600,9.97,108,10.88
0,2000-09-30 00:00:00,75.81,970347600,50.91,970315200,0.44,Custer,41.05,0.46,970293600Custer,46.35492725,-105.5455915,0.1,,,,,,rain,1005.36,MT,970318889,970361087,75.81,970347600,50.91,970315200,970293600,10,259,9.23
0,2000-10-31 00:00:00,42.84,973033200,29.01,973036800,0.97,Custer,39.96,0.88,972975600Custer,46.35492725,-105.5455915,0.15,,0.0473,0.13,972982800,0.81,rain,1017.03,MT,972999856,973036185,45.97,973033200,39.31,973036800,972975600,7.7,352,7.87
0,2000-11-30 00:00:00,13.58,975578400,7.79,975607200,0.95,Custer,19.34,0.92,975567600Custer,46.35492725,-105.5455915,0.15,0.394,0.0014,,,,snow,1024.22,MT,975594361,975626355,24.71,975578400,18.77,975650400,975567600,5.58,56,8.6
0,2000-12-31 00:00:00,25.1,978307200,-15.1,978253200,0.13,Custer,6.92,0.83,978246000Custer,46.35492725,-105.5455915,0.19,0,,,,,snow,1025.27,MT,978274004,978305198,30.49,978307200,-0.91,978267600,978246000,9.48,178,4.57
0,2001-01-31 00:00:00,16.41,980974800,-8.61,981007200,0.5,Custer,14.97,0.75,980924400Custer,46.35492725,-105.5455915,0.23,,0,,,0,,1020.18,MT,980951243,980985991,28.24,980974800,7.72,981007200,980924400,9.62,300,12.32
0,2001-02-28 00:00:00,31.44,983404800,-7.66,983361600,0,Custer,13.03,0.75,983343600Custer,46.35492725,-105.5455915,0.17,,,,,,snow,1016.48,MT,983367833,983407698,36.89,983404800,6.53,983365200,983343600,9.53,194,6.9
0,2001-03-31 00:00:00,51.06,986083200,13.06,986040000,0.17,Custer,17.17,0.49,986022000Custer,46.35492725,-105.5455915,0.23,,,,,,rain,1016.12,MT,986042638,986088642,51.06,986083200,24.18,986043600,986022000,9.24,277,7.87
0,2001-04-30 00:00:00,72.65,988668000,37.14,988632000,0.31,Custer,31.5,0.41,988610400Custer,46.35492725,-105.5455915,0.25,,,,,,rain,1008.76,MT,988631412,988683051,72.65,988668000,42.46,988632000,988610400,9.76,244,8.68
0,2001-05-31 00:00:00,72.57,991350000,50.69,991310400,0.3,Custer,36.18,0.39,991288800Custer,46.35492725,-105.5455915,0.32,,,,,,rain,1014.35,MT,991307721,991363647,72.57,991350000,50.69,991310400,991288800,10,302,10.23
0,2001-06-30 00:00:00,72.62,993945600,61.18,993963600,0.52,Custer,57.5,0.72,993880800Custer,46.35492725,-105.5455915,0.34,,0.0026,0.0214,993898800,0.61,rain,1018.91,MT,993899684,993956366,72.62,993945600,61.18,993963600,993880800,9.98,45,10.44
0,2001-07-31 00:00:00,79.88,996624000,58.95,996580800,0.57,Custer,56.24,0.72,996559200Custer,46.35492725,-105.5455915,0.39,,0.0807,0.96,996570000,0.93,rain,1009.12,MT,996579847,996633324,80.01,996624000,58.95,996580800,996559200,9.66,1,7.12
0,2001-08-31 00:00:00,87.98,999302400,55.46,999262800,0,Custer,46.22,0.42,999237600Custer,46.35492725,-105.5455915,0.43,,0,0,,0,,1008.37,MT,999260593,999308670,92.11,999302400,55.46,999262800,999237600,9.96,121,5.83
0,2001-09-30 00:00:00,79.66,1001887200,42.78,1001854800,0,Custer,40.57,0.5,1001829600Custer,46.35492725,-105.5455915,0.44,,0,0,,0,,1022.12,MT,1001854869,1001897118,81.55,1001887200,45.32,1001854800,1001829600,9.95,127,3.18
0,2001-10-31 00:00:00,65.27,1004565600,41.23,1004511600,0.36,Custer,33.42,0.51,1004511600Custer,46.35492725,-105.5455915,0.48,,0.0001,0.0012,1004544000,0.02,rain,998.74,MT,1004535833,1004572208,65.27,1004565600,44.14,1004515200,1004511600,10,269,8.96
0,2001-11-30 00:00:00,21.99,1007154000,-0.58,1007186400,0.45,Custer,14.09,0.83,1007103600Custer,46.35492725,-105.5455915,0.49,,0,0,,0,,1009.1,MT,1007130343,1007162362,31.05,1007154000,10.42,1007186400,1007103600,9.67,277,3.54
0,2001-12-31 00:00:00,-1.17,1009836000,-18.34,1009789200,0.63,Custer,-6.63,0.82,1009782000Custer,46.35492725,-105.5455915,0.55,,0,0,,0,,1032.2,MT,1009810003,1009841184,8.22,1009836000,-6.57,1009785600,1009782000,5.19,289,4.15
0,2002-01-31 00:00:00,24.81,1012521600,-13.25,1012478400,0.54,Custer,5.6,0.75,1012460400Custer,46.35492725,-105.5455915,0.61,,0,0,,0,,1022.13,MT,1012487262,1012521967,32.78,1012521600,0.5,1012460400,1012460400,9.91,185,3
0,2002-02-28 00:00:00,17.08,1014886800,-13.84,1014962400,0.86,Custer,5.81,0.78,1014879600Custer,46.35492725,-105.5455915,0.55,0.142,0.0003,0.0078,1014901200,0.4,snow,1022.5,MT,1014903861,1014943676,17.08,1014886800,-1.04,1014962400,1014879600,6.97,17,8.02
0,2002-03-31 00:00:00,44.15,1017615600,11.01,1017619200,0.57,Custer,25.07,0.69,1017558000Custer,46.35492725,-105.5455915,0.61,,0,0,,0,,1015.83,MT,1017578668,1017624621,48.22,1017615600,25.01,1017579600,1017558000,7.93,177,3.12
0,2002-04-30 00:00:00,51.81,1020193200,26.58,1020168000,0.4,Custer,30.39,0.65,1020146400Custer,46.35492725,-105.5455915,0.63,,0,0,,0,,1014.37,MT,1020167436,1020219030,51.81,1020193200,30.99,1020168000,1020146400,10,2,5.25
0,2002-05-31 00:00:00,79.81,1022882400,52.61,1022842800,0.1,Custer,45.69,0.51,1022824800Custer,46.35492725,-105.5455915,0.68,,0.005,0.0962,1022828400,0.78,rain,1011.43,MT,1022843731,1022899633,81.76,1022882400,52.61,1022842800,1022824800,9.93,267,7.27
