,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,17.13,949363200,-6.29,949381200,0.11,Daniels,3.81,0.83,949302000Daniels,48.7797525,-105.5363498,0.85,,0,0,,0,,1023.23,MT,949329302,949363113,24.83,949363200,-4.15,949327200,949302000,8.9,125,3.53
0,2000-02-29 00:00:00,31.86,951858000,14.7,951832800,0.18,Daniels,23.31,0.73,951807600Daniels,48.7797525,-105.5363498,0.83,,0,0,,0,,1015.75,MT,951831961,951871560,40.18,951858000,23.02,951890400,951807600,9.44,310,11.44
0,2000-03-31 00:00:00,41.15,954525600,8.67,954507600,0.34,Daniels,20.73,0.71,954486000Daniels,48.7797525,-105.5363498,0.86,0.587,0.0032,0.0605,954547200,0.73,snow,1023.77,MT,954506490,954552775,46.64,954525600,17.96,954507600,954486000,9.49,302,8.87
0,2000-04-30 00:00:00,69.88,957139200,19.77,957092400,0.09,Daniels,22.87,0.5,957074400Daniels,48.7797525,-105.5363498,0.88,,0,0,,0,,1021.44,MT,957095008,957147447,69.88,957139200,25.67,957092400,957074400,9.63,269,6.64
0,2000-05-31 00:00:00,50.22,959817600,25.59,959770800,0.84,Daniels,29.75,0.69,959752800Daniels,48.7797525,-105.5363498,0.93,,0.0281,0.1509,959821200,0.82,rain,1018.84,MT,959771107,959828261,50.22,959817600,32.66,959770800,959752800,9.15,67,9.91
0,2000-06-30 00:00:00,83.62,962409600,50.59,962362800,0.14,Daniels,50.83,0.56,962344800Daniels,48.7797525,-105.5363498,0.96,,0,0,,0,,1006.32,MT,962363047,962421005,84.92,962409600,50.59,962362800,962344800,9.64,244,3.43
0,2000-07-31 00:00:00,83.05,965080800,62.98,965044800,0.1,Daniels,57.18,0.59,965023200Daniels,48.7797525,-105.5363498,0.03,,0,0,,0,,1015.3,MT,965043397,965097767,84.53,965080800,62.98,965044800,965023200,9.93,19,6.31
0,2000-08-31 00:00:00,65.55,967762800,41.96,967726800,0.58,Daniels,43.58,0.7,967701600Daniels,48.7797525,-105.5363498,0.09,,0.0005,0.0122,967784400,0.53,rain,1017.46,MT,967724406,967772843,65.55,967762800,45.82,967712400,967701600,9.65,119,11.28
0,2000-09-30 00:00:00,73.47,970351200,43.48,970318800,0.17,Daniels,41.82,0.52,970293600Daniels,48.7797525,-105.5363498,0.1,,0,0,,0,,1002.31,MT,970318944,970361029,73.47,970351200,46.71,970318800,970293600,9.98,259,11.06
0,2000-10-31 00:00:00,40.79,973029600,27.61,972986400,0.84,Daniels,34.74,0.92,972975600Daniels,48.7797525,-105.5363498,0.15,,0.0041,0.0377,973036800,0.68,rain,1018.77,MT,973000179,973035857,42.83,973029600,33.7,972997200,972975600,7.5,6,4.22
0,2000-11-30 00:00:00,9.24,975578400,6.94,975600000,0.94,Daniels,17.91,0.9,975567600Daniels,48.7797525,-105.5363498,0.15,0.111,0.0003,0.0045,975650400,0.18,snow,1026.18,MT,975594905,975625807,21.74,975578400,17.99,975628800,975567600,6.51,78,10.8
0,2000-12-31 00:00:00,7.7,978328800,-9.84,978249600,0.1,Daniels,5.13,0.87,978246000Daniels,48.7797525,-105.5363498,0.19,,0,0,,0,,1024.17,MT,978274591,978304606,16.82,978328800,0.25,978267600,978246000,8.76,203,3.44
0,2001-01-31 00:00:00,10.13,980924400,-27.8,981003600,0.34,Daniels,6.26,0.79,980924400Daniels,48.7797525,-105.5363498,0.23,,0,0,,0,,1020.4,MT,980951643,980985586,22.1,980924400,-10.3,981007200,980924400,8.65,317,13.55
0,2001-02-28 00:00:00,22.07,983394000,-4.07,983361600,0.17,Daniels,11.81,0.7,983343600Daniels,48.7797525,-105.5363498,0.17,,0,0,,0,,1013.82,MT,983367992,983407535,31.51,983394000,8.6,983343600,983343600,9.27,239,8.93
0,2001-03-31 00:00:00,34.64,986072400,8.38,986043600,0.15,Daniels,15.8,0.57,986022000Daniels,48.7797525,-105.5363498,0.23,,0,0,,0,,1015.73,MT,986042523,986088752,41.73,986072400,18.65,986043600,986022000,9.46,308,6.02
