,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,32.08,949363200,-0.44,949312800,0.02,Dawson,9.55,0.75,949302000Dawson,47.32703925,-104.9737783,0.85,,0,0,,0,,1022.26,MT,949328918,949363227,32.08,949363200,3.62,949327200,949302000,9.83,109,2.36
0,2000-02-29 00:00:00,38.8,951858000,19.32,951836400,0.08,Dawson,21.8,0.61,951807600Dawson,47.32703925,-104.9737783,0.83,,0,0,,0,,1016.07,MT,951831729,951871521,45.01,951858000,26.03,951890400,951807600,9.76,308,8.87
0,2000-03-31 00:00:00,51.03,954536400,15.98,954507600,0.28,Dawson,24.41,0.65,954486000Dawson,47.32703925,-104.9737783,0.86,,0.0024,0.0438,954547200,0.7,rain,1024.12,MT,954506425,954552570,51.03,954536400,25.26,954507600,954486000,9.79,294,10.48
0,2000-04-30 00:00:00,70.6,957139200,29.38,957092400,0.11,Dawson,30.22,0.5,957074400Dawson,47.32703925,-104.9737783,0.88,,0,0,,0,,1022.02,MT,957095104,957147081,70.6,957139200,35.68,957092400,957074400,9.9,276,7.6
0,2000-05-31 00:00:00,54.93,959796000,38.32,959835600,0.88,Dawson,38.08,0.66,959752800Dawson,47.32703925,-104.9737783,0.93,,0.0264,0.1463,959832000,0.82,rain,1016.63,MT,959771342,959827757,54.93,959796000,43.94,959835600,959752800,8.97,78,11.68
0,2000-06-30 00:00:00,89.44,962398800,55.05,962362800,0.03,Dawson,45.41,0.4,962344800Dawson,47.32703925,-104.9737783,0.96,,0,0,,0,,1006.82,MT,962363307,962420475,93.57,962398800,55.05,962362800,962344800,9.77,230,4.17
0,2000-07-31 00:00:00,90.24,965073600,66.45,965044800,0.1,Dawson,57.79,0.5,965023200Dawson,47.32703925,-104.9737783,0.03,,0,0,,0,,1013.9,MT,965043547,965097347,89.92,965073600,66.45,965044800,965023200,9.95,25,5.25
0,2000-08-31 00:00:00,71.46,967755600,44.4,967716000,0.64,Dawson,44.81,0.65,967701600Dawson,47.32703925,-104.9737783,0.09,,0.0016,0.0372,967784400,0.68,rain,1015.94,MT,967724396,967772583,71.46,967755600,47.15,967716000,967701600,9.93,103,10.88
0,2000-09-30 00:00:00,74.58,970347600,45.04,970318800,0.19,Dawson,40.29,0.45,970293600Dawson,47.32703925,-104.9737783,0.1,,0.0003,0.0075,970358400,0.38,rain,1004.13,MT,970318774,970360928,74.58,970347600,48.34,970318800,970293600,10,253,10.68
0,2000-10-31 00:00:00,41.28,973033200,24.03,973036800,0.94,Dawson,38.86,0.9,972975600Dawson,47.32703925,-104.9737783,0.15,,0.0076,0.0377,973054800,0.68,rain,1017.27,MT,972999845,973035921,43.83,973033200,35.64,973036800,972975600,8.24,352,7.5
0,2000-11-30 00:00:00,10.97,975578400,7.65,975596400,0.95,Dawson,18.3,0.91,975567600Dawson,47.32703925,-104.9737783,0.15,0.28,0.0008,0.0038,975571200,0.14,snow,1025.45,MT,975594435,975626006,23.03,975578400,18.27,975650400,975567600,6.53,66,9.77
0,2000-12-31 00:00:00,27.66,978307200,-10.91,978267600,0.04,Dawson,5.24,0.82,978246000Dawson,47.32703925,-104.9737783,0.19,,0,0,,0,,1024.92,MT,978274095,978304832,27.66,978307200,-0.11,978267600,978246000,9.68,190,5.77
0,2001-01-31 00:00:00,13.42,980974800,-19.91,981007200,0.34,Dawson,11.83,0.74,980924400Dawson,47.32703925,-104.9737783,0.23,,0,0,,0,,1020.12,MT,980951263,980985697,26.78,980974800,-1.76,981007200,980924400,9.67,307,13.42
0,2001-02-28 00:00:00,30.63,983404800,-8.01,983361600,0.03,Dawson,12.64,0.74,983343600Dawson,47.32703925,-104.9737783,0.17,,0,0,,0,,1015.71,MT,983367759,983407498,37.1,983404800,7.18,983365200,983343600,9.65,208,8.2
