,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,29.18,949363200,-13.68,949330800,0.21,Deer Lodge,5.25,0.71,949302000Deer Lodge,46.1882445,-112.9105815,0.85,,0,0,,0,,1025.18,MT,949330636,949365320,37.08,949363200,1.91,949320000,949302000,9.59,207,5.71
0,2000-02-29 00:00:00,43.44,951865200,20.55,951832800,0.47,Deer Lodge,24.89,0.65,951807600Deer Lodge,46.1882445,-112.9105815,0.83,,0,0,,0,,1014.94,MT,951833560,951873500,47.12,951865200,26.5,951832800,951807600,10,214,4.84
0,2000-03-31 00:00:00,53.88,954547200,19.62,954507600,0.23,Deer Lodge,18.87,0.49,954486000Deer Lodge,46.1882445,-112.9105815,0.86,,0,0,,0,,1029,MT,954508380,954554424,53.88,954547200,26.07,954507600,954486000,10,299,5.1
0,2000-04-30 00:00:00,75.54,957139200,18.6,957099600,0.15,Deer Lodge,24.63,0.47,957074400Deer Lodge,46.1882445,-112.9105815,0.88,,0,0,,0,,1024.73,MT,957097178,957148816,75.54,957139200,25.21,957099600,957074400,9.94,215,2.56
0,2000-05-31 00:00:00,55.33,959817600,35.01,959832000,0.83,Deer Lodge,37.57,0.79,959752800Deer Lodge,46.1882445,-112.9105815,0.93,,0.0225,0.0703,959763600,0.75,rain,1016.56,MT,959773518,959829391,55.33,959817600,38.23,959835600,959752800,9.18,330,6.05
0,2000-06-30 00:00:00,85.66,962402400,45.81,962362800,0.23,Deer Lodge,40.38,0.39,962344800Deer Lodge,46.1882445,-112.9105815,0.96,,0.0001,0.0018,962409600,0.04,rain,1009.05,MT,962365503,962422089,89.44,962402400,48.65,962362800,962344800,9.94,225,3.52
0,2000-07-31 00:00:00,90.82,965077200,68.34,965044800,0.43,Deer Lodge,47.62,0.33,965023200Deer Lodge,46.1882445,-112.9105815,0.03,,0.0008,0.0115,965098800,0.53,rain,1013.98,MT,965045665,965099039,94.46,965077200,68.34,965044800,965023200,9.93,268,1.51
0,2000-08-31 00:00:00,77.14,967762800,39.24,967726800,0.25,Deer Lodge,39.39,0.51,967701600Deer Lodge,46.1882445,-112.9105815,0.09,,0,0,,0,,1008.07,MT,967726395,967774393,77.14,967762800,42.28,967726800,967701600,9.72,173,2.13
0,2000-09-30 00:00:00,64.04,970344000,52,970311600,0.78,Deer Lodge,42.71,0.58,970293600Deer Lodge,46.1882445,-112.9105815,0.1,,0.0046,0.0729,970376400,0.75,rain,1009.22,MT,970320655,970362856,64.04,970344000,52,970311600,970293600,9.84,240,9.38
