,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,34.48,949359600,-0.1,949320000,0.02,Fallon,12.39,0.75,949302000Fallon,46.306156,-104.407845,0.85,,,,,,snow,1021.7,MT,949328615,949363258,37.66,949359600,7.37,949327200,949302000,9.76,133,0.56
0,2000-02-29 00:00:00,39.15,951861600,18.06,951836400,0.08,Fallon,23.77,0.68,951807600Fallon,46.306156,-104.407845,0.83,,,,,,snow,1015.51,MT,951831529,951871450,45.6,951861600,27.69,951832800,951807600,9.58,300,7.67
0,2000-03-31 00:00:00,52.08,954536400,15.87,954504000,0.31,Fallon,25.57,0.69,954486000Fallon,46.306156,-104.407845,0.86,,,,,,rain,1024.03,MT,954506337,954552387,52.08,954536400,25.93,954507600,954486000,9.66,284,12.32
0,2000-04-30 00:00:00,73.51,957139200,30.85,957096000,0.12,Fallon,34.31,0.59,957074400Fallon,46.306156,-104.407845,0.88,,,,,,rain,1022.68,MT,957095122,957146791,73.51,957139200,37.18,957096000,957074400,10,286,8.36
0,2000-05-31 00:00:00,56.49,959799600,41.45,959824800,0.78,Fallon,45.75,0.82,959752800Fallon,46.306156,-104.407845,0.93,,0.026,0.0773,959821200,0.76,rain,1015.35,MT,959771450,959827377,56.49,959799600,45.93,959835600,959752800,9.44,116,12.84
0,2000-06-30 00:00:00,90.37,962398800,57.68,962348400,0.03,Fallon,44.49,0.36,962344800Fallon,46.306156,-104.407845,0.96,,,,,,rain,1007.44,MT,962363432,962420078,94.57,962398800,57.68,962348400,962344800,9.9,237,6.74
0,2000-07-31 00:00:00,94.61,965080800,64.63,965044800,0.07,Fallon,57.91,0.5,965023200Fallon,46.306156,-104.407845,0.03,,,,,,rain,1013.8,MT,965043601,965097022,94.2,965080800,64.63,965044800,965023200,9.98,28,2.03
0,2000-08-31 00:00:00,81.86,967766400,44.86,967712400,0.69,Fallon,46.97,0.69,967701600Fallon,46.306156,-104.407845,0.09,,,,,,rain,1015.74,MT,967724344,967772364,83.13,967766400,48.21,967716000,967701600,9.97,102,10.75
0,2000-09-30 00:00:00,74.98,970347600,43.39,970318800,0.24,Fallon,39.4,0.47,970293600Fallon,46.306156,-104.407845,0.1,,,,,,rain,1005.44,MT,970318615,970360816,74.98,970347600,46.92,970318800,970293600,10,257,9.75
0,2000-10-31 00:00:00,39.02,972979200,22.68,973036800,1,Fallon,41.36,0.97,972975600Fallon,46.306156,-104.407845,0.15,,0.0386,0.1045,972982800,0.79,rain,1015.39,MT,972999576,973035918,43.83,972979200,34.75,973036800,972975600,5.72,343,9.34
0,2000-11-30 00:00:00,8.31,975567600,5.06,975600000,0.95,Fallon,17.84,0.92,975567600Fallon,46.306156,-104.407845,0.15,0.322,0.001,,,,snow,1023.07,MT,975594078,975626092,22.46,975567600,17.68,975650400,975567600,5.77,74,11.11
0,2000-12-31 00:00:00,20.98,978307200,-14.14,978249600,0.02,Fallon,7.54,0.8,978246000Fallon,46.306156,-104.407845,0.19,,0,,,0,,1025.65,MT,978273720,978304936,28.64,978307200,0.73,978267600,978246000,9.94,169,5.13
0,2001-01-31 00:00:00,14.25,980974800,-17.05,981007200,0.49,Fallon,14.52,0.78,980924400Fallon,46.306156,-104.407845,0.23,,0,,,0,,1018.73,MT,980950963,980985725,27.22,980974800,2.6,981007200,980924400,9.13,294,14.53
0,2001-02-28 00:00:00,27.15,983404800,-2.9,983361600,0.03,Fallon,13.66,0.68,983343600Fallon,46.306156,-104.407845,0.17,,,,,,snow,1016.4,MT,983367557,983407428,34.71,983404800,12.79,983350800,983343600,9.84,226,10.57
