,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,29.27,949352400,1.01,949312800,0.02,Fergus,7.63,0.57,949302000Fergus,47.23039045,-109.3618652,0.85,,0,0,,0,,1020.04,MT,949329954,949364298,35.83,949352400,10.98,949309200,949302000,9.88,182,4.93
0,2000-02-29 00:00:00,45.18,951865200,20.28,951822000,0.16,Fergus,23.4,0.6,951807600Fergus,47.23039045,-109.3618652,0.83,,0,0,,0,,1014.82,MT,951832775,951872582,46.83,951865200,26.48,951832800,951807600,9.67,133,1.83
0,2000-03-31 00:00:00,39.72,954547200,14.85,954507600,0.42,Fergus,23.51,0.63,954486000Fergus,47.23039045,-109.3618652,0.86,,0,0,,0,,1027.65,MT,954507482,954553619,45.75,954547200,25.95,954507600,954486000,9.83,272,7.29
0,2000-04-30 00:00:00,70.69,957139200,25.15,957096000,0.11,Fergus,27.09,0.46,957074400Fergus,47.23039045,-109.3618652,0.88,,0,0,,0,,1022.91,MT,957096171,957148120,70.69,957139200,29.79,957096000,957074400,9.89,229,6.2
0,2000-05-31 00:00:00,43.43,959752800,25.74,959835600,0.96,Fergus,35.48,0.77,959752800Fergus,47.23039045,-109.3618652,0.93,,0.0287,0.0645,959752800,0.74,rain,1016.25,MT,959772418,959828787,48.61,959752800,34.93,959835600,959752800,8.68,33,6.27
0,2000-06-30 00:00:00,84.2,962402400,50.16,962366400,0.08,Fergus,40.67,0.39,962344800Fergus,47.23039045,-109.3618652,0.96,,0.0001,0.0027,962409600,0.08,rain,1007.99,MT,962364386,962421503,87.9,962402400,50.16,962366400,962344800,9.98,235,2.21
0,2000-07-31 00:00:00,89.27,965084400,66.99,965048400,0.23,Fergus,48.93,0.35,965023200Fergus,47.23039045,-109.3618652,0.03,,0,0,,0,,1014.78,MT,965044620,965098381,92.16,965084400,66.99,965048400,965023200,10,85,7.73
0,2000-08-31 00:00:00,76.36,967759200,36.82,967723200,0.17,Fergus,42.63,0.6,967701600Fergus,47.23039045,-109.3618652,0.09,,0.0001,0.0033,967766400,0.12,rain,1010.61,MT,967725458,967773627,76.36,967759200,41.83,967723200,967701600,9.99,101,9.16
0,2000-09-30 00:00:00,67.49,970347600,47.46,970300800,0.5,Fergus,40.42,0.49,970293600Fergus,47.23039045,-109.3618652,0.1,,0.0027,0.0571,970376400,0.73,rain,1005.21,MT,970319826,970361982,67.49,970347600,49.34,970300800,970293600,10,236,14.25
0,2000-10-31 00:00:00,45.47,973029600,28.29,973036800,0.82,Fergus,33.31,0.81,972975600Fergus,47.23039045,-109.3618652,0.15,,0.0001,0.0024,972979200,0.07,rain,1017.87,MT,973000886,973036986,47.23,973029600,32.8,973000800,972975600,9.44,269,1.59
