,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,31.89,949363200,-16.27,949320000,0.11,Gallatin,3.79,0.69,949302000Gallatin,45.53281421,-111.1873044,0.85,,0,0,,0,,1026.06,MT,949330119,949365009,31.89,949363200,-3.67,949320000,949302000,9.77,225,3.49
0,2000-02-29 00:00:00,43.18,951865200,20.5,951818400,0.5,Gallatin,24.34,0.63,951807600Gallatin,45.53281421,-111.1873044,0.83,,0,0,,0,,1015.11,MT,951833106,951873127,48.56,951865200,27.82,951818400,951807600,9.98,210,6.69
0,2000-03-31 00:00:00,50.7,954547200,19.02,954507600,0.3,Gallatin,19.75,0.54,954486000Gallatin,45.53281421,-111.1873044,0.86,,0,0,,0,,1029.08,MT,954507996,954553981,50.7,954547200,24.54,954507600,954486000,10,277,2.9
0,2000-04-30 00:00:00,71.49,957139200,17.38,957092400,0.1,Gallatin,24.72,0.48,957074400Gallatin,45.53281421,-111.1873044,0.88,,0,0,,0,,1025.6,MT,957096860,957148307,71.49,957139200,24.57,957092400,957074400,9.98,194,2.16
0,2000-05-31 00:00:00,57.37,959817600,34.82,959832000,0.75,Gallatin,37.7,0.75,959752800Gallatin,45.53281421,-111.1873044,0.93,,0.0093,0.0718,959792400,0.75,rain,1015.36,MT,959773255,959828827,57.37,959817600,38.92,959835600,959752800,9.84,291,3.17
0,2000-06-30 00:00:00,86.28,962402400,43.84,962362800,0.23,Gallatin,42.95,0.45,962344800Gallatin,45.53281421,-111.1873044,0.96,,0,0,,0,,1009.66,MT,962365249,962421515,90.29,962402400,46.4,962362800,962344800,9.81,200,2.85
0,2000-07-31 00:00:00,92.13,965080800,63.33,965041200,0.45,Gallatin,46.77,0.32,965023200Gallatin,45.53281421,-111.1873044,0.03,,0.0007,0.0094,965098800,0.5,rain,1014.79,MT,965045368,965098509,95.92,965080800,63.33,965041200,965023200,9.93,270,1
0,2000-08-31 00:00:00,74.85,967759200,39.42,967723200,0.35,Gallatin,40.34,0.55,967701600Gallatin,45.53281421,-111.1873044,0.09,,0.0006,0.0077,967777200,0.39,rain,1009.72,MT,967726033,967773928,74.85,967759200,39.42,967723200,967701600,9.92,167,3.31
0,2000-09-30 00:00:00,67.91,970344000,44.28,970311600,0.67,Gallatin,41.31,0.57,970293600Gallatin,45.53281421,-111.1873044,0.1,,0.007,0.0817,970376400,0.77,rain,1010.25,MT,970320226,970362458,67.91,970344000,46.92,970311600,970293600,9.73,233,8.42
