,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,24.4,949352400,-8.09,949327200,0.04,Garfield,8.01,0.72,949302000Garfield,47.3964346,-107.0107262,0.85,,0,0,,0,,1021.37,MT,949329418,949363705,32.52,949352400,2.77,949327200,949302000,8.76,125,3.5
0,2000-02-29 00:00:00,39.74,951858000,20.55,951829200,0.15,Garfield,22.44,0.65,951807600Garfield,47.3964346,-107.0107262,0.83,,0,0,,0,,1016.7,MT,951832222,951872006,44.68,951858000,26,951890400,951807600,7.46,320,3.23
0,2000-03-31 00:00:00,43.69,954529200,14.55,954507600,0.32,Garfield,24.98,0.66,954486000Garfield,47.3964346,-107.0107262,0.86,,0.0033,0.0545,954547200,0.72,rain,1025.52,MT,954506910,954553062,49.43,954529200,24.33,954507600,954486000,8.04,289,10.03
0,2000-04-30 00:00:00,73.72,957139200,25.25,957096000,0.09,Garfield,30.39,0.5,957074400Garfield,47.3964346,-107.0107262,0.88,,0,0,,0,,1022.49,MT,957095582,957147581,73.72,957139200,32.41,957096000,957074400,8.79,253,7.67
0,2000-05-31 00:00:00,53.12,959756400,36.25,959821200,0.93,Garfield,38.05,0.68,959752800Garfield,47.3964346,-107.0107262,0.93,,0.0308,0.1655,959832000,0.83,rain,1015.62,MT,959771813,959828263,53.12,959756400,43.42,959835600,959752800,8.73,41,11.02
0,2000-06-30 00:00:00,88.4,962406000,52.44,962362800,0.05,Garfield,45.32,0.43,962344800Garfield,47.3964346,-107.0107262,0.96,,0,0,,0,,1006.66,MT,962363778,962420982,92.56,962406000,52.44,962362800,962344800,9.96,259,4.19
0,2000-07-31 00:00:00,88.16,965080800,66.97,965044800,0.18,Garfield,55.15,0.45,965023200Garfield,47.3964346,-107.0107262,0.03,,0,0,,0,,1014.54,MT,965044023,965097849,89.61,965080800,66.97,965044800,965023200,10,49,5.62
0,2000-08-31 00:00:00,74.21,967755600,42.16,967708800,0.48,Garfield,44.12,0.64,967701600Garfield,47.3964346,-107.0107262,0.09,,0.0008,0.018,967784400,0.59,rain,1014.45,MT,967724880,967773077,74.21,967755600,45.66,967712400,967701600,9.97,117,12.99
0,2000-09-30 00:00:00,73.3,970347600,50.48,970318800,0.26,Garfield,41.27,0.48,970293600Garfield,47.3964346,-107.0107262,0.1,,0,0,,0,,1004.72,MT,970319265,970361415,73.3,970347600,50.48,970318800,970293600,10,254,9.27
