,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,23.23,949356000,-2.09,949316400,0.29,Glacier,12,0.71,949302000Glacier,48.6614856,-113.0735736,0.85,,0,0,,0,,1020.39,MT,949331089,949364945,33.25,949356000,6.77,949302000,949302000,8.67,229,8.36
0,2000-02-29 00:00:00,40.77,951861600,21.98,951829200,0.33,Glacier,24.63,0.67,951807600Glacier,48.6614856,-113.0735736,0.83,,0,0,,0,,1014.74,MT,951833759,951873379,44.29,951861600,26.62,951829200,951807600,9.72,184,4.35
0,2000-03-31 00:00:00,51.41,954543600,21.07,954507600,0.24,Glacier,20.31,0.49,954486000Glacier,48.6614856,-113.0735736,0.86,,0,0,,0,,1028.59,MT,954508302,954554580,51.41,954543600,28.79,954507600,954486000,9.75,277,6.59
0,2000-04-30 00:00:00,64.4,957139200,28.07,957088800,0.23,Glacier,24.96,0.4,957074400Glacier,48.6614856,-113.0735736,0.88,,0,0,,0,,1021.95,MT,957096835,957149238,64.4,957139200,34.42,957088800,957074400,9.76,233,10.12
0,2000-05-31 00:00:00,43.46,959752800,35.27,959835600,0.85,Glacier,32.33,0.64,959752800Glacier,48.6614856,-113.0735736,0.93,,0.0127,0.079,959792400,0.76,rain,1022.1,MT,959772947,959830041,46.76,959752800,38.34,959835600,959752800,9.41,25,6.62
0,2000-06-30 00:00:00,79.52,962402400,54.22,962359200,0.25,Glacier,42.37,0.42,962344800Glacier,48.6614856,-113.0735736,0.96,,0,0,,0,,1007.31,MT,962364890,962422780,81.19,962402400,54.22,962359200,962344800,9.75,238,6.35
0,2000-07-31 00:00:00,83.42,965088000,58.63,965044800,0.26,Glacier,53.94,0.56,965023200Glacier,48.6614856,-113.0735736,0.03,,0,0,,0,,1016.22,MT,965045232,965099550,84.56,965088000,58.63,965044800,965023200,9.75,81,1.64
0,2000-08-31 00:00:00,70.24,967759200,42.58,967708800,0.46,Glacier,45.66,0.72,967701600Glacier,48.6614856,-113.0735736,0.09,,0,0,,0,,1009.31,MT,967726227,967774639,70.24,967759200,45,967716000,967701600,9.65,145,4.86
0,2000-09-30 00:00:00,63.94,970344000,43.91,970376400,0.55,Glacier,43.66,0.64,970293600Glacier,48.6614856,-113.0735736,0.1,,0.0019,0.014,970369200,0.55,rain,1004.02,MT,970320751,970362838,63.94,970344000,43.91,970376400,970293600,9.63,237,11.62
