,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,29.67,949363200,-12.68,949330800,0.27,Granite,6.34,0.74,949302000Granite,46.475526,-113.296628,0.85,,0,0,,0,,1025.34,MT,949330774,949365366,37.9,949363200,2.03,949323600,949302000,9.11,200,5.17
0,2000-02-29 00:00:00,44.05,951861600,20.65,951832800,0.48,Granite,25.46,0.66,951807600Granite,46.475526,-113.296628,0.83,,0,0,,0,,1015.47,MT,951833670,951873575,47.22,951861600,26.01,951832800,951807600,10,207,2.82
0,2000-03-31 00:00:00,54.18,954547200,21.21,954507600,0.2,Granite,19.68,0.49,954486000Granite,46.475526,-113.296628,0.86,,0,0,,0,,1029.75,MT,954508459,954554530,54.18,954547200,26.46,954507600,954486000,9.85,293,4.53
0,2000-04-30 00:00:00,75.25,957139200,22.3,957096000,0.12,Granite,25.73,0.48,957074400Granite,46.475526,-113.296628,0.88,,0,0,,0,,1024.68,MT,957097228,957148952,75.25,957139200,24.53,957099600,957074400,9.96,207,1.92
0,2000-05-31 00:00:00,51.81,959817600,36.24,959832000,0.85,Granite,37.62,0.79,959752800Granite,46.475526,-113.296628,0.93,,0.0255,0.0848,959763600,0.77,rain,1017.64,MT,959773543,959829551,51.81,959817600,38.76,959835600,959752800,8.96,335,5.69
0,2000-06-30 00:00:00,85.55,962402400,46.99,962362800,0.2,Granite,40.54,0.39,962344800Granite,46.475526,-113.296628,0.96,,0.0001,0.002,962409600,0.05,rain,1008.88,MT,962365524,962422253,89.22,962402400,48.58,962370000,962344800,9.94,227,3.08
0,2000-07-31 00:00:00,91.82,965077200,64.72,965048400,0.36,Granite,47.29,0.34,965023200Granite,46.475526,-113.296628,0.03,,0.0007,0.0104,965098800,0.51,rain,1013.62,MT,965045705,965099184,95.57,965077200,64.72,965048400,965023200,9.92,289,2.15
0,2000-08-31 00:00:00,78.09,967762800,37.42,967726800,0.22,Granite,39.45,0.52,967701600Granite,46.475526,-113.296628,0.09,,0,0,,0,,1007.83,MT,967726465,967774508,78.09,967762800,40.77,967726800,967701600,9.59,194,1.41
0,2000-09-30 00:00:00,63.61,970344000,52.3,970308000,0.79,Granite,43.77,0.61,970293600Granite,46.475526,-113.296628,0.1,,0.0054,0.0879,970376400,0.77,rain,1009.66,MT,970320754,970362942,63.61,970344000,52.3,970308000,970293600,9.78,233,8.5
0,2000-10-31 00:00:00,38.19,973029600,27.23,973036800,0.78,Granite,30.84,0.81,972975600Granite,46.475526,-113.296628,0.15,,0.0003,0.0034,972975600,0.12,rain,1020.53,MT,973001733,973038028,44,973029600,32.97,973000800,972975600,9.13,256,3.2
0,2000-11-30 00:00:00,30.56,975621600,15.77,975596400,0.75,Granite,22.68,0.77,975567600Granite,46.475526,-113.296628,0.15,0.742,0.0027,0.0296,975574800,0.65,snow,1025.71,MT,975596249,975628189,35.57,975621600,24.71,975650400,975567600,8.43,244,4.4
0,2000-12-31 00:00:00,29.45,978300000,8.02,978328800,0.55,Granite,19.43,0.79,978246000Granite,46.475526,-113.296628,0.19,,0,0,,0,,1029.95,MT,978275892,978307031,34.54,978300000,16.34,978328800,978246000,8.35,228,4.73
0,2001-01-31 00:00:00,30.24,980978400,13.25,980946000,0.87,Granite,21.17,0.76,980924400Granite,46.475526,-113.296628,0.23,0.17,0.0008,0.0038,980992800,0.14,snow,1025.61,MT,980953121,980987834,33.44,980978400,21.5,980946000,980924400,8.49,255,3.81
0,2001-02-28 00:00:00,30.44,983404800,-13.86,983368800,0.03,Granite,2.71,0.65,983343600Granite,46.475526,-113.296628,0.17,,0,0,,0,,1022.86,MT,983369699,983409553,33.62,983404800,-3.16,983372400,983343600,9.74,195,6.55
0,2001-03-31 00:00:00,43.63,986083200,15.32,986029200,0.57,Granite,24.87,0.71,986022000Granite,46.475526,-113.296628,0.23,,0.0016,0.0091,986094000,0.49,rain,1017.38,MT,986044490,986090509,48.5,986083200,21.39,986047200,986022000,9.16,215,4.06
0,2001-04-30 00:00:00,56.98,988660800,36.94,988693200,0.68,Granite,33.98,0.57,988610400Granite,46.475526,-113.296628,0.25,,0.0051,0.045,988682400,0.7,rain,1011.81,MT,988633253,988684931,56.98,988660800,42.41,988624800,988610400,9.67,238,8.42
0,2001-05-31 00:00:00,79.78,991353600,43.91,991310400,0.16,Granite,39.33,0.46,991288800Granite,46.475526,-113.296628,0.32,,0,0,,0,,1019.34,MT,991309553,991365537,81.45,991353600,45.24,991310400,991288800,10,289,5.45
0,2001-06-30 00:00:00,85.12,993945600,53.5,993906000,0.2,Granite,51.41,0.56,993880800Granite,46.475526,-113.296628,0.34,,0.0011,0.027,993960000,0.64,rain,1015.74,MT,993901515,993958256,88.27,993945600,53.5,993906000,993880800,9.85,7,1.01
0,2001-07-31 00:00:00,77.37,996624000,50.68,996584400,0.65,Granite,46.61,0.69,996559200Granite,46.475526,-113.296628,0.39,,0.0172,0.0663,996584400,0.74,rain,1014.62,MT,996581686,996635204,77.37,996624000,50.68,996584400,996559200,9.49,276,5.59
0,2001-08-31 00:00:00,82.97,999298800,49.56,999262800,0.14,Granite,42.22,0.41,999237600Granite,46.475526,-113.296628,0.43,,0,0,,0,,1009.23,MT,999262445,999310538,85.92,999298800,49.56,999262800,999237600,9.91,234,3.89
0,2001-09-30 00:00:00,78.89,1001894400,27.52,1001858400,0.01,Granite,34.95,0.52,1001829600Granite,46.475526,-113.296628,0.44,,0,0,,0,,1023.61,MT,1001856734,1001898973,78.89,1001894400,34.28,1001858400,1001829600,9.96,187,3.34
0,2001-10-31 00:00:00,54.02,1004554800,36.8,1004587200,0.67,Granite,33.37,0.6,1004511600Granite,46.475526,-113.296628,0.48,,0.0061,0.0386,1004562000,0.68,rain,1005.2,MT,1004537710,1004574051,54.02,1004554800,40.49,1004594400,1004511600,9.75,235,8.04
0,2001-11-30 00:00:00,26.82,1007164800,17.55,1007132400,0.55,Granite,20.39,0.69,1007103600Granite,46.475526,-113.296628,0.49,0.099,0.0004,0.0049,1007186400,0.21,snow,1010.07,MT,1007132230,1007164196,35.02,1007164800,25.67,1007132400,1007103600,9.83,215,4.52
0,2001-12-31 00:00:00,24.42,1009836000,5.92,1009796400,0.86,Granite,14.27,0.86,1009782000Granite,46.475526,-113.296628,0.55,0.222,0.0005,0.0043,1009803600,0.17,snow,1026.54,MT,1009811891,1009843017,24.42,1009836000,14.12,1009792800,1009782000,7.75,109,1.38
0,2002-01-31 00:00:00,27.37,1012514400,7.83,1012471200,0.79,Granite,16.33,0.74,1012460400Granite,46.475526,-113.296628,0.61,0.054,0.0001,0.0032,1012460400,0.11,snow,1024.75,MT,1012489140,1012523810,31.84,1012514400,17.75,1012464000,1012460400,9.26,221,6.07
