,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,27.69,949363200,-13.73,949323600,0.16,Jefferson,5.18,0.7,949302000Jefferson,46.1825015,-112.0354922,0.85,,0,0,,0,,1025.3,MT,949330425,949365110,35.26,949363200,0.62,949320000,949302000,9.7,211,5.54
0,2000-02-29 00:00:00,43.9,951865200,20.73,951832800,0.45,Jefferson,24.71,0.63,951807600Jefferson,46.1825015,-112.0354922,0.83,,0,0,,0,,1015.02,MT,951833350,951873291,47.83,951865200,26.83,951832800,951807600,10,217,5.22
0,2000-03-31 00:00:00,53.3,954547200,19.92,954507600,0.25,Jefferson,19.02,0.48,954486000Jefferson,46.1825015,-112.0354922,0.86,,0,0,,0,,1029.03,MT,954508170,954554214,53.3,954547200,26.57,954507600,954486000,10,291,5.14
0,2000-04-30 00:00:00,75.9,957139200,19.22,957092400,0.13,Jefferson,24.72,0.46,957074400Jefferson,46.1825015,-112.0354922,0.88,,0,0,,0,,1024.84,MT,957096969,957148605,75.9,957139200,26.11,957092400,957074400,9.95,216,2.87
0,2000-05-31 00:00:00,54.87,959817600,34.41,959832000,0.85,Jefferson,37.52,0.79,959752800Jefferson,46.1825015,-112.0354922,0.93,,0.0187,0.051,959767200,0.72,rain,1016.8,MT,959773309,959829180,54.87,959817600,38.16,959835600,959752800,9.18,326,6.3
0,2000-06-30 00:00:00,85.91,962402400,46.16,962362800,0.22,Jefferson,40.99,0.39,962344800Jefferson,46.1825015,-112.0354922,0.96,,0.0001,0.0016,962409600,0.03,rain,1009.11,MT,962365294,962421878,89.77,962402400,48.88,962362800,962344800,9.91,220,3.33
0,2000-07-31 00:00:00,90.95,965080800,68.76,965041200,0.43,Jefferson,47.6,0.33,965023200Jefferson,46.1825015,-112.0354922,0.03,,0.0011,0.0155,965098800,0.57,rain,1014.09,MT,965045456,965098828,94.37,965080800,68.76,965041200,965023200,9.94,266,1.69
0,2000-08-31 00:00:00,76.43,967759200,39.48,967726800,0.25,Jefferson,39.59,0.53,967701600Jefferson,46.1825015,-112.0354922,0.09,,0,0,,0,,1008.46,MT,967726186,967774183,76.43,967759200,42.34,967723200,967701600,9.72,164,2.01
0,2000-09-30 00:00:00,65.38,970340400,51.44,970311600,0.75,Jefferson,42.34,0.57,970293600Jefferson,46.1825015,-112.0354922,0.1,,0.0043,0.0634,970376400,0.74,rain,1009.12,MT,970320444,970362647,65.38,970340400,51.44,970311600,970293600,9.88,239,9.8
