,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,28.17,949363200,-1.04,949312800,0.02,Judith Basin,8.18,0.61,949302000Judith Basin,47.1005466,-110.1540506,0.85,,0,0,,0,,1021.38,MT,949330122,949364510,36.52,949363200,9.68,949309200,949302000,9.96,204,6.15
0,2000-02-29 00:00:00,48.03,951865200,22.04,951822000,0.27,Judith Basin,23.77,0.6,951807600Judith Basin,47.1005466,-110.1540506,0.83,,0,0,,0,,1014.85,MT,951832957,951872781,48.03,951865200,27.17,951832800,951807600,9.88,191,2.17
0,2000-03-31 00:00:00,45.06,954547200,16.9,954507600,0.39,Judith Basin,22.7,0.57,954486000Judith Basin,47.1005466,-110.1540506,0.86,,0,0,,0,,1028.14,MT,954507678,954553804,49.73,954547200,26.91,954507600,954486000,10,268,6.54
0,2000-04-30 00:00:00,74.09,957139200,24.85,957096000,0.14,Judith Basin,26.55,0.44,957074400Judith Basin,47.1005466,-110.1540506,0.88,,0,0,,0,,1023.38,MT,957096381,957148291,74.09,957139200,30.41,957092400,957074400,10,223,6.57
0,2000-05-31 00:00:00,43.5,959752800,29.26,959832000,0.95,Judith Basin,36.55,0.79,959752800Judith Basin,47.1005466,-110.1540506,0.93,,0.0261,0.0669,959752800,0.74,rain,1017.03,MT,959772640,959828946,47.86,959752800,36.25,959835600,959752800,8.47,14,6.52
0,2000-06-30 00:00:00,85.46,962402400,51.56,962366400,0.13,Judith Basin,41.71,0.39,962344800Judith Basin,47.1005466,-110.1540506,0.96,,0.0001,0.0029,962409600,0.09,rain,1008.07,MT,962364610,962421659,89.37,962402400,51.56,962366400,962344800,9.91,221,3.39
0,2000-07-31 00:00:00,90.32,965084400,66.79,965044800,0.32,Judith Basin,48.62,0.34,965023200Judith Basin,47.1005466,-110.1540506,0.03,,0.0004,0.0059,965098800,0.27,rain,1014.37,MT,965044835,965098546,93.55,965084400,66.79,965044800,965023200,9.97,78,5.24
0,2000-08-31 00:00:00,76.93,967762800,37.16,967723200,0.2,Judith Basin,42.34,0.59,967701600Judith Basin,47.1005466,-110.1540506,0.09,,0.0001,0.0022,967766400,0.06,rain,1009.98,MT,967725659,967773806,76.93,967762800,40.98,967723200,967701600,9.9,96,7.17
0,2000-09-30 00:00:00,67.97,970347600,53.67,970300800,0.59,Judith Basin,41.45,0.51,970293600Judith Basin,47.1005466,-110.1540506,0.1,,0.004,0.0678,970376400,0.75,rain,1006.09,MT,970320013,970362175,67.97,970347600,53.67,970300800,970293600,9.97,236,13.94
0,2000-10-31 00:00:00,42.79,973029600,29.92,973000800,0.77,Judith Basin,32.59,0.81,972975600Judith Basin,47.1005466,-110.1540506,0.15,,0.0002,0.0015,972979200,0.03,rain,1018.53,MT,973001059,973037193,46.34,973029600,33.02,973000800,972975600,9.28,237,2.23
0,2000-11-30 00:00:00,29,975618000,16.33,975650400,0.77,Judith Basin,22.9,0.8,975567600Judith Basin,47.1005466,-110.1540506,0.15,1.121,0.004,0.0279,975574800,0.64,snow,1022.62,MT,975595630,975627299,33.84,975618000,24.25,975574800,975567600,8.36,236,5.5
0,2000-12-31 00:00:00,29.89,978296400,13.04,978267600,0.37,Judith Basin,21.01,0.71,978246000Judith Basin,47.1005466,-110.1540506,0.19,,0,0,,0,,1024.82,MT,978275284,978306130,37.88,978296400,23.27,978328800,978246000,9.41,233,10.31
0,2001-01-31 00:00:00,24.82,980974800,10.29,980946000,0.79,Judith Basin,19.07,0.7,980924400Judith Basin,47.1005466,-110.1540506,0.23,0.017,0.0001,0.0015,980996400,0.03,snow,1022.24,MT,980952468,980986978,33.6,980974800,22.49,980946000,980924400,9.53,259,8.15
0,2001-02-28 00:00:00,29.77,983397600,-3.54,983354400,0.01,Judith Basin,7.47,0.51,983343600Judith Basin,47.1005466,-110.1540506,0.17,,0,0,,0,,1016.59,MT,983368986,983408758,37.78,983397600,9.24,983343600,983343600,9.95,215,10.14
0,2001-03-31 00:00:00,44.58,986083200,10.47,986032800,0.35,Judith Basin,21.17,0.63,986022000Judith Basin,47.1005466,-110.1540506,0.23,,0.0003,0.0035,986101200,0.13,rain,1016.03,MT,986043709,986089782,48.64,986083200,17.73,986043600,986022000,9.97,222,8.65
0,2001-04-30 00:00:00,61.37,988657200,37.53,988621200,0.56,Judith Basin,31.32,0.47,988610400Judith Basin,47.1005466,-110.1540506,0.25,,0.004,0.0352,988682400,0.67,rain,1009.02,MT,988632406,988684269,61.37,988657200,42.9,988621200,988610400,9.65,240,13.05
0,2001-05-31 00:00:00,77.1,991353600,44.86,991310400,0.18,Judith Basin,33.56,0.35,991288800Judith Basin,47.1005466,-110.1540506,0.32,,0,0,,0,,1017.31,MT,991308650,991364932,77.1,991353600,48.68,991310400,991288800,10,286,9.93
0,2001-06-30 00:00:00,84.04,993945600,58.43,993902400,0.44,Judith Basin,52.18,0.58,993880800Judith Basin,47.1005466,-110.1540506,0.34,,0,0,,0,,1017.98,MT,993900601,993957662,85.58,993945600,58.43,993902400,993880800,9.83,74,10.04
0,2001-07-31 00:00:00,77.2,996624000,54.45,996642000,0.58,Judith Basin,48.47,0.66,996559200Judith Basin,47.1005466,-110.1540506,0.39,,0.0182,0.082,996598800,0.77,rain,1011.79,MT,996580815,996634567,77.2,996624000,54.45,996642000,996559200,9.43,265,6.65
0,2001-08-31 00:00:00,85.17,999295200,54.45,999262800,0.12,Judith Basin,39.92,0.33,999237600Judith Basin,47.1005466,-110.1540506,0.43,,0,0,,0,,1007.34,MT,999261639,999309836,89.04,999295200,54.45,999262800,999237600,9.89,224,4.95
0,2001-09-30 00:00:00,79.74,1001894400,38.91,1001858400,0.01,Judith Basin,35.02,0.47,1001829600Judith Basin,47.1005466,-110.1540506,0.44,,0,0,,0,,1022.23,MT,1001855992,1001898206,79.74,1001894400,41.78,1001858400,1001829600,9.96,200,2.48
0,2001-10-31 00:00:00,58.59,1004562000,33.62,1004594400,0.47,Judith Basin,32.81,0.53,1004511600Judith Basin,47.1005466,-110.1540506,0.48,,0.0009,0.0079,1004576400,0.4,rain,1000.93,MT,1004537036,1004573217,58.59,1004562000,41.54,1004594400,1004511600,9.88,241,16.34
0,2001-11-30 00:00:00,24.35,1007164800,12.02,1007175600,0.37,Judith Basin,17.5,0.68,1007103600Judith Basin,47.1005466,-110.1540506,0.49,,0,0,,0,,1008.14,MT,1007131611,1007163307,34.63,1007164800,21.67,1007172000,1007103600,9.68,233,7.6
0,2001-12-31 00:00:00,11.44,1009832400,-6.64,1009864800,0.69,Judith Basin,6.64,0.83,1009782000Judith Basin,47.1005466,-110.1540506,0.55,0.427,0.0009,0.0048,1009807200,0.2,snow,1029.11,MT,1009811284,1009842116,16.55,1009832400,1.86,1009864800,1009782000,7.62,101,0.43
0,2002-01-31 00:00:00,22.83,1012514400,5.49,1012460400,0.64,Judith Basin,13.69,0.65,1012460400Judith Basin,47.1005466,-110.1540506,0.61,,0,0,,0,,1021.5,MT,1012488487,1012522954,31.91,1012514400,17.11,1012460400,1012460400,9.98,231,11.93
0,2002-02-28 00:00:00,15.61,1014879600,-14.16,1014962400,0.82,Judith Basin,9.56,0.82,1014879600Judith Basin,47.1005466,-110.1540506,0.55,0.507,0.0014,0.0075,1014886800,0.38,snow,1022.4,MT,1014905015,1014944735,22.75,1014879600,-0.73,1014962400,1014879600,6.05,328,5.56
0,2002-03-31 00:00:00,55.88,1017615600,12.29,1017619200,0.32,Judith Basin,25.24,0.58,1017558000Judith Basin,47.1005466,-110.1540506,0.61,,0,0,,0,,1013.84,MT,1017579740,1017625761,55.88,1017615600,23.49,1017619200,1017558000,9.86,234,9.47
0,2002-04-30 00:00:00,45.37,1020211200,29.22,1020164400,0.55,Judith Basin,31.12,0.68,1020146400Judith Basin,47.1005466,-110.1540506,0.63,,0.0027,0.0137,1020204000,0.55,rain,1014.63,MT,1020168431,1020220248,48.44,1020211200,33.04,1020168000,1020146400,9.83,33,5.65
0,2002-05-31 00:00:00,76.22,1022886000,45.98,1022846400,0.12,Judith Basin,40.82,0.49,1022824800Judith Basin,47.1005466,-110.1540506,0.68,,0.0007,0.0154,1022824800,0.57,rain,1012.66,MT,1022844660,1022900917,76.22,1022886000,48.52,1022846400,1022824800,9.85,266,4.17
0,2002-06-30 00:00:00,79.95,1025478000,51.24,1025438400,0.11,Judith Basin,44.58,0.48,1025416800Judith Basin,47.1005466,-110.1540506,0.69,,0,0,,0,,1012.01,MT,1025436592,1025493665,81.04,1025478000,51.24,1025438400,1025416800,10,275,6.59
0,2002-07-31 00:00:00,75.34,1028145600,53.16,1028113200,0.1,Judith Basin,42.2,0.47,1028095200Judith Basin,47.1005466,-110.1540506,0.73,,0,0,,0,,1012.81,MT,1028116796,1028170588,75.34,1028145600,53.16,1028113200,1028095200,10,320,6.35
