,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,28.93,949363200,-0.08,949320000,0.7,Lake,13.52,0.79,949302000Lake,47.62692917,-114.1927916,0.85,0.214,0.0012,0.0281,949363200,0.64,snow,1024.06,MT,949331179,949365392,36.29,949363200,7.88,949302000,949302000,7.28,212,4.92
0,2000-02-29 00:00:00,41.2,951861600,24.72,951836400,0.65,Lake,27.4,0.74,951807600Lake,47.62692917,-114.1927916,0.83,,0.0004,0.0044,951865200,0.18,rain,1015.77,MT,951833959,951873717,43.82,951861600,27.67,951832800,951807600,9.19,171,2.29
0,2000-03-31 00:00:00,53.18,954543600,22.38,954504000,0.13,Lake,22.73,0.54,954486000Lake,47.62692917,-114.1927916,0.86,,0,0,,0,,1030.16,MT,954508621,954554799,53.18,954543600,27.54,954507600,954486000,9.81,273,5
0,2000-04-30 00:00:00,67.97,957139200,27.09,957099600,0.07,Lake,27.4,0.48,957074400Lake,47.62692917,-114.1927916,0.88,,0,0,,0,,1023.4,MT,957097268,957149342,67.97,957139200,32.17,957099600,957074400,10,208,6.52
0,2000-05-31 00:00:00,41.98,959806800,35.56,959781600,0.87,Lake,35.74,0.77,959752800Lake,47.62692917,-114.1927916,0.93,,0.0226,0.079,959752800,0.76,rain,1018.83,MT,959773479,959830045,45.8,959806800,37.66,959835600,959752800,8.18,20,5.34
0,2000-06-30 00:00:00,80.64,962402400,51.6,962362800,0.11,Lake,40.01,0.4,962344800Lake,47.62692917,-114.1927916,0.96,,0,0,,0,,1008.11,MT,962365441,962422766,82.92,962402400,51.6,962362800,962344800,10,233,4.56
0,2000-07-31 00:00:00,87.5,965084400,63.82,965044800,0.11,Lake,49.98,0.42,965023200Lake,47.62692917,-114.1927916,0.03,,0,0,,0,,1013.15,MT,965045704,965099615,90.22,965084400,63.82,965044800,965023200,9.97,22,2.2
0,2000-08-31 00:00:00,73.09,967762800,43.9,967730400,0.25,Lake,42.95,0.62,967701600Lake,47.62692917,-114.1927916,0.09,,0.0001,0.0022,967784400,0.06,rain,1006.73,MT,967726585,967774818,73.09,967762800,44.58,967726800,967701600,9.47,154,1.88
0,2000-09-30 00:00:00,58.06,970344000,47.09,970376400,0.87,Lake,47.22,0.77,970293600Lake,47.62692917,-114.1927916,0.1,,0.0166,0.068,970376400,0.75,rain,1008.48,MT,970320996,970363131,58.06,970344000,47.09,970376400,970293600,8.09,206,8.73
0,2000-10-31 00:00:00,33.96,973026000,21.43,972997200,0.84,Lake,29.04,0.81,972975600Lake,47.62692917,-114.1927916,0.15,,0.0005,0.0077,973058400,0.39,rain,1021.73,MT,973002100,973038091,40.12,973026000,29.67,972990000,972975600,7.29,215,5.91
0,2000-11-30 00:00:00,27.93,975621600,17.28,975578400,0.9,Lake,25.93,0.9,975567600Lake,47.62692917,-114.1927916,0.15,0.795,0.0029,0.0203,975567600,0.6,snow,1026.18,MT,975596717,975628151,34.37,975621600,24.54,975589200,975567600,5.76,277,3.64
0,2000-12-31 00:00:00,26.27,978300000,17.13,978253200,0.69,Lake,25.18,0.83,978246000Lake,47.62692917,-114.1927916,0.19,,0,0,,0,,1029.52,MT,978276380,978306973,35.16,978300000,22.12,978328800,978246000,6.44,237,8.86
0,2001-01-31 00:00:00,33.71,980978400,18.59,980953200,0.92,Lake,24.26,0.83,980924400Lake,47.62692917,-114.1927916,0.23,0.936,0.004,0.0131,980938800,0.54,snow,1026.14,MT,980953523,980987862,33.71,980978400,25.14,980946000,980924400,6.41,187,3.2
0,2001-02-28 00:00:00,28.5,983404800,-2.29,983368800,0.01,Lake,10.07,0.61,983343600Lake,47.62692917,-114.1927916,0.17,0.138,0.0008,0.0182,983397600,0.59,snow,1020.75,MT,983369988,983409693,34.79,983404800,10.91,983368800,983343600,9.58,220,9.41
0,2001-03-31 00:00:00,36.85,986083200,16.34,986029200,0.56,Lake,25.22,0.77,986022000Lake,47.62692917,-114.1927916,0.23,,0.0049,0.018,986079600,0.59,rain,1017.14,MT,986044652,986090777,42.62,986083200,24.35,986040000,986022000,8.01,216,6.88
0,2001-04-30 00:00:00,42.93,988653600,31.39,988689600,0.72,Lake,35.15,0.75,988610400Lake,47.62692917,-114.1927916,0.25,,0.0156,0.0517,988660800,0.72,rain,1011.71,MT,988633293,988685320,47.31,988653600,38,988628400,988610400,7.99,222,9.73
0,2001-05-31 00:00:00,79.2,991353600,41.09,991310400,0.13,Lake,39.95,0.5,991288800Lake,47.62692917,-114.1927916,0.32,,0,0,,0,,1019.24,MT,991309489,991366031,80.42,991353600,44.22,991310400,991288800,10,239,4.25
0,2001-06-30 00:00:00,79.38,993942000,52.23,993902400,0.16,Lake,51.47,0.63,993880800Lake,47.62692917,-114.1927916,0.34,,0,0,,0,,1015.31,MT,993901432,993958770,79.38,993942000,52.23,993902400,993880800,10,36,2.84
0,2001-07-31 00:00:00,71.23,996624000,50.96,996584400,0.72,Lake,49.89,0.81,996559200Lake,47.62692917,-114.1927916,0.39,,0.0179,0.0482,996577200,0.71,rain,1014.79,MT,996581685,996635636,71.23,996624000,50.96,996584400,996559200,8.59,261,2.2
0,2001-08-31 00:00:00,80.51,999298800,51.45,999262800,0.09,Lake,42.72,0.45,999237600Lake,47.62692917,-114.1927916,0.43,,0,0,,0,,1008.55,MT,999262565,999310849,82.58,999298800,51.45,999262800,999237600,10,228,6.69
0,2001-09-30 00:00:00,74.41,1001894400,34.8,1001858400,0,Lake,33.55,0.49,1001829600Lake,47.62692917,-114.1927916,0.44,,0,0,,0,,1022.73,MT,1001856974,1001899162,74.41,1001894400,38.03,1001858400,1001829600,9.94,173,2.33
0,2001-10-31 00:00:00,40.04,1004554800,30.84,1004590800,0.77,Lake,35.44,0.73,1004511600Lake,47.62692917,-114.1927916,0.48,,0.0114,0.0397,1004562000,0.69,rain,1004.73,MT,1004538076,1004574116,46.47,1004554800,37.97,1004587200,1004511600,8.47,227,8.61
0,2001-11-30 00:00:00,20.06,1007164800,15.09,1007114400,0.81,Lake,19.52,0.81,1007103600Lake,47.62692917,-114.1927916,0.49,0.751,0.0028,0.057,1007182800,0.73,snow,1009.7,MT,1007132698,1007164159,29.07,1007164800,21.41,1007128800,1007103600,8.03,182,4.02
0,2001-12-31 00:00:00,22.81,1009836000,4.67,1009810800,0.87,Lake,13.67,0.84,1009782000Lake,47.62692917,-114.1927916,0.55,0.026,0.0001,0.0014,1009861200,0.03,snow,1025.99,MT,1009812380,1009842959,26.43,1009836000,13.4,1009803600,1009782000,7.96,25,3.19
0,2002-01-31 00:00:00,25.81,1012521600,7.86,1012464000,0.9,Lake,22.03,0.83,1012460400Lake,47.62692917,-114.1927916,0.61,0.939,0.0032,0.0098,1012482000,0.51,snow,1023.42,MT,1012489542,1012523838,31.82,1012521600,22.36,1012464000,1012460400,6.21,225,9.57
0,2002-02-28 00:00:00,17.86,1014937200,5.11,1014890400,0.65,Lake,13.87,0.8,1014879600Lake,47.62692917,-114.1927916,0.55,0.467,0.0013,0.011,1014944400,0.52,snow,1023.35,MT,1014906018,1014945670,25.85,1014937200,11.52,1014962400,1014879600,8.11,346,5.13
0,2002-03-31 00:00:00,54.11,1017612000,25.61,1017583200,0.33,Lake,28.89,0.64,1017558000Lake,47.62692917,-114.1927916,0.61,,0,0,,0,,1015.98,MT,1017580684,1017626755,54.11,1017612000,33.32,1017576000,1017558000,9.69,225,7.88
0,2002-04-30 00:00:00,53.36,1020211200,32.06,1020171600,0.53,Lake,33.16,0.65,1020146400Lake,47.62692917,-114.1927916,0.63,,0.0012,0.0073,1020196800,0.36,rain,1012.29,MT,1020169318,1020221299,53.36,1020211200,36.2,1020171600,1020146400,9.91,22,6.51
