,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,54.35,1254441600,20.07,1254402000,0.04,alamosa,9.39,0.31,1254376800alamosa,37.568442,-105.788041,0.42,,0,0,,0,,1014.42,CO,1254402009,1254444458,54.35,1254441600,27.8,1254402000,1254376800,9.97,285,7.25
0,2009-10-02 00:00:00,57.39,1254520800,9.75,1254488400,0,alamosa,8.46,0.32,1254463200alamosa,37.568442,-105.788041,0.45,,0,0,,0,,1016.84,CO,1254488461,1254530766,57.39,1254520800,20.39,1254488400,1254463200,10,246,7.36
0,2009-10-03 00:00:00,60.99,1254603600,19.58,1254571200,0.07,alamosa,14.38,0.34,1254549600alamosa,37.568442,-105.788041,0.48,,0,0,,0,,1010.06,CO,1254574913,1254617075,60.99,1254603600,25.88,1254574800,1254549600,10,228,5.69
0,2009-10-04 00:00:00,59.57,1254690000,32.49,1254650400,0.41,alamosa,31.33,0.55,1254636000alamosa,37.568442,-105.788041,0.52,,0,0,,0,,1004.64,CO,1254661365,1254703385,59.57,1254690000,35.87,1254654000,1254636000,9.66,198,10.27
0,2009-10-05 00:00:00,55.96,1254769200,28.51,1254805200,0.35,alamosa,30.25,0.52,1254722400alamosa,37.568442,-105.788041,0.55,,0,0,,0,,1004.04,CO,1254747818,1254789695,55.96,1254769200,34.68,1254805200,1254722400,9.41,232,15.09
0,2009-10-06 00:00:00,56.02,1254866400,13.76,1254830400,0.03,alamosa,16.43,0.44,1254808800alamosa,37.568442,-105.788041,0.58,,0,0,,0,,1015.59,CO,1254834271,1254876005,56.02,1254866400,23.12,1254830400,1254808800,9.94,236,4.73
0,2009-10-07 00:00:00,54.55,1254952800,26.93,1254902400,0.56,alamosa,31.4,0.67,1254895200alamosa,37.568442,-105.788041,0.62,,0.0038,0.0191,1254924000,0.59,rain,1013.74,CO,1254920725,1254962316,54.55,1254952800,32.82,1254913200,1254895200,8.74,233,4.76
0,2009-10-08 00:00:00,51.55,1255046400,33.42,1255064400,0.65,alamosa,33.14,0.77,1254981600alamosa,37.568442,-105.788041,0.65,,0.001,0.0131,1255042800,0.54,rain,1010.95,CO,1255007179,1255048628,51.55,1255046400,33.42,1255064400,1254981600,7.53,244,3.69
0,2009-10-09 00:00:00,54.46,1255125600,18.42,1255093200,0.11,alamosa,23.17,0.58,1255068000alamosa,37.568442,-105.788041,0.69,,0,0,,0,,1016,CO,1255093633,1255134940,54.46,1255125600,25.2,1255086000,1255068000,9.15,248,7.47
0,2009-10-10 00:00:00,55.86,1255208400,23.28,1255179600,0.11,alamosa,19.02,0.43,1255154400alamosa,37.568442,-105.788041,0.73,,0,0,,0,,1014.34,CO,1255180088,1255221253,55.86,1255208400,27.72,1255179600,1255154400,9.71,232,9.3
0,2009-10-11 00:00:00,55.6,1255298400,24.4,1255262400,0.16,alamosa,20.91,0.46,1255240800alamosa,37.568442,-105.788041,0.76,,0,0,,0,,1010.71,CO,1255266543,1255307567,55.6,1255298400,28.89,1255266000,1255240800,9.54,233,9.61
0,2009-10-12 00:00:00,59.76,1255384800,22.14,1255352400,0.06,alamosa,22.22,0.44,1255327200alamosa,37.568442,-105.788041,0.8,,0,0,,0,,1011.76,CO,1255352998,1255393881,59.76,1255384800,30.76,1255352400,1255327200,9.86,217,8.65
0,2009-10-13 00:00:00,56.28,1255467600,32.54,1255496400,0.48,alamosa,33.91,0.66,1255413600alamosa,37.568442,-105.788041,0.84,,0.0095,0.0615,1255442400,0.73,rain,1013.06,CO,1255439454,1255480196,56.28,1255467600,38.29,1255417200,1255413600,8.79,229,6.85
0,2009-10-14 00:00:00,59.66,1255554000,29.24,1255507200,0.27,alamosa,32.74,0.59,1255500000alamosa,37.568442,-105.788041,0.88,,0,0,,0,,1013.77,CO,1255525910,1255566512,59.66,1255554000,36.48,1255507200,1255500000,9.35,244,9.2
0,2009-10-15 00:00:00,62.19,1255640400,27.31,1255611600,0.12,alamosa,30.32,0.57,1255586400alamosa,37.568442,-105.788041,0.91,,0,0,,0,,1018.79,CO,1255612366,1255652829,62.19,1255640400,32.85,1255611600,1255586400,9.74,315,4.75
0,2009-10-16 00:00:00,62.89,1255730400,22.63,1255694400,0.05,alamosa,27.85,0.55,1255672800alamosa,37.568442,-105.788041,0.95,,0,0,,0,,1023.56,CO,1255698823,1255739146,62.89,1255730400,29.1,1255698000,1255672800,9.95,297,2.39
