,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,53.11,1254441600,18.56,1254398400,0.05,archuleta,9.74,0.33,1254376800archuleta,37.202395,-107.050863,0.42,,0,0,,0,,1018.06,CO,1254402305,1254444768,53.11,1254441600,27.13,1254402000,1254376800,9.98,256,9.54
0,2009-10-02 00:00:00,56.86,1254528000,12.97,1254470400,0,archuleta,7.44,0.3,1254463200archuleta,37.202395,-107.050863,0.45,,0,0,,0,,1018.11,CO,1254488756,1254531077,56.86,1254528000,21.89,1254488400,1254463200,10,234,8.12
0,2009-10-03 00:00:00,60.33,1254607200,20.73,1254571200,0.12,archuleta,12.6,0.32,1254549600archuleta,37.202395,-107.050863,0.48,,0,0,,0,,1009.36,CO,1254575207,1254617387,60.33,1254607200,27.34,1254574800,1254549600,10,225,5.83
0,2009-10-04 00:00:00,57.32,1254682800,36.66,1254646800,0.76,archuleta,32.36,0.54,1254636000archuleta,37.202395,-107.050863,0.52,,0.0002,0.0026,1254690000,0.08,rain,1003.33,CO,1254661659,1254703698,57.32,1254682800,41.26,1254639600,1254636000,9.37,199,9.2
0,2009-10-05 00:00:00,51,1254787200,25.74,1254805200,0.55,archuleta,28.74,0.52,1254722400archuleta,37.202395,-107.050863,0.55,,0,0.0009,1254762000,0,,1006.48,CO,1254748111,1254790008,51,1254787200,33.38,1254805200,1254722400,9.42,230,13.98
0,2009-10-06 00:00:00,55.99,1254866400,11.74,1254830400,0.04,archuleta,12.09,0.38,1254808800archuleta,37.202395,-107.050863,0.58,,0,0,,0,,1016.67,CO,1254834563,1254876320,55.99,1254866400,22.53,1254830400,1254808800,9.88,230,5.7
0,2009-10-07 00:00:00,53.77,1254952800,27.85,1254913200,0.66,archuleta,32.48,0.7,1254895200archuleta,37.202395,-107.050863,0.62,,0.0095,0.0647,1254920400,0.74,rain,1013.32,CO,1254921016,1254962632,53.77,1254952800,33.6,1254895200,1254895200,8.28,233,5.42
0,2009-10-08 00:00:00,50.72,1255046400,31.07,1255060800,0.65,archuleta,33.82,0.77,1254981600archuleta,37.202395,-107.050863,0.65,,0.0005,0.0037,1255024800,0.14,rain,1011.28,CO,1255007468,1255048944,50.72,1255046400,35.04,1255060800,1254981600,8.25,248,5.91
0,2009-10-09 00:00:00,55.49,1255125600,18.45,1255082400,0.03,archuleta,23.11,0.57,1255068000archuleta,37.202395,-107.050863,0.69,,0,0,,0,,1016.26,CO,1255093922,1255135258,55.49,1255125600,26.56,1255093200,1255068000,9.78,240,7.51
