,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,64.07,1254430800,38.76,1254452400,0.02,baca,21.42,0.3,1254376800baca,37.306693,-102.537758,0.42,,0,0,,0,,1010.18,CO,1254401223,1254443684,64.07,1254430800,40.27,1254459600,1254376800,9.99,346,9.07
0,2009-10-02 00:00:00,66.9,1254520800,25.51,1254477600,0,baca,19.71,0.36,1254463200baca,37.306693,-102.537758,0.45,,0,0,,0,,1014.26,CO,1254487674,1254529993,66.9,1254520800,31.55,1254488400,1254463200,9.97,190,2.14
0,2009-10-03 00:00:00,66.45,1254607200,30.07,1254574800,0.07,baca,27.66,0.45,1254549600baca,37.306693,-102.537758,0.48,,0,0,,0,,1010.28,CO,1254574126,1254616303,66.45,1254607200,35.4,1254574800,1254549600,9.99,129,8.07
0,2009-10-04 00:00:00,77.3,1254700800,40.09,1254639600,0.69,baca,47.61,0.85,1254636000baca,37.306693,-102.537758,0.52,,0,0,,0,,1007.22,CO,1254660578,1254702613,77.3,1254700800,44.73,1254639600,1254636000,8.43,162,14.62
0,2009-10-05 00:00:00,80.3,1254776400,51.48,1254805200,0.35,baca,45.36,0.61,1254722400baca,37.306693,-102.537758,0.55,,0.0006,0.0066,1254722400,0.31,rain,1002.87,CO,1254747030,1254788923,82.66,1254776400,51.48,1254805200,1254722400,9.02,202,11.39
0,2009-10-06 00:00:00,59.43,1254866400,34.55,1254834000,0.1,baca,33.94,0.58,1254808800baca,37.306693,-102.537758,0.58,,0.0001,0.0019,1254873600,0.05,rain,1013.61,CO,1254833482,1254875234,59.43,1254866400,38.92,1254834000,1254808800,9.99,355,1.8
0,2009-10-07 00:00:00,64.46,1254952800,29.52,1254960000,0.4,baca,41.27,0.69,1254895200baca,37.306693,-102.537758,0.62,,0.0099,0.0855,1254942000,0.77,rain,1011.19,CO,1254919935,1254961546,64.46,1254952800,37.86,1254960000,1254895200,9.8,206,11.55
0,2009-10-08 00:00:00,55.76,1254996000,28.19,1255053600,0.8,baca,41.44,0.89,1254981600baca,37.306693,-102.537758,0.65,,0.002,0.011,1254999600,0.52,rain,1011.93,CO,1255006388,1255047858,55.76,1254996000,35.87,1255064400,1254981600,8.72,16,7.95
0,2009-10-09 00:00:00,57,1255125600,17.13,1255132800,0.51,baca,34.17,0.79,1255068000baca,37.306693,-102.537758,0.69,,0,0,,0,,1017.37,CO,1255092842,1255134171,57,1255125600,25.4,1255132800,1255068000,9.28,161,2.47
0,2009-10-10 00:00:00,32.24,1255219200,12.29,1255186800,0.84,baca,26.95,0.93,1255154400baca,37.306693,-102.537758,0.73,0.178,0.0007,0.0069,1255186800,0.33,snow,1022.15,CO,1255179296,1255220485,40.89,1255219200,24.52,1255233600,1255154400,6.29,61,7.43
0,2009-10-11 00:00:00,40.1,1255305600,16.9,1255255200,0.92,baca,30.88,0.95,1255240800baca,37.306693,-102.537758,0.76,,0,0,,0,,1017.96,CO,1255265750,1255306799,45.34,1255305600,25.08,1255251600,1255240800,5.49,166,8.92
0,2009-10-12 00:00:00,53.25,1255392000,25.04,1255356000,0.71,baca,37.74,0.89,1255327200baca,37.306693,-102.537758,0.8,,0.0011,0.0123,1255406400,0.53,rain,1014.57,CO,1255352205,1255393114,53.25,1255392000,32.37,1255352400,1255327200,7.44,58,4.7
0,2009-10-13 00:00:00,56.49,1255471200,39.02,1255417200,0.88,baca,47.42,0.96,1255413600baca,37.306693,-102.537758,0.84,,0.0083,0.0729,1255456800,0.75,rain,1014.37,CO,1255438660,1255479430,56.49,1255471200,44.58,1255420800,1255413600,4.38,127,9.17
0,2009-10-14 00:00:00,64.39,1255564800,38.16,1255525200,0.7,baca,45.43,0.9,1255500000baca,37.306693,-102.537758,0.88,,0.0009,0.0069,1255507200,0.33,rain,1012.11,CO,1255525115,1255565746,64.39,1255564800,42.35,1255514400,1255500000,5.53,146,3.47
0,2009-10-15 00:00:00,72.49,1255640400,40.1,1255608000,0.2,baca,41.87,0.65,1255586400baca,37.306693,-102.537758,0.91,,0,0,,0,,1015.41,CO,1255611571,1255652064,72.49,1255640400,43.13,1255611600,1255586400,8.82,347,2.27
0,2009-10-16 00:00:00,64.52,1255730400,42.03,1255698000,0.39,baca,42.79,0.71,1255672800baca,37.306693,-102.537758,0.95,,0,0,,0,,1022.55,CO,1255698027,1255738382,64.52,1255730400,43.87,1255698000,1255672800,9.28,44,1.75
0,2009-10-17 00:00:00,72.2,1255824000,37.81,1255780800,0.17,baca,38.46,0.61,1255759200baca,37.306693,-102.537758,0.98,,0,0,,0,,1025.38,CO,1255784484,1255824701,72.2,1255824000,37.81,1255780800,1255759200,9.96,177,5.27
0,2009-10-18 00:00:00,82.26,1255903200,41.7,1255870800,0,baca,36.65,0.44,1255845600baca,37.306693,-102.537758,0.03,,0,0,,0,,1012.96,CO,1255870941,1255911021,85.51,1255903200,46.14,1255870800,1255845600,9.99,224,8.23
0,2009-10-19 00:00:00,82.03,1255989600,51.58,1255935600,0.03,baca,35.49,0.37,1255932000baca,37.306693,-102.537758,0.06,,0,0.001,1255996800,0,,1005.62,CO,1255957399,1255997342,85.18,1255989600,51.58,1255935600,1255932000,9.96,272,6.4
0,2009-10-20 00:00:00,80.4,1256068800,25.97,1256083200,0.25,baca,35.31,0.47,1256018400baca,37.306693,-102.537758,0.09,,0.0101,0.1065,1256094000,0.79,rain,1004.1,CO,1256043856,1256083664,83.23,1256068800,36.54,1256083200,1256018400,9.53,255,3.32
0,2009-10-21 00:00:00,42.56,1256104800,25.3,1256184000,0.93,baca,37.23,0.89,1256104800baca,37.306693,-102.537758,0.12,,0.057,0.1837,1256115600,0.83,rain,1010.5,CO,1256130315,1256169987,48.04,1256104800,35.98,1256184000,1256104800,7.46,356,18.71
0,2009-10-22 00:00:00,47.51,1256256000,21.88,1256216400,0.63,baca,31.14,0.79,1256191200baca,37.306693,-102.537758,0.15,,0.0003,0.0059,1256191200,0.27,rain,1015.13,CO,1256216773,1256256311,49.1,1256256000,31.97,1256274000,1256191200,9.52,353,17.63
0,2009-10-23 00:00:00,56.43,1256331600,25.02,1256277600,0.15,baca,31.31,0.64,1256277600baca,37.306693,-102.537758,0.18,,0,0,,0,,1014.75,CO,1256303232,1256342636,56.43,1256331600,33.28,1256277600,1256277600,10,322,9.83
0,2009-10-24 00:00:00,64.43,1256421600,30.98,1256385600,0.08,baca,34.03,0.63,1256364000baca,37.306693,-102.537758,0.21,,0,0,,0,,1007.25,CO,1256389692,1256428962,64.43,1256421600,36.18,1256378400,1256364000,9.76,280,3.15
0,2009-10-25 00:00:00,47.94,1256450400,29.1,1256493600,0.71,baca,36.14,0.79,1256450400baca,37.306693,-102.537758,0.24,,0.0155,0.1222,1256486400,0.8,rain,1015.12,CO,1256476152,1256515289,47.94,1256450400,37.32,1256522400,1256450400,9.14,7,9.7
0,2009-10-26 00:00:00,54.42,1256601600,25.39,1256554800,0.25,baca,28.01,0.65,1256536800baca,37.306693,-102.537758,0.27,,0,0,,0,,1020.95,CO,1256562612,1256601618,54.42,1256601600,33.36,1256562000,1256536800,9.92,314,4.15
0,2009-10-27 00:00:00,61.58,1256680800,22.45,1256648400,0.04,baca,30.57,0.64,1256623200baca,37.306693,-102.537758,0.3,,0.0015,0.0368,1256688000,0.68,rain,1000.72,CO,1256649073,1256687948,61.58,1256680800,29.44,1256644800,1256623200,9.84,205,8.65
0,2009-10-28 00:00:00,40.04,1256760000,19.04,1256774400,0.55,baca,34.14,0.8,1256709600baca,37.306693,-102.537758,0.33,,0.0061,0.0256,1256770800,0.63,rain,997.84,CO,1256735534,1256774279,44.52,1256760000,31.28,1256774400,1256709600,8.84,346,8.34
0,2009-10-29 00:00:00,39.06,1256860800,15.07,1256878800,0.84,baca,29.13,0.84,1256796000baca,37.306693,-102.537758,0.36,,0.0039,0.0279,1256799600,0.64,rain,1005.19,CO,1256821995,1256860611,43.27,1256860800,28.26,1256878800,1256796000,8.34,338,14.76
0,2009-10-30 00:00:00,54.49,1256947200,14.2,1256896800,0.29,baca,23.4,0.61,1256882400baca,37.306693,-102.537758,0.39,,0,0.0008,1256918400,0,,1010.63,CO,1256908456,1256946944,54.49,1256947200,24.06,1256904000,1256882400,9.73,297,10.57
0,2009-10-31 00:00:00,67.85,1257022800,27.46,1256990400,0.04,baca,29.55,0.52,1256968800baca,37.306693,-102.537758,0.43,,0,0,,0,,1016.71,CO,1256994918,1257033279,67.85,1257022800,33.87,1256990400,1256968800,10,233,8.16
0,2009-11-01 00:00:00,70.29,1257109200,29.81,1257080400,0,baca,32.28,0.54,1257055200baca,37.306693,-102.537758,0.46,,0,0,,0,,1017.17,CO,1257081381,1257119615,70.29,1257109200,36.76,1257080400,1257055200,9.86,350,1.53
0,2009-11-02 00:00:00,58.75,1257195600,29.09,1257163200,0.01,baca,34.58,0.7,1257145200baca,37.306693,-102.537758,0.49,,0,0,,0,,1024.7,CO,1257167843,1257205953,58.75,1257195600,34.23,1257166800,1257145200,9.85,62,4.82
0,2009-11-03 00:00:00,70.52,1257285600,28.47,1257238800,0.15,baca,35.11,0.67,1257231600baca,37.306693,-102.537758,0.53,,0,0,,0,,1022.38,CO,1257254306,1257292292,70.52,1257285600,33.47,1257235200,1257231600,9.52,220,6.45
