,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,52.56,1254441600,25.48,1254394800,0.33,broomfield,12.81,0.31,1254376800broomfield,39.953302,-105.052038,0.42,,0.0009,0.0078,1254376800,0.39,rain,1012.04,CO,1254401879,1254444234,52.56,1254441600,33.22,1254459600,1254376800,9.61,294,12.65
0,2009-10-02 00:00:00,56.89,1254520800,25.14,1254488400,0.11,broomfield,14.36,0.37,1254463200broomfield,39.953302,-105.052038,0.45,,0,0,,0,,1015.26,CO,1254488338,1254530536,56.89,1254520800,27.4,1254481200,1254463200,9.86,131,0.5
0,2009-10-03 00:00:00,58.62,1254607200,24.83,1254567600,0.36,broomfield,18.88,0.4,1254549600broomfield,39.953302,-105.052038,0.48,,0.0002,0.0052,1254614400,0.22,rain,1010.45,CO,1254574796,1254616839,58.62,1254607200,29.4,1254567600,1254549600,9.68,236,1.35
0,2009-10-04 00:00:00,50.4,1254690000,32.06,1254646800,0.7,broomfield,32.21,0.67,1254636000broomfield,39.953302,-105.052038,0.52,,0.0031,0.0255,1254700800,0.63,rain,1006.91,CO,1254661255,1254703142,50.4,1254690000,36.63,1254646800,1254636000,8.87,21,0.41
0,2009-10-05 00:00:00,52.3,1254787200,29.17,1254801600,0.77,broomfield,35.77,0.77,1254722400broomfield,39.953302,-105.052038,0.55,,0.0046,0.0291,1254783600,0.65,rain,1004.98,CO,1254747714,1254789445,52.3,1254787200,33.32,1254805200,1254722400,7.59,309,2.09
0,2009-10-06 00:00:00,58.38,1254873600,22.93,1254826800,0.15,broomfield,24.75,0.59,1254808800broomfield,39.953302,-105.052038,0.58,,0,0,,0,,1014.96,CO,1254834174,1254875750,58.38,1254873600,28.45,1254826800,1254808800,9.78,170,3.09
0,2009-10-07 00:00:00,62.39,1254952800,28.6,1254902400,0.29,broomfield,25.1,0.45,1254895200broomfield,39.953302,-105.052038,0.62,,0.0002,0.0052,1254960000,0.22,rain,1009.57,CO,1254920634,1254962054,62.39,1254952800,32.6,1254960000,1254895200,9.67,272,2.18
0,2009-10-08 00:00:00,38.97,1255046400,24.29,1255064400,0.82,broomfield,28.52,0.82,1254981600broomfield,39.953302,-105.052038,0.65,,0.0032,0.0219,1255042800,0.61,rain,1015.46,CO,1255007094,1255048359,43.63,1255046400,29.85,1255064400,1254981600,6.5,16,4.19
0,2009-10-09 00:00:00,44.92,1255125600,12.41,1255150800,0.6,broomfield,25.68,0.74,1255068000broomfield,39.953302,-105.052038,0.69,0.526,0.0022,0.0111,1255143600,0.52,snow,1018.15,CO,1255093555,1255134665,47.04,1255125600,21.25,1255150800,1255068000,8.5,328,3.25
0,2009-10-10 00:00:00,28.34,1255219200,11.89,1255154400,0.92,broomfield,18.34,0.8,1255154400broomfield,39.953302,-105.052038,0.73,0.892,0.0025,0.0156,1255158000,0.56,snow,1024.24,CO,1255180016,1255220972,32.78,1255219200,20.03,1255179600,1255154400,7.09,275,1.63
0,2009-10-11 00:00:00,36.65,1255305600,19.32,1255248000,0.73,broomfield,22.14,0.75,1255240800broomfield,39.953302,-105.052038,0.76,,0,0,,0,,1017.07,CO,1255266477,1255307279,39.91,1255305600,25.34,1255258800,1255240800,8.7,220,2.81
0,2009-10-12 00:00:00,46.85,1255384800,20.56,1255348800,0.69,broomfield,27.3,0.74,1255327200broomfield,39.953302,-105.052038,0.8,,0.0003,0.0037,1255338000,0.14,rain,1015.86,CO,1255352939,1255393587,46.85,1255384800,28.5,1255348800,1255327200,7.04,260,1.97
0,2009-10-13 00:00:00,58.6,1255478400,27.66,1255413600,0.68,broomfield,31.83,0.76,1255413600broomfield,39.953302,-105.052038,0.84,,0.0002,0.0026,1255478400,0.08,rain,1015.36,CO,1255439401,1255479896,58.6,1255478400,33.06,1255413600,1255413600,6.88,275,2.23
0,2009-10-14 00:00:00,61.54,1255557600,30.54,1255521600,0.6,broomfield,33.95,0.67,1255500000broomfield,39.953302,-105.052038,0.88,,0.0038,0.0192,1255536000,0.59,rain,1012.11,CO,1255525863,1255566205,61.54,1255557600,36.7,1255503600,1255500000,6.43,276,7.05
0,2009-10-15 00:00:00,61.13,1255644000,35.63,1255604400,0.36,broomfield,29.37,0.48,1255586400broomfield,39.953302,-105.052038,0.91,,0.0025,0.0336,1255604400,0.66,rain,1016.76,CO,1255612326,1255652516,61.13,1255644000,39.53,1255669200,1255586400,9.15,299,7.59
0,2009-10-16 00:00:00,59.82,1255737600,30.44,1255694400,0.25,broomfield,29.05,0.58,1255672800broomfield,39.953302,-105.052038,0.95,,0,0,,0,,1024.64,CO,1255698789,1255738827,59.82,1255737600,33.78,1255687200,1255672800,9.52,336,0.92
0,2009-10-17 00:00:00,67.68,1255824000,27.13,1255773600,0.11,broomfield,25,0.48,1255759200broomfield,39.953302,-105.052038,0.98,,0,0,,0,,1024.93,CO,1255785253,1255825139,67.68,1255824000,30.6,1255777200,1255759200,9.76,221,2.91
0,2009-10-18 00:00:00,75.96,1255896000,35.49,1255860000,0.21,broomfield,23.51,0.31,1255845600broomfield,39.953302,-105.052038,0.03,,0,0,,0,,1012.99,CO,1255871717,1255911452,75.96,1255896000,41.49,1255856400,1255845600,9.9,261,8.78
