,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,41.66,1254441600,9.25,1254402000,0.35,chaffee,11.42,0.46,1254376800chaffee,38.738224,-106.316685,0.42,0.054,0.0002,0.003,1254405600,0.1,snow,1015.27,CO,1254402158,1254444562,45.81,1254441600,22.34,1254398400,1254376800,9.34,272,16.45
0,2009-10-02 00:00:00,51.1,1254528000,11.85,1254484800,0.03,chaffee,6.61,0.31,1254463200chaffee,38.738224,-106.316685,0.45,,0,0,,0,,1015.82,CO,1254488613,1254530867,51.1,1254528000,24.71,1254484800,1254463200,9.98,269,11.15
0,2009-10-03 00:00:00,54.31,1254607200,21.02,1254571200,0.26,chaffee,12.5,0.33,1254549600chaffee,38.738224,-106.316685,0.48,,0,0,,0,,1007.53,CO,1254575069,1254617173,54.31,1254607200,29.75,1254571200,1254549600,9.96,226,5.19
0,2009-10-04 00:00:00,50.55,1254690000,27.92,1254700800,0.79,chaffee,30.72,0.65,1254636000chaffee,38.738224,-106.316685,0.52,,0,0,,0,,1001.68,CO,1254661524,1254703480,50.55,1254690000,34.06,1254700800,1254636000,9.47,188,7.94
0,2009-10-05 00:00:00,36.84,1254722400,22.12,1254798000,0.81,chaffee,28.04,0.68,1254722400chaffee,38.738224,-106.316685,0.55,,0.0011,0.009,1254776400,0.48,rain,1003.07,CO,1254747980,1254789786,44.34,1254722400,28.71,1254805200,1254722400,7.69,242,7.91
0,2009-10-06 00:00:00,40.98,1254862800,14.43,1254830400,0.08,chaffee,14.36,0.46,1254808800chaffee,38.738224,-106.316685,0.58,,0.0002,0.006,1254873600,0.27,rain,1015.22,CO,1254834437,1254876094,46.17,1254862800,24.7,1254834000,1254808800,9.92,258,9.15
0,2009-10-07 00:00:00,51.73,1254949200,25.35,1254902400,0.38,chaffee,21.79,0.49,1254895200chaffee,38.738224,-106.316685,0.62,,0.0002,0.0021,1254960000,0.06,rain,1011.15,CO,1254920893,1254962402,51.73,1254949200,32.41,1254913200,1254895200,9.46,247,6.37
0,2009-10-08 00:00:00,39.71,1255028400,23.56,1255064400,0.52,chaffee,25.31,0.62,1254981600chaffee,38.738224,-106.316685,0.65,,0.0004,0.007,1255050000,0.34,rain,1009.56,CO,1255007350,1255048710,43.79,1255028400,31.28,1255064400,1254981600,8.49,266,7.44
0,2009-10-09 00:00:00,38.58,1255125600,16.41,1255096800,0.15,chaffee,17.82,0.5,1255068000chaffee,38.738224,-106.316685,0.69,,0,0,,0,,1014.5,CO,1255093807,1255135019,46.01,1255125600,26.57,1255093200,1255068000,9.45,276,12.01
