,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,53.28,1254441600,22.57,1254402000,0.02,costilla,10.21,0.3,1254376800costilla,37.277547,-105.42894,0.42,,0,0,,0,,1012.52,CO,1254401917,1254444377,53.28,1254441600,30.38,1254402000,1254376800,9.99,273,7.96
0,2009-10-02 00:00:00,57.62,1254520800,12.52,1254488400,0,costilla,9.68,0.32,1254463200costilla,37.277547,-105.42894,0.45,,0,0,,0,,1015.51,CO,1254488368,1254530687,57.62,1254520800,22.54,1254488400,1254463200,10,243,6.4
0,2009-10-03 00:00:00,59.86,1254600000,23.66,1254571200,0.06,costilla,15.89,0.35,1254549600costilla,37.277547,-105.42894,0.48,,0,0,,0,,1009.65,CO,1254574819,1254616996,59.86,1254600000,27.88,1254574800,1254549600,10,226,5.09
0,2009-10-04 00:00:00,59.07,1254686400,32.81,1254650400,0.36,costilla,32.45,0.57,1254636000costilla,37.277547,-105.42894,0.52,,0,0,,0,,1004.84,CO,1254661271,1254703307,59.07,1254686400,36.72,1254654000,1254636000,9.7,205,9.59
0,2009-10-05 00:00:00,58.74,1254776400,32.35,1254805200,0.38,costilla,32.15,0.53,1254722400costilla,37.277547,-105.42894,0.55,,0,0,,0,,1002.77,CO,1254747723,1254789617,58.74,1254776400,38.11,1254805200,1254722400,9.35,232,15.64
0,2009-10-06 00:00:00,56.16,1254866400,19.97,1254830400,0.05,costilla,19.34,0.45,1254808800costilla,37.277547,-105.42894,0.58,,0,0,,0,,1014.2,CO,1254834176,1254875929,56.16,1254866400,26.87,1254830400,1254808800,9.92,227,5.14
0,2009-10-07 00:00:00,56.34,1254952800,27.97,1254902400,0.58,costilla,34.58,0.7,1254895200costilla,37.277547,-105.42894,0.62,,0.0056,0.0168,1254924000,0.57,rain,1012.18,CO,1254920629,1254962240,56.34,1254952800,34.5,1254913200,1254895200,8.1,234,6.24
0,2009-10-08 00:00:00,46.54,1255046400,30.95,1255057200,0.67,costilla,33.92,0.81,1254981600costilla,37.277547,-105.42894,0.65,,0.0017,0.0125,1255042800,0.53,rain,1011.16,CO,1255007082,1255048553,49.92,1255046400,32.79,1255064400,1254981600,7.16,249,3.01
0,2009-10-09 00:00:00,53.91,1255125600,20.58,1255093200,0.15,costilla,25.39,0.62,1255068000costilla,37.277547,-105.42894,0.69,,0,0.001,1255093200,0,,1016.08,CO,1255093535,1255134866,53.91,1255125600,27.37,1255093200,1255068000,9.15,242,7.46
