,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,59.43,1254434400,32.73,1254398400,0.04,crowley,17.01,0.29,1254376800crowley,38.30618,-103.772736,0.42,,0,0,,0,,1013.05,CO,1254401539,1254443960,59.43,1254434400,37.58,1254459600,1254376800,10,326,9.26
0,2009-10-02 00:00:00,61.56,1254520800,27.87,1254488400,0.01,crowley,16.94,0.37,1254463200crowley,38.30618,-103.772736,0.45,,0,0,,0,,1017.02,CO,1254487993,1254530267,61.56,1254520800,27.87,1254488400,1254463200,9.99,126,1.55
0,2009-10-03 00:00:00,62.49,1254607200,29.67,1254574800,0.06,crowley,22.61,0.43,1254549600crowley,38.30618,-103.772736,0.48,,0,0,,0,,1013.07,CO,1254574447,1254616574,62.49,1254607200,29.67,1254574800,1254549600,9.93,150,6.29
0,2009-10-04 00:00:00,62.69,1254700800,35.57,1254643200,0.52,crowley,40.29,0.74,1254636000crowley,38.30618,-103.772736,0.52,,0.0002,0.0014,1254700800,0.03,rain,1009.05,CO,1254660902,1254702882,62.69,1254700800,39.42,1254650400,1254636000,8.88,141,7.72
0,2009-10-05 00:00:00,72.78,1254772800,38.15,1254805200,0.35,crowley,41.57,0.61,1254722400crowley,38.30618,-103.772736,0.55,,0.0005,0.0046,1254783600,0.19,rain,1004.32,CO,1254747356,1254789190,72.78,1254772800,43.65,1254805200,1254722400,8.64,222,4.54
0,2009-10-06 00:00:00,63.55,1254873600,33.03,1254830400,0.13,crowley,30.01,0.57,1254808800crowley,38.30618,-103.772736,0.58,,0.0004,0.0106,1254873600,0.51,rain,1016.15,CO,1254833811,1254875498,63.55,1254873600,33.03,1254830400,1254808800,9.98,160,2.5
0,2009-10-07 00:00:00,71.07,1254952800,29.34,1254913200,0.18,crowley,33.92,0.55,1254895200crowley,38.30618,-103.772736,0.62,,0.0023,0.031,1254956400,0.65,rain,1012.24,CO,1254920267,1254961807,71.07,1254952800,34.61,1254913200,1254895200,9.51,217,4.6
0,2009-10-08 00:00:00,51.22,1255046400,28.42,1255064400,0.75,crowley,33.87,0.8,1254981600crowley,38.30618,-103.772736,0.65,,0.0015,0.0101,1255042800,0.5,rain,1015.41,CO,1255006723,1255048117,51.22,1255046400,33.21,1255064400,1254981600,8.2,36,6.28
0,2009-10-09 00:00:00,54.22,1255129200,16.81,1255132800,0.52,crowley,31.53,0.78,1255068000crowley,38.30618,-103.772736,0.69,,0.0001,0.0012,1255093200,0.02,rain,1019.8,CO,1255093179,1255134427,54.22,1255129200,23.96,1255132800,1255068000,8.31,144,2.44
0,2009-10-10 00:00:00,28.62,1255219200,12.38,1255172400,0.85,crowley,21.19,0.86,1255154400crowley,38.30618,-103.772736,0.73,,0,0,,0,,1025.42,CO,1255179635,1255220738,32.79,1255219200,21.94,1255179600,1255154400,6.99,77,5.71
0,2009-10-11 00:00:00,38.05,1255305600,14.17,1255244400,0.81,crowley,25.12,0.88,1255240800crowley,38.30618,-103.772736,0.76,,0,0,,0,,1019.92,CO,1255266092,1255307050,41.66,1255305600,23.05,1255251600,1255240800,6.53,141,5.29
0,2009-10-12 00:00:00,44.63,1255392000,22.65,1255345200,0.63,crowley,30.85,0.83,1255327200crowley,38.30618,-103.772736,0.8,,0.0001,0.001,1255406400,0.01,rain,1018.4,CO,1255352549,1255393362,47.74,1255392000,28.12,1255352400,1255327200,7.6,126,2.45
0,2009-10-13 00:00:00,59.04,1255478400,30.59,1255435200,0.78,crowley,38.85,0.88,1255413600crowley,38.30618,-103.772736,0.84,,0.0027,0.0136,1255442400,0.55,rain,1017.94,CO,1255439007,1255479675,59.04,1255478400,36.53,1255417200,1255413600,5.52,137,5.22
0,2009-10-14 00:00:00,64.95,1255557600,36.18,1255514400,0.51,crowley,39.77,0.76,1255500000crowley,38.30618,-103.772736,0.88,,0.0003,0.0036,1255500000,0.13,rain,1014.36,CO,1255525465,1255565989,64.95,1255557600,39.38,1255525200,1255500000,6.35,211,1.09
0,2009-10-15 00:00:00,68.72,1255644000,36.51,1255608000,0.23,crowley,35.41,0.57,1255586400crowley,38.30618,-103.772736,0.91,,0,0,,0,,1018.27,CO,1255611923,1255652304,68.72,1255644000,39.64,1255608000,1255586400,9.28,351,4
0,2009-10-16 00:00:00,63.07,1255730400,31.73,1255698000,0.17,crowley,35.1,0.62,1255672800crowley,38.30618,-103.772736,0.95,,0,0,,0,,1025.88,CO,1255698382,1255738620,63.07,1255730400,35.07,1255698000,1255672800,9.88,31,1.72
0,2009-10-17 00:00:00,71.76,1255824000,33.01,1255780800,0.08,crowley,33.12,0.57,1255759200crowley,38.30618,-103.772736,0.98,,0,0,,0,,1027.62,CO,1255784841,1255824936,71.76,1255824000,33.01,1255780800,1255759200,9.9,185,3.78
0,2009-10-18 00:00:00,80.08,1255899600,36.64,1255867200,0,crowley,28.62,0.4,1255845600crowley,38.30618,-103.772736,0.03,,0,0,,0,,1015.34,CO,1255871301,1255911254,83.19,1255899600,40.11,1255867200,1255845600,9.99,280,5.07
