,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,52.38,1254441600,21.8,1254402000,0.08,custer,12.03,0.32,1254376800custer,38.101994,-105.373515,0.42,,0,0,,0,,1013.65,CO,1254401919,1254444348,52.38,1254441600,31.52,1254402000,1254376800,9.95,287,10.61
0,2009-10-02 00:00:00,56.1,1254520800,16.38,1254484800,0.01,custer,11.01,0.33,1254463200custer,38.101994,-105.373515,0.45,,0,0,,0,,1017.59,CO,1254488373,1254530655,56.1,1254520800,24.91,1254484800,1254463200,10,250,5.7
0,2009-10-03 00:00:00,58.1,1254603600,24.69,1254571200,0.11,custer,16.94,0.36,1254549600custer,38.101994,-105.373515,0.48,,0,0,,0,,1012.88,CO,1254574826,1254616963,58.1,1254603600,29.05,1254574800,1254549600,9.96,201,4.69
0,2009-10-04 00:00:00,55.88,1254693600,34.08,1254661200,0.53,custer,33.7,0.64,1254636000custer,38.101994,-105.373515,0.52,,0,0,,0,,1008.62,CO,1254661280,1254703271,55.88,1254693600,36.1,1254650400,1254636000,9.56,187,6.55
0,2009-10-05 00:00:00,57.68,1254769200,32.42,1254805200,0.48,custer,33.69,0.6,1254722400custer,38.101994,-105.373515,0.55,,0.0002,0.0021,1254790800,0.05,rain,1004.58,CO,1254747735,1254789580,57.68,1254769200,36.23,1254805200,1254722400,8.52,235,8.76
0,2009-10-06 00:00:00,55.3,1254873600,20.16,1254830400,0.09,custer,21.23,0.5,1254808800custer,38.101994,-105.373515,0.58,,0,0,,0,,1016.47,CO,1254834189,1254875889,55.3,1254873600,26.94,1254830400,1254808800,9.96,226,4.66
0,2009-10-07 00:00:00,59.68,1254949200,27.04,1254913200,0.36,custer,28.96,0.54,1254895200custer,38.101994,-105.373515,0.62,,0.0012,0.019,1254956400,0.59,rain,1012.97,CO,1254920644,1254962198,59.68,1254949200,32.73,1254913200,1254895200,9.1,236,5.51
0,2009-10-08 00:00:00,44.98,1255046400,27.76,1255064400,0.66,custer,30.74,0.74,1254981600custer,38.101994,-105.373515,0.65,,0.0012,0.0086,1255042800,0.45,rain,1014.73,CO,1255007099,1255048509,47.96,1255046400,32.15,1255064400,1254981600,7.67,295,1.94
0,2009-10-09 00:00:00,51.04,1255125600,20.95,1255093200,0.26,custer,25.73,0.66,1255068000custer,38.101994,-105.373515,0.69,,0.0002,0.002,1255093200,0.05,rain,1019.86,CO,1255093555,1255134819,51.04,1255125600,28.07,1255086000,1255068000,8.33,262,5.82
