,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,57.03,1254441600,22.02,1254402000,0.05,dolores,9.38,0.29,1254376800dolores,37.747602,-108.530383,0.42,,0,0,,0,,1019.85,CO,1254402671,1254445112,57.03,1254441600,30.03,1254402000,1254376800,10,280,6.17
0,2009-10-02 00:00:00,61.57,1254528000,23.39,1254481200,0,dolores,10.04,0.29,1254463200dolores,37.747602,-108.530383,0.45,,0,0,,0,,1017.7,CO,1254489123,1254531420,61.57,1254528000,26.82,1254488400,1254463200,10,202,2.01
0,2009-10-03 00:00:00,64,1254607200,32.27,1254574800,0.12,dolores,15.95,0.3,1254549600dolores,37.747602,-108.530383,0.48,,0,0,,0,,1007.54,CO,1254575576,1254617729,64,1254607200,32.27,1254574800,1254549600,9.98,189,3.38
0,2009-10-04 00:00:00,61.75,1254682800,44.47,1254664800,0.6,dolores,33.31,0.45,1254636000dolores,37.747602,-108.530383,0.52,,0.0005,0.004,1254693600,0.15,rain,1000.26,CO,1254662029,1254704038,61.75,1254682800,47.49,1254657600,1254636000,9.62,188,10.87
0,2009-10-05 00:00:00,54.58,1254787200,34.88,1254801600,0.5,dolores,23.92,0.4,1254722400dolores,37.747602,-108.530383,0.55,,0.0001,0.0018,1254762000,0.04,rain,1006.48,CO,1254748482,1254790347,54.58,1254787200,37.01,1254805200,1254722400,9.78,242,8.26
0,2009-10-06 00:00:00,57.34,1254866400,24.17,1254837600,0.02,dolores,13.65,0.36,1254808800dolores,37.747602,-108.530383,0.58,,0,0,,0,,1016.66,CO,1254834936,1254876657,57.34,1254866400,26.34,1254834000,1254808800,9.96,188,1.06
0,2009-10-07 00:00:00,58.64,1254949200,33.04,1254902400,0.43,dolores,29.41,0.53,1254895200dolores,37.747602,-108.530383,0.62,,0.0027,0.0177,1254920400,0.58,rain,1012.61,CO,1254921390,1254962968,58.64,1254949200,36.59,1254920400,1254895200,9.32,215,1.75
0,2009-10-08 00:00:00,57.08,1255046400,36.98,1254996000,0.42,dolores,30.7,0.59,1254981600dolores,37.747602,-108.530383,0.65,,0.0002,0.0019,1255017600,0.05,rain,1011.06,CO,1255007844,1255049279,57.08,1255046400,37.85,1255006800,1254981600,9.46,272,3.14
0,2009-10-09 00:00:00,59.31,1255125600,26.44,1255093200,0.02,dolores,21.39,0.45,1255068000dolores,37.747602,-108.530383,0.69,,0,0,,0,,1015.78,CO,1255094299,1255135591,59.31,1255125600,29.62,1255093200,1255068000,9.92,232,3.21
0,2009-10-10 00:00:00,62.34,1255212000,29.34,1255172400,0.03,dolores,20.04,0.37,1255154400dolores,37.747602,-108.530383,0.73,,0,0,,0,,1012.25,CO,1255180754,1255221903,62.34,1255212000,32.96,1255179600,1255154400,9.97,215,3.08
0,2009-10-11 00:00:00,61.68,1255294800,36.03,1255266000,0.14,dolores,20.25,0.35,1255240800dolores,37.747602,-108.530383,0.76,,0,0,,0,,1007.94,CO,1255267209,1255308216,61.68,1255294800,36.03,1255266000,1255240800,9.97,222,4.74
0,2009-10-12 00:00:00,62.45,1255381200,34.37,1255352400,0.11,dolores,24.49,0.38,1255327200dolores,37.747602,-108.530383,0.8,,0,0,,0,,1009.61,CO,1255353665,1255394530,62.45,1255381200,38.53,1255352400,1255327200,10,202,3.22
0,2009-10-13 00:00:00,58.88,1255467600,40.96,1255438800,0.56,dolores,36.07,0.59,1255413600dolores,37.747602,-108.530383,0.84,,0.0061,0.0725,1255431600,0.75,rain,1010.67,CO,1255440121,1255480845,58.88,1255467600,43.92,1255442400,1255413600,9.28,199,4.4
0,2009-10-14 00:00:00,62.62,1255564800,40.77,1255521600,0.59,dolores,35.77,0.58,1255500000dolores,37.747602,-108.530383,0.88,,0,0,,0,,1014.94,CO,1255526578,1255567160,62.62,1255564800,44.5,1255525200,1255500000,9.93,213,3.83
0,2009-10-15 00:00:00,65.6,1255640400,37.61,1255604400,0.11,dolores,33.46,0.57,1255586400dolores,37.747602,-108.530383,0.91,,0.0001,0.0017,1255593600,0.04,rain,1019.61,CO,1255613035,1255653476,65.6,1255640400,38.38,1255611600,1255586400,9.99,297,1.83
0,2009-10-16 00:00:00,68.23,1255730400,34.11,1255698000,0,dolores,28.05,0.45,1255672800dolores,37.747602,-108.530383,0.95,,0,0,,0,,1021.94,CO,1255699492,1255739793,68.23,1255730400,36.55,1255698000,1255672800,9.95,73,1.06
0,2009-10-17 00:00:00,69.5,1255816800,34.17,1255784400,0,dolores,27.79,0.43,1255759200dolores,37.747602,-108.530383,0.98,,0,0,,0,,1022.84,CO,1255785950,1255826111,69.5,1255816800,37.41,1255784400,1255759200,9.98,124,2.24
0,2009-10-18 00:00:00,72.9,1255903200,34.26,1255867200,0.05,dolores,29.74,0.43,1255845600dolores,37.747602,-108.530383,0.03,,0,0,,0,,1018.52,CO,1255872408,1255912430,72.9,1255903200,38.81,1255867200,1255845600,10,131,1.81
0,2009-10-19 00:00:00,70.03,1255986000,46.56,1255996800,0.26,dolores,29.4,0.37,1255932000dolores,37.747602,-108.530383,0.06,,0.0003,0.0065,1255996800,0.31,rain,1009.72,CO,1255958867,1255998750,70.03,1255986000,48.76,1255996800,1255932000,9.96,185,3.61
0,2009-10-20 00:00:00,55.22,1256065200,40.78,1256094000,0.39,dolores,32.77,0.54,1256018400dolores,37.747602,-108.530383,0.09,,0.0033,0.0193,1256076000,0.59,rain,1006.66,CO,1256045326,1256085071,55.22,1256065200,41.78,1256101200,1256018400,9.74,126,1.8
0,2009-10-21 00:00:00,51.61,1256158800,36.33,1256133600,0.63,dolores,34.78,0.7,1256104800dolores,37.747602,-108.530383,0.12,,0.0026,0.0137,1256119200,0.55,rain,1010.34,CO,1256131785,1256171393,51.61,1256158800,40.13,1256187600,1256104800,9.69,353,4.2
0,2009-10-22 00:00:00,52.77,1256248800,28.92,1256216400,0.25,dolores,28.45,0.61,1256191200dolores,37.747602,-108.530383,0.15,,0.0001,0.0018,1256191200,0.04,rain,1014.58,CO,1256218245,1256257716,52.77,1256248800,33.03,1256216400,1256191200,9.63,337,2.08
0,2009-10-23 00:00:00,55.09,1256335200,25.82,1256306400,0.11,dolores,25.89,0.54,1256277600dolores,37.747602,-108.530383,0.18,,0,0.001,1256310000,0,,1016.84,CO,1256304705,1256344040,55.09,1256335200,31.97,1256302800,1256277600,10,305,1.12
0,2009-10-24 00:00:00,56.68,1256414400,31.17,1256385600,0.28,dolores,26.88,0.53,1256364000dolores,37.747602,-108.530383,0.21,,0.0003,0.0027,1256443200,0.08,rain,1013.03,CO,1256391166,1256430365,56.68,1256414400,34.6,1256382000,1256364000,9.99,279,2.82
0,2009-10-25 00:00:00,52.55,1256504400,27.35,1256479200,0.28,dolores,20.52,0.45,1256450400dolores,37.747602,-108.530383,0.24,,0,0,,0,,1014.53,CO,1256477626,1256516691,52.55,1256504400,34.33,1256479200,1256450400,9.94,324,4.68
0,2009-10-26 00:00:00,46.81,1256594400,15.38,1256562000,0.04,dolores,10.77,0.39,1256536800dolores,37.747602,-108.530383,0.27,,0,0,,0,,1021.51,CO,1256564088,1256603018,48.85,1256594400,23.14,1256562000,1256536800,9.99,64,0.88
0,2009-10-27 00:00:00,43.9,1256677200,22.52,1256630400,0.41,dolores,17.88,0.51,1256623200dolores,37.747602,-108.530383,0.3,0.585,0.0029,0.0238,1256706000,0.62,snow,1004.28,CO,1256650549,1256689347,45.48,1256677200,28.52,1256634000,1256623200,9.32,171,1.78
0,2009-10-28 00:00:00,25.82,1256763600,19.68,1256738400,0.92,dolores,22.85,0.85,1256709600dolores,37.747602,-108.530383,0.33,2.014,0.0082,0.0243,1256770800,0.62,snow,998.63,CO,1256737012,1256775677,29.99,1256763600,22.19,1256792400,1256709600,6.19,240,1.87
0,2009-10-29 00:00:00,31.58,1256860800,12.65,1256828400,0.64,dolores,16.9,0.73,1256796000dolores,37.747602,-108.530383,0.36,0.528,0.0021,0.011,1256839200,0.52,snow,1010.46,CO,1256823474,1256862008,35.72,1256860800,20.36,1256821200,1256796000,8.65,319,3.7
0,2009-10-30 00:00:00,44.02,1256947200,11.11,1256886000,0.23,dolores,16.68,0.64,1256882400dolores,37.747602,-108.530383,0.39,0.074,0.0003,0.0049,1256918400,0.21,snow,1020.01,CO,1256909937,1256948340,45.82,1256947200,17.93,1256900400,1256882400,9.93,311,2.82
0,2009-10-31 00:00:00,50.03,1257033600,19.87,1256994000,0,dolores,24.5,0.66,1256968800dolores,37.747602,-108.530383,0.43,,0,0,,0,,1026.19,CO,1256996400,1257034674,50.03,1257033600,24.24,1256994000,1256968800,10,121,1.2
0,2009-11-01 00:00:00,54.75,1257112800,23.22,1257080400,0,dolores,27.64,0.65,1257055200dolores,37.747602,-108.530383,0.46,,0,0,,0,,1025.1,CO,1257082863,1257121009,54.75,1257112800,27.07,1257080400,1257055200,10,154,1.13
0,2009-11-02 00:00:00,59.14,1257195600,26.41,1257170400,0,dolores,26.99,0.58,1257145200dolores,37.747602,-108.530383,0.49,,0,0,,0,,1026.3,CO,1257169327,1257207346,59.14,1257195600,29.88,1257166800,1257145200,10,182,1.93
0,2009-11-03 00:00:00,60.87,1257285600,27.23,1257253200,0,dolores,25.88,0.53,1257231600dolores,37.747602,-108.530383,0.53,,0,0,,0,,1026.23,CO,1257255790,1257293684,60.87,1257285600,31.33,1257246000,1257231600,10,166,1.88
0,2009-11-04 00:00:00,64.69,1257372000,28.63,1257339600,0,dolores,23.07,0.46,1257318000dolores,37.747602,-108.530383,0.57,,0,0,,0,,1026.19,CO,1257342254,1257380023,64.69,1257372000,32.21,1257339600,1257318000,10,151,2.19
0,2009-11-05 00:00:00,64.76,1257454800,31.03,1257418800,0.01,dolores,24.41,0.44,1257404400dolores,37.747602,-108.530383,0.6,,0,0,,0,,1023.73,CO,1257428719,1257466364,64.76,1257454800,33.99,1257426000,1257404400,9.98,147,2.16
0,2009-11-06 00:00:00,64.34,1257541200,32.19,1257516000,0.02,dolores,26.63,0.46,1257490800dolores,37.747602,-108.530383,0.64,,0,0,,0,,1017.63,CO,1257515183,1257552706,64.34,1257541200,36.12,1257512400,1257490800,9.99,194,3.36
0,2009-11-07 00:00:00,63.92,1257627600,32.97,1257598800,0.01,dolores,25.21,0.45,1257577200dolores,37.747602,-108.530383,0.68,,0,0,,0,,1013.51,CO,1257601648,1257639050,63.92,1257627600,36.16,1257598800,1257577200,9.99,188,1.56
0,2009-11-08 00:00:00,57.86,1257714000,30.97,1257688800,0.02,dolores,23.21,0.45,1257663600dolores,37.747602,-108.530383,0.72,,0,0,,0,,1015.71,CO,1257688113,1257725395,57.86,1257714000,33.95,1257688800,1257663600,10,186,1.09
0,2009-11-09 00:00:00,58.28,1257800400,28.57,1257775200,0.06,dolores,23.64,0.49,1257750000dolores,37.747602,-108.530383,0.75,,0,0,,0,,1022.44,CO,1257774577,1257811742,58.28,1257800400,31.42,1257771600,1257750000,10,180,1.99
0,2009-11-10 00:00:00,61.06,1257886800,27.84,1257858000,0.03,dolores,23.83,0.47,1257836400dolores,37.747602,-108.530383,0.79,,0,0,,0,,1024.66,CO,1257861042,1257898091,61.06,1257886800,31.49,1257858000,1257836400,10,129,2
0,2009-11-11 00:00:00,60.48,1257973200,31.91,1257937200,0.08,dolores,25.81,0.45,1257922800dolores,37.747602,-108.530383,0.83,,0,0,,0,,1020.32,CO,1257947507,1257984441,60.48,1257973200,37.71,1257933600,1257922800,9.99,118,2.74
0,2009-11-12 00:00:00,55.89,1258059600,36.05,1258070400,0.38,dolores,28.01,0.45,1258009200dolores,37.747602,-108.530383,0.86,,0.0001,0.0017,1258070400,0.04,rain,1008.04,CO,1258033972,1258070793,55.89,1258059600,39.16,1258070400,1258009200,9.94,185,6.38
0,2009-11-13 00:00:00,45.05,1258095600,31.56,1258156800,0.73,dolores,30.68,0.7,1258095600dolores,37.747602,-108.530383,0.9,,0.0073,0.0303,1258164000,0.65,rain,1004.78,CO,1258120437,1258157147,48.53,1258095600,31.56,1258156800,1258095600,8.72,222,4.9
0,2009-11-14 00:00:00,30.94,1258221600,22.19,1258257600,0.9,dolores,29.39,0.88,1258182000dolores,37.747602,-108.530383,0.93,,0.0104,0.0307,1258228800,0.65,rain,1011.19,CO,1258206902,1258243502,36.08,1258221600,27.62,1258261200,1258182000,7,238,2.32
0,2009-11-15 00:00:00,31.61,1258329600,12.73,1258286400,0.5,dolores,19.09,0.77,1258268400dolores,37.747602,-108.530383,0.97,1.01,0.0035,0.0149,1258272000,0.56,snow,1022.4,CO,1258293367,1258329859,31.61,1258329600,20.44,1258351200,1258268400,8.77,295,4.01
0,2009-11-16 00:00:00,34.01,1258416000,8.73,1258369200,0.02,dolores,15.73,0.68,1258354800dolores,37.747602,-108.530383,0.99,,0,0,,0,,1031.03,CO,1258379831,1258416218,36.96,1258416000,15.91,1258376400,1258354800,9.96,102,2.47
0,2009-11-17 00:00:00,39.83,1258495200,15.72,1258462800,0.02,dolores,20.34,0.68,1258441200dolores,37.747602,-108.530383,0.04,,0,0,,0,,1026.84,CO,1258466296,1258502579,42.52,1258495200,21.2,1258462800,1258441200,9.85,168,1.51
