,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,43.42,1254441600,14.85,1254394800,0.39,gilpin,12.37,0.42,1254376800gilpin,39.861156,-105.528878,0.42,0.412,0.002,0.0171,1254376800,0.58,snow,1012.53,CO,1254401992,1254444350,43.42,1254441600,25.92,1254394800,1254376800,9.2,299,14.56
0,2009-10-02 00:00:00,44.08,1254520800,11.2,1254481200,0.08,gilpin,12.53,0.42,1254463200gilpin,39.861156,-105.528878,0.45,,0,0,,0,,1015.12,CO,1254488450,1254530653,47.96,1254520800,23.04,1254481200,1254463200,9.78,290,6.55
0,2009-10-03 00:00:00,51.12,1254603600,18.94,1254564000,0.36,gilpin,17.15,0.44,1254549600gilpin,39.861156,-105.528878,0.48,,0.0005,0.0114,1254614400,0.52,rain,1009.75,CO,1254574908,1254616956,51.12,1254603600,26.65,1254564000,1254549600,9.67,249,3.37
0,2009-10-04 00:00:00,40.83,1254682800,27.96,1254650400,0.7,gilpin,29.23,0.7,1254636000gilpin,39.861156,-105.528878,0.52,,0.003,0.0313,1254704400,0.66,rain,1005.76,CO,1254661367,1254703259,45.75,1254682800,33.28,1254646800,1254636000,8.63,145,5.8
0,2009-10-05 00:00:00,41.92,1254787200,23.14,1254801600,0.78,gilpin,30.58,0.78,1254722400gilpin,39.861156,-105.528878,0.55,,0.0056,0.0186,1254783600,0.59,rain,1004.5,CO,1254747826,1254789563,43.4,1254787200,27.39,1254805200,1254722400,7,262,2.54
0,2009-10-06 00:00:00,50.18,1254873600,21.17,1254826800,0.13,gilpin,21.04,0.61,1254808800gilpin,39.861156,-105.528878,0.58,,0.0001,0.0023,1254873600,0.06,rain,1014.89,CO,1254834285,1254875867,50.18,1254873600,24.57,1254819600,1254808800,9.76,239,2.37
0,2009-10-07 00:00:00,55.34,1254945600,22.56,1254909600,0.26,gilpin,23.45,0.49,1254895200gilpin,39.861156,-105.528878,0.62,,0.0005,0.0114,1254960000,0.52,rain,1009.64,CO,1254920745,1254962172,55.34,1254945600,28.86,1254960000,1254895200,9.39,266,7.01
0,2009-10-08 00:00:00,33.03,1255046400,23.02,1255035600,0.75,gilpin,24.84,0.77,1254981600gilpin,39.861156,-105.528878,0.65,1.173,0.0057,0.0356,1255042800,0.67,snow,1013.98,CO,1255007205,1255048477,38.99,1255046400,29.03,1255064400,1254981600,6.97,319,3.99
0,2009-10-09 00:00:00,36.1,1255125600,13.67,1255150800,0.53,gilpin,21.54,0.69,1255068000gilpin,39.861156,-105.528878,0.69,0.513,0.0022,0.0171,1255143600,0.58,snow,1016.94,CO,1255093665,1255134784,41.5,1255125600,23.64,1255150800,1255068000,8.54,283,6.72
0,2009-10-10 00:00:00,26.8,1255219200,11.25,1255154400,0.78,gilpin,17.99,0.67,1255154400gilpin,39.861156,-105.528878,0.73,0.491,0.0017,0.0171,1255158000,0.58,snow,1021.1,CO,1255180126,1255221090,34.15,1255219200,22.61,1255154400,1255154400,7.78,275,9.5
0,2009-10-11 00:00:00,37.74,1255305600,21.58,1255266000,0.64,gilpin,21.69,0.66,1255240800gilpin,39.861156,-105.528878,0.76,,0,0,,0,,1014.69,CO,1255266587,1255307398,39.97,1255305600,28.19,1255258800,1255240800,9.16,249,7.47
0,2009-10-12 00:00:00,46.52,1255381200,19.94,1255348800,0.54,gilpin,24.35,0.62,1255327200gilpin,39.861156,-105.528878,0.8,,0.0005,0.0057,1255341600,0.26,rain,1014.18,CO,1255353048,1255393706,47.63,1255381200,30.22,1255330800,1255327200,8.07,259,6.56
0,2009-10-13 00:00:00,41.29,1255478400,25.99,1255413600,0.63,gilpin,28.54,0.7,1255413600gilpin,39.861156,-105.528878,0.84,,0.0008,0.0057,1255478400,0.26,rain,1014.22,CO,1255439510,1255480015,47.21,1255478400,32.72,1255424400,1255413600,7.95,255,4.74
0,2009-10-14 00:00:00,50.17,1255557600,28.94,1255521600,0.61,gilpin,32.24,0.69,1255500000gilpin,39.861156,-105.528878,0.88,,0.0086,0.0423,1255539600,0.69,rain,1011.99,CO,1255525972,1255566325,50.17,1255557600,35.56,1255500000,1255500000,7.05,278,11.68
0,2009-10-15 00:00:00,50.43,1255640400,28.14,1255604400,0.41,gilpin,28.74,0.6,1255586400gilpin,39.861156,-105.528878,0.91,,0.0058,0.0743,1255604400,0.75,rain,1017.03,CO,1255612435,1255652636,50.43,1255640400,35.96,1255669200,1255586400,8.21,301,11.5
0,2009-10-16 00:00:00,53.06,1255737600,22.18,1255694400,0.22,gilpin,26.55,0.62,1255672800gilpin,39.861156,-105.528878,0.95,,0,0,,0,,1024.33,CO,1255698898,1255738947,53.06,1255737600,31.18,1255687200,1255672800,9.34,311,6.9
0,2009-10-17 00:00:00,58.73,1255824000,24.76,1255766400,0.1,gilpin,23.63,0.5,1255759200gilpin,39.861156,-105.528878,0.98,,0,0,,0,,1024.68,CO,1255785361,1255825259,58.73,1255824000,28.84,1255777200,1255759200,9.78,277,4.08
0,2009-10-18 00:00:00,64.91,1255896000,30.68,1255860000,0.13,gilpin,23.37,0.37,1255845600gilpin,39.861156,-105.528878,0.03,,0,0,,0,,1013.53,CO,1255871825,1255911573,64.91,1255896000,39.63,1255856400,1255845600,9.93,281,11.66
0,2009-10-19 00:00:00,60.8,1255986000,32.81,1255996800,0.31,gilpin,25.8,0.43,1255932000gilpin,39.861156,-105.528878,0.06,,0,0,,0,,1007.51,CO,1255958289,1255997887,60.8,1255986000,38.02,1255996800,1255932000,9.57,243,5.14
0,2009-10-20 00:00:00,44.03,1256061600,26.57,1256083200,0.55,gilpin,28.03,0.66,1256018400gilpin,39.861156,-105.528878,0.09,,0.0012,0.0072,1256090400,0.35,rain,1008.96,CO,1256044754,1256084202,46.99,1256061600,33.68,1256083200,1256018400,8.24,345,2.07
0,2009-10-21 00:00:00,27.87,1256169600,20.65,1256187600,0.93,gilpin,28.34,0.85,1256104800gilpin,39.861156,-105.528878,0.12,1.685,0.009,0.0253,1256130000,0.63,snow,1016.94,CO,1256131219,1256170519,35.4,1256169600,28.92,1256187600,1256104800,4.21,351,8.85
0,2009-10-22 00:00:00,34.12,1256256000,16.15,1256209200,0.48,gilpin,23.47,0.74,1256191200gilpin,39.861156,-105.528878,0.15,0.291,0.0014,0.015,1256230800,0.56,snow,1017.49,CO,1256217684,1256256836,39.42,1256256000,22.81,1256209200,1256191200,8.48,328,7.34
0,2009-10-23 00:00:00,39.93,1256324400,20.34,1256288400,0.5,gilpin,25.07,0.64,1256277600gilpin,39.861156,-105.528878,0.18,,0.0014,0.0343,1256342400,0.67,rain,1015,CO,1256304149,1256343155,45.36,1256324400,30.28,1256295600,1256277600,9.24,300,9.36
0,2009-10-24 00:00:00,38.24,1256410800,18.25,1256428800,0.58,gilpin,25.6,0.62,1256364000gilpin,39.861156,-105.528878,0.21,,0.0046,0.0171,1256425200,0.58,rain,1007.12,CO,1256390616,1256429474,45.73,1256410800,27.4,1256428800,1256364000,7.76,297,14.42
0,2009-10-25 00:00:00,30.27,1256515200,10.44,1256533200,0.76,gilpin,21.87,0.76,1256450400gilpin,39.861156,-105.528878,0.24,1.55,0.007,0.0366,1256450400,0.67,snow,1018.09,CO,1256477082,1256515795,36.32,1256515200,18.22,1256533200,1256450400,7.61,333,9
0,2009-10-26 00:00:00,34.93,1256594400,7.73,1256554800,0.24,gilpin,13.52,0.59,1256536800gilpin,39.861156,-105.528878,0.27,,0.0018,0.04,1256601600,0.69,rain,1020.85,CO,1256563549,1256602117,40.4,1256594400,14.53,1256547600,1256536800,9.18,288,5.22
0,2009-10-27 00:00:00,40.22,1256670000,11.86,1256688000,0.61,gilpin,21.44,0.61,1256623200gilpin,39.861156,-105.528878,0.3,3.837,0.0177,0.1078,1256702400,0.79,snow,998.81,CO,1256650016,1256688440,44.15,1256670000,22.25,1256688000,1256623200,8.05,276,3.87
