,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,42.71,1254441600,16.11,1254394800,0.61,grand,17.12,0.53,1254376800grand,40.123205,-106.095935,0.42,0.252,0.0012,0.0099,1254376800,0.5,snow,1015.87,CO,1254402133,1254444481,44.3,1254441600,26.81,1254459600,1254376800,8.59,287,11.32
0,2009-10-02 00:00:00,49.17,1254528000,11.55,1254488400,0.09,grand,15.31,0.49,1254463200grand,40.123205,-106.095935,0.45,,0,0,,0,,1016.67,CO,1254488592,1254530783,49.17,1254528000,21.34,1254488400,1254463200,9.87,282,4.83
0,2009-10-03 00:00:00,54.74,1254603600,20.87,1254571200,0.43,grand,17.73,0.44,1254549600grand,40.123205,-106.095935,0.48,,0.0003,0.0066,1254614400,0.31,rain,1008.87,CO,1254575051,1254617085,54.74,1254603600,26.79,1254567600,1254549600,9.8,245,2.59
0,2009-10-04 00:00:00,50.58,1254690000,28.57,1254661200,0.7,grand,30.01,0.64,1254636000grand,40.123205,-106.095935,0.52,,0.0024,0.0184,1254704400,0.59,rain,1003.43,CO,1254661511,1254703387,50.58,1254690000,34.48,1254700800,1254636000,9.05,144,5.62
0,2009-10-05 00:00:00,42.25,1254787200,27.61,1254794400,0.84,grand,30.05,0.77,1254722400grand,40.123205,-106.095935,0.55,,0.0049,0.0148,1254783600,0.56,rain,1005.68,CO,1254747970,1254789690,44.2,1254787200,28.71,1254805200,1254722400,7.3,253,3.23
0,2009-10-06 00:00:00,50.44,1254873600,19.35,1254830400,0.18,grand,21.44,0.63,1254808800grand,40.123205,-106.095935,0.58,,0.0001,0.0031,1254873600,0.1,rain,1016.43,CO,1254834430,1254875994,50.44,1254873600,23.47,1254834000,1254808800,9.75,242,2.59
0,2009-10-07 00:00:00,55.42,1254945600,18.61,1254909600,0.3,grand,23.66,0.54,1254895200grand,40.123205,-106.095935,0.62,,0.0003,0.0066,1254960000,0.31,rain,1011.45,CO,1254920891,1254962298,55.42,1254945600,28.59,1254902400,1254895200,9.52,255,6.02
0,2009-10-08 00:00:00,36.47,1255046400,28.1,1255006800,0.74,grand,26.3,0.74,1254981600grand,40.123205,-106.095935,0.65,,0.0039,0.0236,1255042800,0.62,rain,1012.85,CO,1255007352,1255048603,42.32,1255046400,30.35,1255064400,1254981600,7.96,297,3.09
0,2009-10-09 00:00:00,38.83,1255125600,19.11,1255096800,0.65,grand,22.15,0.64,1255068000grand,40.123205,-106.095935,0.69,0.272,0.0014,0.0099,1255143600,0.5,snow,1015.82,CO,1255093813,1255134908,44.96,1255125600,26.3,1255093200,1255068000,8.8,269,7.42
0,2009-10-10 00:00:00,32.68,1255219200,19.6,1255183200,0.67,grand,20.51,0.59,1255154400grand,40.123205,-106.095935,0.73,0.197,0.001,0.0099,1255158000,0.5,snow,1016.29,CO,1255180274,1255221214,39.56,1255219200,28.49,1255183200,1255154400,8.52,276,8.32
0,2009-10-11 00:00:00,44.37,1255305600,25.81,1255269600,0.67,grand,23.54,0.61,1255240800grand,40.123205,-106.095935,0.76,,0.0001,0.0012,1255298400,0.02,rain,1010.53,CO,1255266736,1255307521,45.74,1255305600,30.57,1255262400,1255240800,9.32,240,6.64
0,2009-10-12 00:00:00,51.54,1255381200,26.8,1255348800,0.45,grand,23.69,0.52,1255327200grand,40.123205,-106.095935,0.8,,0.0003,0.0033,1255341600,0.11,rain,1011.39,CO,1255353198,1255393829,51.54,1255381200,33.38,1255348800,1255327200,8.94,249,6.29
0,2009-10-13 00:00:00,44.45,1255471200,30.11,1255424400,0.62,grand,28.67,0.63,1255413600grand,40.123205,-106.095935,0.84,,0.001,0.0073,1255453200,0.36,rain,1012.34,CO,1255439660,1255480137,48.63,1255471200,35.49,1255424400,1255413600,8.83,231,3.87
0,2009-10-14 00:00:00,44.99,1255557600,33.55,1255536000,0.75,grand,33.25,0.67,1255500000grand,40.123205,-106.095935,0.88,,0.007,0.0303,1255539600,0.65,rain,1012.49,CO,1255526123,1255566446,49.78,1255557600,39.92,1255536000,1255500000,7.75,263,9.21
0,2009-10-15 00:00:00,50.97,1255644000,30.29,1255669200,0.57,grand,31.43,0.66,1255586400grand,40.123205,-106.095935,0.91,,0.0047,0.0429,1255604400,0.69,rain,1018.83,CO,1255612587,1255652756,50.97,1255644000,36.81,1255669200,1255586400,8.37,292,8.61
