,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,41.25,1254441600,16.28,1254394800,0.63,jackson,20.23,0.6,1254376800jackson,40.663432,-106.329248,0.42,0.209,0.0011,0.0065,1254416400,0.31,snow,1017.75,CO,1254402201,1254444526,44.43,1254441600,28,1254394800,1254376800,8.16,278,12.79
0,2009-10-02 00:00:00,49.66,1254528000,14.93,1254488400,0.06,jackson,18.32,0.53,1254463200jackson,40.663432,-106.329248,0.45,,0,0,,0,,1017.98,CO,1254488661,1254530826,49.66,1254528000,23.17,1254488400,1254463200,9.95,280,5.78
0,2009-10-03 00:00:00,54.05,1254603600,22.33,1254571200,0.41,jackson,19.34,0.46,1254549600jackson,40.663432,-106.329248,0.48,,0.0008,0.0196,1254614400,0.6,rain,1010.39,CO,1254575122,1254617126,54.05,1254603600,26.96,1254567600,1254549600,9.89,205,1.82
0,2009-10-04 00:00:00,43.29,1254686400,29.01,1254661200,0.69,jackson,30.62,0.67,1254636000jackson,40.663432,-106.329248,0.52,,0.0058,0.0367,1254715200,0.67,rain,1004.61,CO,1254661582,1254703427,47.44,1254686400,35.16,1254700800,1254636000,8.95,129,6.61
0,2009-10-05 00:00:00,39.86,1254787200,24.79,1254805200,0.81,jackson,29.81,0.76,1254722400jackson,40.663432,-106.329248,0.55,,0.0036,0.0202,1254726000,0.6,rain,1008.15,CO,1254748044,1254789729,43.37,1254787200,29.08,1254805200,1254722400,7.53,256,5.54
0,2009-10-06 00:00:00,51.67,1254873600,17.6,1254830400,0.17,jackson,22.62,0.65,1254808800jackson,40.663432,-106.329248,0.58,,0,0,,0,,1017.7,CO,1254834505,1254876031,51.67,1254873600,24.32,1254834000,1254808800,9.76,254,5.57
0,2009-10-07 00:00:00,55.57,1254949200,19.41,1254909600,0.31,jackson,23.75,0.55,1254895200jackson,40.663432,-106.329248,0.62,,0.0002,0.0039,1254960000,0.15,rain,1012.45,CO,1254920967,1254962334,55.57,1254949200,28.42,1254916800,1254895200,9.73,244,6.55
0,2009-10-08 00:00:00,31.56,1255046400,24.39,1255064400,0.83,jackson,26.4,0.76,1254981600jackson,40.663432,-106.329248,0.65,,0.0032,0.0118,1255042800,0.53,rain,1014.58,CO,1255007429,1255048637,37.85,1255046400,30.21,1255010400,1254981600,7.98,273,2.79
0,2009-10-09 00:00:00,35.21,1255122000,19.87,1255093200,0.77,jackson,23.04,0.68,1255068000jackson,40.663432,-106.329248,0.69,0.794,0.0036,0.021,1255150800,0.6,snow,1017.21,CO,1255093892,1255134941,42.23,1255122000,27.45,1255093200,1255068000,8,262,7.74
