,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,48.76,1254441600,21.74,1254398400,0.28,jefferson,13.62,0.36,1254376800jefferson,39.579511,-105.245462,0.42,,0.0008,0.0063,1254376800,0.29,rain,1012.09,CO,1254401918,1254444288,48.76,1254441600,31.78,1254459600,1254376800,9.39,300,12.85
0,2009-10-02 00:00:00,52.8,1254520800,21.04,1254481200,0.09,jefferson,13.64,0.38,1254463200jefferson,39.579511,-105.245462,0.45,,0,0,,0,,1015.19,CO,1254488375,1254530591,52.8,1254520800,26.37,1254481200,1254463200,9.83,271,1.7
0,2009-10-03 00:00:00,55.38,1254607200,24.5,1254567600,0.31,jefferson,18.75,0.42,1254549600jefferson,39.579511,-105.245462,0.48,,0.0002,0.0042,1254614400,0.16,rain,1010.16,CO,1254574833,1254616895,55.38,1254607200,29.73,1254567600,1254549600,9.68,201,3.17
0,2009-10-04 00:00:00,46.22,1254690000,30.9,1254646800,0.68,jefferson,31.81,0.7,1254636000jefferson,39.579511,-105.245462,0.52,,0.002,0.0227,1254700800,0.61,rain,1006.43,CO,1254661291,1254703199,48.95,1254690000,35.94,1254646800,1254636000,8.72,155,3.57
0,2009-10-05 00:00:00,47.85,1254787200,28.49,1254805200,0.73,jefferson,34.62,0.78,1254722400jefferson,39.579511,-105.245462,0.55,,0.0047,0.0336,1254783600,0.66,rain,1004.3,CO,1254747749,1254789504,48.76,1254787200,32.41,1254805200,1254722400,7.07,276,1.64
0,2009-10-06 00:00:00,55.2,1254873600,23.08,1254826800,0.15,jefferson,23.96,0.6,1254808800jefferson,39.579511,-105.245462,0.58,,0.0001,0.0024,1254873600,0.07,rain,1014.79,CO,1254834208,1254875809,55.2,1254873600,28,1254830400,1254808800,9.77,188,2.87
0,2009-10-07 00:00:00,60.55,1254949200,29.3,1254913200,0.25,jefferson,25.22,0.46,1254895200jefferson,39.579511,-105.245462,0.62,,0.0002,0.0047,1254960000,0.19,rain,1009.7,CO,1254920667,1254962114,60.55,1254949200,30.77,1254960000,1254895200,9.58,247,3.25
0,2009-10-08 00:00:00,38.3,1255046400,24.06,1255064400,0.76,jefferson,27.47,0.8,1254981600jefferson,39.579511,-105.245462,0.65,0.52,0.0028,0.0168,1255042800,0.57,snow,1014.26,CO,1255007126,1255048421,41.91,1255046400,29.51,1255064400,1254981600,6.7,359,3.52
0,2009-10-09 00:00:00,43.14,1255125600,13.54,1255150800,0.52,jefferson,24.67,0.74,1255068000jefferson,39.579511,-105.245462,0.69,0.217,0.001,0.0063,1255143600,0.29,snow,1017.62,CO,1255093585,1255134728,45.31,1255125600,22.9,1255150800,1255068000,8.25,299,3.55
0,2009-10-10 00:00:00,26.78,1255219200,12.85,1255154400,0.83,jefferson,18.5,0.77,1255154400jefferson,39.579511,-105.245462,0.73,0.198,0.0006,0.0063,1255158000,0.29,snow,1022.57,CO,1255180045,1255221035,32.45,1255219200,21.67,1255179600,1255154400,7.14,261,3.31
0,2009-10-11 00:00:00,40.7,1255305600,18.13,1255244400,0.64,jefferson,21.36,0.72,1255240800jefferson,39.579511,-105.245462,0.76,,0,0,,0,,1016.32,CO,1255266505,1255307343,40.7,1255305600,24.98,1255258800,1255240800,8.81,226,4.61
