,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,57.71,1254441600,22.11,1254402000,0.02,la plata,7.41,0.26,1254376800la plata,37.287367,-107.839718,0.42,,0,0,,0,,1018.53,CO,1254402496,1254444955,57.71,1254441600,30.26,1254402000,1254376800,9.98,276,8.07
0,2009-10-02 00:00:00,60.82,1254528000,19.18,1254488400,0,la plata,8.76,0.29,1254463200la plata,37.287367,-107.839718,0.45,,0,0,,0,,1018.21,CO,1254488947,1254531264,60.82,1254528000,23.22,1254488400,1254463200,10,224,3.28
0,2009-10-03 00:00:00,63.44,1254607200,29.61,1254574800,0.16,la plata,14.52,0.31,1254549600la plata,37.287367,-107.839718,0.48,,0,0,,0,,1008.99,CO,1254575399,1254617574,63.44,1254607200,29.61,1254574800,1254549600,9.99,210,2.62
0,2009-10-04 00:00:00,61.57,1254682800,41.85,1254650400,0.63,la plata,31.79,0.45,1254636000la plata,37.287367,-107.839718,0.52,,0.0004,0.0053,1254690000,0.23,rain,1002.79,CO,1254661850,1254703884,61.57,1254682800,44.48,1254657600,1254636000,9.63,192,9.96
0,2009-10-05 00:00:00,55.49,1254787200,35.23,1254801600,0.49,la plata,26.09,0.43,1254722400la plata,37.287367,-107.839718,0.55,,0.0001,0.0013,1254762000,0.02,rain,1006.87,CO,1254748303,1254790195,55.49,1254787200,37.44,1254805200,1254722400,9.69,240,8.9
0,2009-10-06 00:00:00,57.95,1254866400,23.62,1254823200,0.03,la plata,11.79,0.35,1254808800la plata,37.287367,-107.839718,0.58,,0,0,,0,,1016.86,CO,1254834755,1254876506,57.95,1254866400,24.76,1254834000,1254808800,9.93,246,1.35
0,2009-10-07 00:00:00,57.64,1254956400,32.94,1254913200,0.52,la plata,31.46,0.6,1254895200la plata,37.287367,-107.839718,0.62,,0.0045,0.0356,1254920400,0.67,rain,1013.12,CO,1254921208,1254962818,57.64,1254956400,35.6,1254902400,1254895200,9.25,229,1.96
0,2009-10-08 00:00:00,56.24,1255046400,36.79,1254999600,0.5,la plata,32.09,0.64,1254981600la plata,37.287367,-107.839718,0.65,,0.0004,0.0042,1255032000,0.16,rain,1011.41,CO,1255007661,1255049130,56.24,1255046400,38.62,1255006800,1254981600,9.4,260,4.6
0,2009-10-09 00:00:00,59.08,1255125600,24.33,1255082400,0.01,la plata,21.78,0.49,1255068000la plata,37.287367,-107.839718,0.69,,0,0,,0,,1016.27,CO,1255094114,1255135443,59.08,1255125600,28,1255093200,1255068000,9.73,249,5.55
