,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,48.01,1254441600,22.65,1254394800,0.43,larimer,17.22,0.43,1254376800larimer,40.658093,-105.486764,0.42,,0.0007,0.006,1254376800,0.27,rain,1013.36,CO,1254401998,1254444324,48.01,1254441600,32.88,1254394800,1254376800,9.2,299,15.18
0,2009-10-02 00:00:00,52.61,1254520800,20.59,1254481200,0.07,larimer,16.63,0.43,1254463200larimer,40.658093,-105.486764,0.45,,0,0,,0,,1015.58,CO,1254488458,1254530624,52.61,1254520800,26.69,1254488400,1254463200,9.88,293,4.01
0,2009-10-03 00:00:00,55.81,1254603600,23.28,1254567600,0.34,larimer,19.34,0.44,1254549600larimer,40.658093,-105.486764,0.48,,0.0002,0.0057,1254614400,0.26,rain,1010.64,CO,1254574919,1254616925,55.81,1254603600,27.62,1254567600,1254549600,9.74,216,1.42
0,2009-10-04 00:00:00,39.79,1254686400,31.66,1254646800,0.7,larimer,31.01,0.71,1254636000larimer,40.658093,-105.486764,0.52,,0.0043,0.033,1254715200,0.66,rain,1007.16,CO,1254661380,1254703226,44.93,1254686400,35,1254650400,1254636000,8.43,126,5.26
0,2009-10-05 00:00:00,47.52,1254787200,27.79,1254801600,0.79,larimer,33.08,0.76,1254722400larimer,40.658093,-105.486764,0.55,,0.0038,0.0146,1254783600,0.56,rain,1006.15,CO,1254747841,1254789527,47.52,1254787200,32,1254805200,1254722400,7.7,286,3.31
0,2009-10-06 00:00:00,55.09,1254873600,22.42,1254830400,0.12,larimer,23.36,0.6,1254808800larimer,40.658093,-105.486764,0.58,,0,0,,0,,1015.19,CO,1254834303,1254875829,55.09,1254873600,26.61,1254834000,1254808800,9.78,243,3.47
0,2009-10-07 00:00:00,59.66,1254952800,24.64,1254909600,0.27,larimer,24.58,0.49,1254895200larimer,40.658093,-105.486764,0.62,,0.0002,0.004,1254960000,0.15,rain,1009.84,CO,1254920765,1254962132,59.66,1254952800,31.31,1254960000,1254895200,9.67,247,3.56
0,2009-10-08 00:00:00,31.53,1254981600,24.99,1255010400,0.88,larimer,26.79,0.8,1254981600larimer,40.658093,-105.486764,0.65,0.692,0.0037,0.0154,1255042800,0.56,snow,1015.61,CO,1255007227,1255048435,37.4,1254981600,29.88,1255010400,1254981600,7.19,10,2.51
0,2009-10-09 00:00:00,38.89,1255122000,12.45,1255143600,0.7,larimer,23.65,0.74,1255068000larimer,40.658093,-105.486764,0.69,1.354,0.0046,0.0273,1255150800,0.64,snow,1018.15,CO,1255093689,1255134739,42.61,1255122000,20.14,1255150800,1255068000,7.77,294,3.71
