,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,60.06,1254434400,34.73,1254402000,0.01,las animas,13.45,0.25,1254376800las animas,37.318831,-104.04411,0.42,,0,0,,0,,1011.87,CO,1254401585,1254444045,60.06,1254434400,37.15,1254459600,1254376800,10,317,7.37
0,2009-10-02 00:00:00,63.51,1254520800,24.43,1254477600,0,las animas,14.74,0.34,1254463200las animas,37.318831,-104.04411,0.45,,0,0,,0,,1015.44,CO,1254488036,1254530354,63.51,1254520800,26.33,1254488400,1254463200,10,174,1.81
0,2009-10-03 00:00:00,64.36,1254607200,25.77,1254574800,0.03,las animas,21.35,0.38,1254549600las animas,37.318831,-104.04411,0.48,,0,0,,0,,1010.89,CO,1254574488,1254616663,64.36,1254607200,30.28,1254574800,1254549600,9.98,159,3.36
0,2009-10-04 00:00:00,67.33,1254700800,36.78,1254661200,0.28,las animas,37.91,0.62,1254636000las animas,37.318831,-104.04411,0.52,,0,0,,0,,1006.66,CO,1254660940,1254702974,67.33,1254700800,39.75,1254654000,1254636000,9.62,176,7.47
0,2009-10-05 00:00:00,74.43,1254776400,41.9,1254805200,0.19,las animas,37.32,0.48,1254722400las animas,37.318831,-104.04411,0.55,,0.0001,0.0013,1254722400,0.02,rain,1002.7,CO,1254747392,1254789284,74.43,1254776400,45.77,1254805200,1254722400,9.36,228,11.12
0,2009-10-06 00:00:00,62.61,1254873600,34.21,1254834000,0.09,las animas,28.72,0.52,1254808800las animas,37.318831,-104.04411,0.58,,0.0002,0.0043,1254873600,0.17,rain,1014.38,CO,1254833845,1254875595,62.61,1254873600,34.21,1254834000,1254808800,9.98,186,2.05
0,2009-10-07 00:00:00,68.47,1254952800,30.92,1254960000,0.4,las animas,37.91,0.62,1254895200las animas,37.318831,-104.04411,0.62,,0.0036,0.0205,1254956400,0.6,rain,1011.61,CO,1254920297,1254961907,68.47,1254952800,36.17,1254960000,1254895200,9.36,236,6.72
0,2009-10-08 00:00:00,53.83,1255046400,31.71,1255042800,0.68,las animas,35.72,0.8,1254981600las animas,37.318831,-104.04411,0.65,,0.0022,0.0119,1255042800,0.53,rain,1012.97,CO,1255006751,1255048219,53.83,1255046400,33.56,1255064400,1254981600,8.13,32,3.8
0,2009-10-09 00:00:00,57.16,1255129200,25.5,1255132800,0.38,las animas,31.15,0.72,1255068000las animas,37.318831,-104.04411,0.69,,0,0,,0,,1017.59,CO,1255093204,1255134532,57.16,1255129200,30.93,1255132800,1255068000,8.2,181,2.38
