,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,56.15,1254441600,25.08,1254402000,0.28,mesa,16.92,0.39,1254376800mesa,39.019492,-108.461837,0.42,,0,0,,0,,1020.84,CO,1254402679,1254445070,56.15,1254441600,31.51,1254402000,1254376800,9.83,282,4.14
0,2009-10-02 00:00:00,62.04,1254528000,22.61,1254484800,0.03,mesa,15.23,0.36,1254463200mesa,39.019492,-108.461837,0.45,,0,0,,0,,1017.69,CO,1254489135,1254531375,62.04,1254528000,29.28,1254481200,1254463200,10,140,1.18
0,2009-10-03 00:00:00,65.06,1254603600,33.04,1254574800,0.17,mesa,18.71,0.32,1254549600mesa,39.019492,-108.461837,0.48,,0.0001,0.0017,1254614400,0.04,rain,1006.12,CO,1254575591,1254617680,65.06,1254603600,36.27,1254574800,1254549600,9.99,177,2.25
0,2009-10-04 00:00:00,63,1254693600,44.05,1254700800,0.62,mesa,35.89,0.48,1254636000mesa,39.019492,-108.461837,0.52,,0.0023,0.0114,1254675600,0.52,rain,997.83,CO,1254662047,1254703986,63,1254693600,49,1254700800,1254636000,9.86,173,8.49
0,2009-10-05 00:00:00,53.52,1254776400,37.83,1254805200,0.56,mesa,25.25,0.44,1254722400mesa,39.019492,-108.461837,0.55,,0.0002,0.0022,1254722400,0.06,rain,1006.53,CO,1254748504,1254790292,53.52,1254776400,37.83,1254805200,1254722400,9.81,280,6.43
0,2009-10-06 00:00:00,57.4,1254873600,23.93,1254830400,0.03,mesa,20.14,0.45,1254808800mesa,39.019492,-108.461837,0.58,,0,0,,0,,1017.45,CO,1254834961,1254876599,57.4,1254873600,28.38,1254834000,1254808800,9.98,174,1.23
0,2009-10-07 00:00:00,59.8,1254956400,30.17,1254920400,0.29,mesa,24.76,0.45,1254895200mesa,39.019492,-108.461837,0.62,,0,0,,0,,1013.01,CO,1254921419,1254962906,59.8,1254956400,32.98,1254920400,1254895200,9.92,155,1.26
0,2009-10-08 00:00:00,58.66,1255046400,35.04,1255006800,0.47,mesa,32.44,0.59,1254981600mesa,39.019492,-108.461837,0.65,,0.0006,0.0136,1255017600,0.55,rain,1010.33,CO,1255007876,1255049214,58.66,1255046400,39.03,1255064400,1254981600,9.78,10,0.14
0,2009-10-09 00:00:00,60.57,1255132800,26.26,1255093200,0.13,mesa,23.53,0.47,1255068000mesa,39.019492,-108.461837,0.69,,0,0,,0,,1014.89,CO,1255094334,1255135522,60.57,1255132800,31.83,1255093200,1255068000,9.98,219,2.2
