,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,46.64,1254441600,13.36,1254402000,0.09,mineral,9.11,0.36,1254376800mineral,37.651483,-106.932303,0.42,,0,0,,0,,1018.13,CO,1254402285,1254444731,49.83,1254441600,24.05,1254402000,1254376800,9.95,251,11.38
0,2009-10-02 00:00:00,53.42,1254528000,12.4,1254470400,0,mineral,7.17,0.29,1254463200mineral,37.651483,-106.932303,0.45,,0,0,,0,,1018.04,CO,1254488737,1254531039,53.42,1254528000,24.16,1254484800,1254463200,10,236,10.07
0,2009-10-03 00:00:00,57.44,1254607200,20.17,1254571200,0.11,mineral,13.11,0.32,1254549600mineral,37.651483,-106.932303,0.48,,0,0,,0,,1008.99,CO,1254575190,1254617348,57.44,1254607200,28.74,1254574800,1254549600,10,226,7.61
0,2009-10-04 00:00:00,56.74,1254682800,32.67,1254700800,0.76,mineral,32.54,0.6,1254636000mineral,37.651483,-106.932303,0.52,,0.0001,0.0014,1254690000,0.03,rain,1002.72,CO,1254661642,1254703657,56.74,1254682800,38.73,1254654000,1254636000,8.66,200,10.79
0,2009-10-05 00:00:00,40.23,1254722400,22.53,1254805200,0.64,mineral,28.43,0.59,1254722400mineral,37.651483,-106.932303,0.55,,0,0.0009,1254762000,0,,1006.06,CO,1254748095,1254789967,47.5,1254722400,31.19,1254805200,1254722400,8.83,231,15.66
0,2009-10-06 00:00:00,52.1,1254866400,10.6,1254830400,0.03,mineral,11.98,0.4,1254808800mineral,37.651483,-106.932303,0.58,,0,0,,0,,1016.81,CO,1254834549,1254876277,52.1,1254866400,22.91,1254830400,1254808800,9.86,233,7.84
0,2009-10-07 00:00:00,50.34,1254956400,25.23,1254913200,0.64,mineral,29.47,0.66,1254895200mineral,37.651483,-106.932303,0.62,,0.005,0.0343,1254920400,0.67,rain,1013.68,CO,1254921003,1254962588,50.34,1254956400,32.29,1254913200,1254895200,7.58,230,7.45
0,2009-10-08 00:00:00,41.6,1255046400,29.12,1255064400,0.65,mineral,31.61,0.74,1254981600mineral,37.651483,-106.932303,0.65,,0.0004,0.0027,1255042800,0.08,rain,1011.1,CO,1255007457,1255048899,47.63,1255046400,33.33,1255064400,1254981600,7.38,241,7.74
0,2009-10-09 00:00:00,52.09,1255125600,17.47,1255078800,0.03,mineral,21.82,0.56,1255068000mineral,37.651483,-106.932303,0.69,,0,0,,0,,1016.07,CO,1255093911,1255135211,52.09,1255125600,26.03,1255086000,1255068000,9.72,245,10.57
0,2009-10-10 00:00:00,54.46,1255212000,17.8,1255172400,0.03,mineral,17.91,0.41,1255154400mineral,37.651483,-106.932303,0.73,,0,0,,0,,1012.84,CO,1255180366,1255221524,54.46,1255212000,28.3,1255179600,1255154400,9.98,235,12.63
0,2009-10-11 00:00:00,53.66,1255298400,23.47,1255262400,0.17,mineral,18.41,0.4,1255240800mineral,37.651483,-106.932303,0.76,,0,0,,0,,1008.85,CO,1255266821,1255307837,53.66,1255298400,31.21,1255262400,1255240800,9.98,233,11.52
0,2009-10-12 00:00:00,56.18,1255384800,19.74,1255352400,0.07,mineral,21.42,0.44,1255327200mineral,37.651483,-106.932303,0.8,,0,0,,0,,1011.1,CO,1255353277,1255394151,56.18,1255384800,31.16,1255352400,1255327200,10,226,9.88
