,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,50.49,1254441600,19.27,1254394800,0.59,moffat,21.95,0.6,1254376800moffat,40.616358,-108.211099,0.42,,0.0002,0.0035,1254416400,0.12,rain,1021.45,CO,1254402652,1254444978,50.49,1254441600,28.11,1254402000,1254376800,8.86,256,8.23
0,2009-10-02 00:00:00,56.71,1254528000,18.6,1254488400,0.05,moffat,19.42,0.52,1254463200moffat,40.616358,-108.211099,0.45,,0,0,,0,,1019.37,CO,1254489112,1254531278,56.71,1254528000,24.54,1254488400,1254463200,10,236,2.49
0,2009-10-03 00:00:00,59.61,1254603600,27.75,1254560400,0.39,moffat,20.97,0.43,1254549600moffat,40.616358,-108.211099,0.48,,0.0005,0.0123,1254614400,0.53,rain,1008.17,CO,1254575572,1254617579,59.61,1254603600,30.22,1254574800,1254549600,9.99,166,1.65
0,2009-10-04 00:00:00,54.69,1254693600,37.29,1254661200,0.71,moffat,34.48,0.6,1254636000moffat,40.616358,-108.211099,0.52,,0.0069,0.0257,1254682800,0.63,rain,1000.18,CO,1254662033,1254703880,54.69,1254693600,39.15,1254700800,1254636000,9.51,119,4.57
0,2009-10-05 00:00:00,44.59,1254787200,31.2,1254751200,0.74,moffat,29.71,0.7,1254722400moffat,40.616358,-108.211099,0.55,,0.0024,0.0109,1254769200,0.52,rain,1009.03,CO,1254748494,1254790182,47.39,1254787200,32.46,1254805200,1254722400,8.81,263,4.94
0,2009-10-06 00:00:00,54.75,1254873600,19.3,1254830400,0.15,moffat,24.01,0.64,1254808800moffat,40.616358,-108.211099,0.58,,0,0,,0,,1019.66,CO,1254834956,1254876484,54.75,1254873600,25.36,1254834000,1254808800,9.92,243,4.18
0,2009-10-07 00:00:00,57.22,1254956400,23.05,1254920400,0.28,moffat,25.14,0.57,1254895200moffat,40.616358,-108.211099,0.62,,0,0,,0,,1014.62,CO,1254921417,1254962787,57.22,1254956400,27.12,1254920400,1254895200,9.91,223,3.46
0,2009-10-08 00:00:00,45.9,1255046400,30.52,1255064400,0.67,moffat,30.19,0.68,1254981600moffat,40.616358,-108.211099,0.65,,0.0004,0.0053,1255017600,0.23,rain,1012.44,CO,1255007879,1255049090,49.92,1255046400,34.04,1255006800,1254981600,9.42,280,1.69
0,2009-10-09 00:00:00,51.77,1255122000,25.01,1255093200,0.57,moffat,25.6,0.59,1255068000moffat,40.616358,-108.211099,0.69,,0,0,,0,,1015.76,CO,1255094342,1255135394,51.77,1255122000,29.59,1255093200,1255068000,9.52,257,6.26
0,2009-10-10 00:00:00,52.5,1255212000,30.38,1255183200,0.5,moffat,24.89,0.53,1255154400moffat,40.616358,-108.211099,0.73,,0.0001,0.0021,1255197600,0.06,rain,1013.28,CO,1255180805,1255221699,52.5,1255212000,30.38,1255183200,1255154400,9.69,270,2.76
0,2009-10-11 00:00:00,57.07,1255305600,33.28,1255266000,0.73,moffat,28.86,0.56,1255240800moffat,40.616358,-108.211099,0.76,,0.0014,0.0112,1255284000,0.52,rain,1007.15,CO,1255267268,1255308004,57.07,1255305600,36.65,1255262400,1255240800,9.51,229,2.84
0,2009-10-12 00:00:00,62.2,1255381200,37.33,1255352400,0.3,moffat,26.5,0.44,1255327200moffat,40.616358,-108.211099,0.8,,0,0,,0,,1007.87,CO,1255353731,1255394310,62.2,1255381200,37.33,1255352400,1255327200,9.95,234,4.99
0,2009-10-13 00:00:00,58.19,1255471200,41.18,1255424400,0.59,moffat,33.55,0.54,1255413600moffat,40.616358,-108.211099,0.84,,0.0002,0.0031,1255478400,0.1,rain,1008.46,CO,1255440195,1255480617,58.19,1255471200,44.23,1255413600,1255413600,9.87,198,5.53
0,2009-10-14 00:00:00,54.52,1255564800,43.41,1255582800,0.82,moffat,37.53,0.61,1255500000moffat,40.616358,-108.211099,0.88,,0.0023,0.0068,1255532400,0.33,rain,1011.81,CO,1255526660,1255566925,54.52,1255564800,45.27,1255582800,1255500000,9.19,232,7.35
0,2009-10-15 00:00:00,57.8,1255644000,37.81,1255611600,0.57,moffat,36.91,0.69,1255586400moffat,40.616358,-108.211099,0.91,,0.001,0.0102,1255590000,0.51,rain,1020.96,CO,1255613124,1255653234,57.8,1255644000,40.25,1255611600,1255586400,9.17,261,4.98
0,2009-10-16 00:00:00,62.02,1255737600,29.76,1255694400,0.1,moffat,31.06,0.6,1255672800moffat,40.616358,-108.211099,0.95,,0,0,,0,,1025.72,CO,1255699589,1255739543,62.02,1255737600,33.87,1255698000,1255672800,9.93,252,2.77
0,2009-10-17 00:00:00,65.66,1255816800,26.17,1255784400,0.02,moffat,28.74,0.53,1255759200moffat,40.616358,-108.211099,0.98,,0,0,,0,,1024.93,CO,1255786055,1255825853,65.66,1255816800,32.04,1255784400,1255759200,10,169,2.06
