,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,59.78,1254441600,21.34,1254398400,0,montezuma,9.83,0.3,1254376800montezuma,37.338025,-108.595786,0.42,,0,0,,0,,1019.77,CO,1254402678,1254445135,59.78,1254441600,29.91,1254402000,1254376800,10,300,5.46
0,2009-10-02 00:00:00,64.02,1254528000,20.63,1254481200,0,montezuma,10.21,0.3,1254463200montezuma,37.338025,-108.595786,0.45,,0,0,,0,,1017.71,CO,1254489130,1254531445,64.02,1254528000,25.02,1254488400,1254463200,10,134,0.79
0,2009-10-03 00:00:00,66.6,1254607200,25.16,1254571200,0.15,montezuma,17.51,0.33,1254549600montezuma,37.338025,-108.595786,0.48,,0,0,,0,,1008.1,CO,1254575581,1254617754,66.6,1254607200,29.45,1254574800,1254549600,9.93,179,3.75
0,2009-10-04 00:00:00,64.8,1254682800,43.62,1254657600,0.61,montezuma,35.37,0.47,1254636000montezuma,37.338025,-108.595786,0.52,,0.0009,0.0123,1254693600,0.53,rain,1001.13,CO,1254662033,1254704064,64.8,1254682800,47.79,1254657600,1254636000,9.8,183,11.82
0,2009-10-05 00:00:00,57.47,1254787200,31.26,1254801600,0.49,montezuma,24.4,0.39,1254722400montezuma,37.338025,-108.595786,0.55,,0.0001,0.0022,1254762000,0.06,rain,1006.54,CO,1254748486,1254790375,57.47,1254787200,35.51,1254805200,1254722400,9.94,229,7.53
0,2009-10-06 00:00:00,60.28,1254866400,18.59,1254834000,0.02,montezuma,13.93,0.38,1254808800montezuma,37.338025,-108.595786,0.58,,0,0,,0,,1016.34,CO,1254834938,1254876686,60.28,1254866400,24.88,1254834000,1254808800,9.99,129,0.91
0,2009-10-07 00:00:00,62.27,1254949200,32.08,1254909600,0.4,montezuma,30.37,0.53,1254895200montezuma,37.338025,-108.595786,0.62,,0.0016,0.0078,1254916800,0.39,rain,1012.21,CO,1254921391,1254962998,62.27,1254949200,35.67,1254906000,1254895200,9.77,232,1.35
0,2009-10-08 00:00:00,58.68,1255046400,31.86,1254996000,0.37,montezuma,28.79,0.56,1254981600montezuma,37.338025,-108.595786,0.65,,0.0001,0.001,1254988800,0.01,rain,1011.43,CO,1255007844,1255049310,58.68,1255046400,34.92,1255003200,1254981600,9.84,298,3.31
0,2009-10-09 00:00:00,60.89,1255132800,25.22,1255086000,0.06,montezuma,20.63,0.44,1255068000montezuma,37.338025,-108.595786,0.69,,0,0,,0,,1016.25,CO,1255094298,1255135623,60.89,1255132800,28.48,1255093200,1255068000,9.97,287,1.39
0,2009-10-10 00:00:00,65.18,1255212000,25.45,1255176000,0.01,montezuma,19.57,0.39,1255154400montezuma,37.338025,-108.595786,0.73,,0,0,,0,,1013.18,CO,1255180752,1255221936,65.18,1255212000,29.93,1255179600,1255154400,9.99,173,1.54
0,2009-10-11 00:00:00,63.93,1255294800,31.07,1255258800,0.03,montezuma,20.12,0.37,1255240800montezuma,37.338025,-108.595786,0.76,,0,0,,0,,1009.2,CO,1255267206,1255308250,63.93,1255294800,31.98,1255266000,1255240800,9.99,206,3.9
0,2009-10-12 00:00:00,64.07,1255381200,26.91,1255352400,0.14,montezuma,26.06,0.4,1255327200montezuma,37.338025,-108.595786,0.8,,0,0,,0,,1010.43,CO,1255353661,1255394565,64.07,1255381200,35.8,1255352400,1255327200,10,202,3.84
