,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,55.57,1254441600,22,1254402000,0.23,montrose,13.81,0.36,1254376800montrose,38.407507,-108.266282,0.42,,0,0,,0,,1020.16,CO,1254402620,1254445036,55.57,1254441600,29.6,1254402000,1254376800,9.89,294,4.26
0,2009-10-02 00:00:00,61.6,1254528000,21.84,1254488400,0.03,montrose,13.18,0.35,1254463200montrose,38.407507,-108.266282,0.45,,0,0,,0,,1017.64,CO,1254489074,1254531342,61.6,1254528000,26.75,1254488400,1254463200,10,184,1.48
0,2009-10-03 00:00:00,64.15,1254603600,29.61,1254574800,0.17,montrose,16.95,0.32,1254549600montrose,38.407507,-108.266282,0.48,,0,0,,0,,1006.66,CO,1254575529,1254617649,64.15,1254603600,33.07,1254574800,1254549600,9.99,189,2.97
0,2009-10-04 00:00:00,61.29,1254686400,43.8,1254661200,0.57,montrose,33.45,0.45,1254636000montrose,38.407507,-108.266282,0.52,,0.0006,0.0032,1254704400,0.11,rain,998.91,CO,1254661983,1254703956,61.29,1254686400,47.82,1254657600,1254636000,9.92,182,8.7
0,2009-10-05 00:00:00,53.33,1254722400,35.76,1254801600,0.54,montrose,24.77,0.44,1254722400montrose,38.407507,-108.266282,0.55,,0.0001,0.0019,1254722400,0.05,rain,1006.05,CO,1254748439,1254790264,53.33,1254722400,36.48,1254805200,1254722400,9.83,256,5.69
0,2009-10-06 00:00:00,55.68,1254873600,20.2,1254830400,0.04,montrose,17.24,0.43,1254808800montrose,38.407507,-108.266282,0.58,,0,0,,0,,1017.08,CO,1254834894,1254876572,55.68,1254873600,26.58,1254834000,1254808800,9.97,147,1.43
0,2009-10-07 00:00:00,57.97,1254949200,29.21,1254913200,0.37,montrose,26.84,0.51,1254895200montrose,38.407507,-108.266282,0.62,,0.0006,0.0026,1254960000,0.08,rain,1013.06,CO,1254921350,1254962881,57.97,1254949200,33.75,1254920400,1254895200,9.79,177,1.54
0,2009-10-08 00:00:00,56.92,1255046400,32.86,1255006800,0.42,montrose,31.74,0.63,1254981600montrose,38.407507,-108.266282,0.65,,0.0003,0.0057,1255017600,0.25,rain,1010.67,CO,1255007806,1255049190,56.92,1255046400,36.6,1255006800,1254981600,9.71,280,0.59
0,2009-10-09 00:00:00,59.17,1255132800,22.76,1255093200,0.07,montrose,22.06,0.48,1255068000montrose,38.407507,-108.266282,0.69,,0,0,,0,,1015.36,CO,1255094262,1255135500,59.17,1255132800,29.1,1255093200,1255068000,9.94,194,2.16
0,2009-10-10 00:00:00,63.1,1255212000,30.46,1255172400,0.1,montrose,20.36,0.35,1255154400montrose,38.407507,-108.266282,0.73,,0,0,,0,,1010.44,CO,1255180719,1255221811,63.1,1255212000,35.77,1255179600,1255154400,9.98,214,2.41
