,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,58.77,1254434400,31.8,1254402000,0.02,pueblo,13.28,0.25,1254376800pueblo,38.170658,-104.489892,0.42,,0,0,,0,,1012.6,CO,1254401709,1254444135,58.77,1254434400,36.42,1254459600,1254376800,10,305,9.81
0,2009-10-02 00:00:00,60.81,1254520800,27,1254474000,0.01,pueblo,14.83,0.35,1254463200pueblo,38.170658,-104.489892,0.45,,0,0,,0,,1016.61,CO,1254488162,1254530442,60.81,1254520800,27.03,1254484800,1254463200,10,149,1.05
0,2009-10-03 00:00:00,61.52,1254607200,29.17,1254574800,0.06,pueblo,20.59,0.4,1254549600pueblo,38.170658,-104.489892,0.48,,0,0,,0,,1012.44,CO,1254574616,1254616749,61.52,1254607200,29.17,1254574800,1254549600,9.95,154,4.52
0,2009-10-04 00:00:00,60.79,1254700800,35.94,1254654000,0.45,pueblo,37.37,0.68,1254636000pueblo,38.170658,-104.489892,0.52,,0,0,,0,,1008.29,CO,1254661070,1254703057,60.79,1254700800,37.39,1254650400,1254636000,9.34,147,4.41
0,2009-10-05 00:00:00,69.62,1254772800,40.62,1254805200,0.32,pueblo,37.28,0.58,1254722400pueblo,38.170658,-104.489892,0.55,,0.0002,0.0011,1254790800,0.02,rain,1003.81,CO,1254747524,1254789366,69.62,1254772800,42.45,1254805200,1254722400,8.11,227,5.87
0,2009-10-06 00:00:00,64.4,1254873600,30.17,1254823200,0.1,pueblo,26.91,0.53,1254808800pueblo,38.170658,-104.489892,0.58,,0.0002,0.0038,1254873600,0.14,rain,1015.62,CO,1254833979,1254875675,64.4,1254873600,30.32,1254830400,1254808800,9.98,155,2.77
0,2009-10-07 00:00:00,68.86,1254952800,27.55,1254913200,0.23,pueblo,31.29,0.52,1254895200pueblo,38.170658,-104.489892,0.62,,0.0009,0.0171,1254956400,0.58,rain,1011.94,CO,1254920434,1254961984,68.86,1254952800,31.95,1254913200,1254895200,9.5,225,3.47
0,2009-10-08 00:00:00,51.19,1255046400,28.66,1255064400,0.71,pueblo,32.56,0.75,1254981600pueblo,38.170658,-104.489892,0.65,,0.001,0.0058,1255042800,0.26,rain,1014.59,CO,1255006890,1255048294,51.19,1255046400,33.52,1255064400,1254981600,8.59,51,4.43
0,2009-10-09 00:00:00,54.3,1255129200,22.14,1255132800,0.47,pueblo,30.32,0.75,1255068000pueblo,38.170658,-104.489892,0.69,,0.0003,0.0049,1255093200,0.21,rain,1019.17,CO,1255093346,1255134605,54.3,1255129200,28.01,1255132800,1255068000,7.73,131,0.91
0,2009-10-10 00:00:00,35.27,1255219200,15.4,1255183200,0.77,pueblo,21.56,0.78,1255154400pueblo,38.170658,-104.489892,0.73,,0,0,,0,,1024.43,CO,1255179802,1255220916,35.27,1255219200,23.23,1255179600,1255154400,7.55,93,4.6
0,2009-10-11 00:00:00,41.9,1255305600,17.3,1255248000,0.72,pueblo,24.49,0.79,1255240800pueblo,38.170658,-104.489892,0.76,,0,0,,0,,1019.25,CO,1255266258,1255307228,44.58,1255305600,23.83,1255266000,1255240800,7.43,159,4.03
0,2009-10-12 00:00:00,47.08,1255392000,24.83,1255345200,0.5,pueblo,29.5,0.75,1255327200pueblo,38.170658,-104.489892,0.8,,0,0.0009,1255363200,0,,1017.63,CO,1255352715,1255393541,49.84,1255392000,28.62,1255352400,1255327200,8.47,161,3.2
0,2009-10-13 00:00:00,63.06,1255478400,31.04,1255435200,0.69,pueblo,37.82,0.82,1255413600pueblo,38.170658,-104.489892,0.84,,0.0035,0.0216,1255442400,0.61,rain,1017.18,CO,1255439172,1255479854,63.06,1255478400,36.37,1255417200,1255413600,6.56,155,4.23
0,2009-10-14 00:00:00,70.13,1255557600,36.71,1255507200,0.51,pueblo,38.96,0.71,1255500000pueblo,38.170658,-104.489892,0.88,,0.0003,0.0068,1255500000,0.33,rain,1013.65,CO,1255525630,1255566169,70.13,1255557600,39.61,1255525200,1255500000,6.61,252,1.52
0,2009-10-15 00:00:00,68.36,1255644000,35.64,1255608000,0.16,pueblo,32.85,0.53,1255586400pueblo,38.170658,-104.489892,0.91,,0,0,,0,,1017.7,CO,1255612088,1255652484,68.36,1255644000,38.86,1255608000,1255586400,9.73,343,4.57
0,2009-10-16 00:00:00,62.77,1255730400,29.52,1255694400,0.16,pueblo,32.57,0.57,1255672800pueblo,38.170658,-104.489892,0.95,,0,0,,0,,1025.34,CO,1255698547,1255738800,62.77,1255730400,32.58,1255698000,1255672800,9.89,24,1.75
0,2009-10-17 00:00:00,72.24,1255824000,34.27,1255784400,0.12,pueblo,31.28,0.53,1255759200pueblo,38.170658,-104.489892,0.98,,0,0,,0,,1026.97,CO,1255785005,1255825117,72.24,1255824000,34.27,1255784400,1255759200,9.8,204,1.78
0,2009-10-18 00:00:00,78.47,1255899600,33.91,1255870800,0,pueblo,26.63,0.39,1255845600pueblo,38.170658,-104.489892,0.03,,0,0,,0,,1015.32,CO,1255871465,1255911434,80.87,1255899600,38.57,1255867200,1255845600,10,282,6.6
0,2009-10-19 00:00:00,77.91,1255986000,41.66,1255957200,0.08,pueblo,28.21,0.35,1255932000pueblo,38.170658,-104.489892,0.06,,0,0,,0,,1008.97,CO,1255957924,1255997753,77.91,1255986000,44.17,1255957200,1255932000,9.94,276,5.3
0,2009-10-20 00:00:00,66.78,1256072400,23.82,1256083200,0.25,pueblo,31.18,0.51,1256018400pueblo,38.170658,-104.489892,0.09,,0.003,0.0352,1256083200,0.67,rain,1007.93,CO,1256044384,1256084073,66.78,1256072400,33.47,1256083200,1256018400,9.39,0,7.39
0,2009-10-21 00:00:00,39.81,1256169600,23.43,1256140800,0.95,pueblo,32.17,0.86,1256104800pueblo,38.170658,-104.489892,0.12,,0.035,0.0567,1256176800,0.73,rain,1016.53,CO,1256130845,1256170394,41.77,1256169600,33.58,1256173200,1256104800,5.88,357,14.2
0,2009-10-22 00:00:00,41.96,1256248800,24.56,1256205600,0.43,pueblo,29.24,0.75,1256191200pueblo,38.170658,-104.489892,0.15,,0.0008,0.0132,1256191200,0.54,rain,1018.98,CO,1256217306,1256256716,46.07,1256248800,32.39,1256209200,1256191200,9.43,342,5.92
0,2009-10-23 00:00:00,52.67,1256342400,23.81,1256299200,0.21,pueblo,30.06,0.7,1256277600pueblo,38.170658,-104.489892,0.18,,0,0,,0,,1017.81,CO,1256303767,1256343038,52.67,1256342400,30.55,1256299200,1256277600,9.96,272,3.06
