,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,54.31,1254434400,31.67,1254402000,0.39,sedgwick,27.31,0.47,1254376800sedgwick,40.871568,-102.355358,0.42,,0,0,,0,,1011.14,CO,1254401251,1254443569,54.31,1254434400,41.15,1254402000,1254376800,9.94,314,21.45
0,2009-10-02 00:00:00,58.55,1254520800,28.67,1254484800,0.03,sedgwick,22.01,0.4,1254463200sedgwick,40.871568,-102.355358,0.45,,0,0,,0,,1014.46,CO,1254487711,1254529868,58.55,1254520800,36.66,1254546000,1254463200,9.96,314,15.79
0,2009-10-03 00:00:00,60.91,1254607200,23.35,1254574800,0.09,sedgwick,26.02,0.54,1254549600sedgwick,40.871568,-102.355358,0.48,,0.0004,0.0091,1254614400,0.48,rain,1014.01,CO,1254574173,1254616168,60.91,1254607200,27.85,1254571200,1254549600,9.88,125,1.47
0,2009-10-04 00:00:00,45.68,1254700800,32.7,1254657600,0.77,sedgwick,36.32,0.78,1254636000sedgwick,40.871568,-102.355358,0.52,,0.0044,0.0163,1254718800,0.57,rain,1013.16,CO,1254660634,1254702469,49.32,1254700800,39.79,1254657600,1254636000,8.23,109,13.02
0,2009-10-05 00:00:00,57.63,1254769200,36.31,1254805200,0.82,sedgwick,44.21,0.81,1254722400sedgwick,40.871568,-102.355358,0.55,,0.0062,0.0184,1254726000,0.59,rain,1006.97,CO,1254747096,1254788770,57.63,1254769200,41.98,1254805200,1254722400,7.8,103,3.01
0,2009-10-06 00:00:00,58.54,1254873600,24.31,1254830400,0.08,sedgwick,28.84,0.6,1254808800sedgwick,40.871568,-102.355358,0.58,,0,0,,0,,1015.2,CO,1254833558,1254875071,58.54,1254873600,33.64,1254834000,1254808800,10,305,9.99
0,2009-10-07 00:00:00,65.9,1254949200,27.28,1254916800,0.14,sedgwick,30.11,0.55,1254895200sedgwick,40.871568,-102.355358,0.62,,0.0002,0.0034,1254978000,0.12,rain,1012.12,CO,1254920021,1254961373,65.9,1254949200,32.35,1254916800,1254895200,9.93,357,1.94
0,2009-10-08 00:00:00,33.79,1254981600,25.85,1255010400,0.91,sedgwick,30.91,0.82,1254981600sedgwick,40.871568,-102.355358,0.65,,0.0011,0.0035,1255039200,0.12,rain,1018.03,CO,1255006483,1255047676,41.33,1254981600,31.31,1255064400,1254981600,8.3,24,9.36
0,2009-10-09 00:00:00,42.28,1255118400,7.59,1255150800,0.71,sedgwick,27.26,0.79,1255068000sedgwick,40.871568,-102.355358,0.69,0.416,0.0014,0.0104,1255150800,0.51,snow,1021.04,CO,1255092947,1255133979,45.29,1255118400,21.36,1255150800,1255068000,8.16,9,2.92
