,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2009-10-01,67.18,1254355200,52.22,1254319200,0.02,custer,40.74,0.53,1254376800custer,37.8267,-122.4233,0.39,,0,0,,0,,1020.64,MT,1254319556,1254362134,67.18,1254355200,52.22,1254319200,1254294000,9.52,292,4.86
0,2009-10-01 00:00:00,49.28,1254441600,21.64,1254398400,0.18,teller,13.7,0.35,1254376800teller,38.871994,-105.182552,0.42,,0.0002,0.0017,1254405600,0.04,rain,1012.93,CO,1254401889,1254444287,49.28,1254441600,31.69,1254398400,1254376800,9.56,293,11.68
0,2009-10-02 00:00:00,52.73,1254520800,19.62,1254481200,0.05,teller,12.59,0.36,1254463200teller,38.871994,-105.182552,0.45,,0,0,,0,,1016.92,CO,1254488344,1254530592,52.73,1254520800,26.21,1254488400,1254463200,9.92,260,3.9
0,2009-10-03 00:00:00,54.7,1254607200,26.18,1254574800,0.21,teller,18.18,0.41,1254549600teller,38.871994,-105.182552,0.48,,0,0,,0,,1012.42,CO,1254574800,1254616898,54.7,1254607200,29.97,1254574800,1254549600,9.82,186,5.01
0,2009-10-04 00:00:00,45.9,1254690000,31.25,1254646800,0.64,teller,33.13,0.72,1254636000teller,38.871994,-105.182552,0.52,,0.0003,0.0065,1254700800,0.31,rain,1008.54,CO,1254661256,1254703204,49.9,1254690000,34.13,1254650400,1254636000,9.05,166,5.17
0,2009-10-05 00:00:00,53.15,1254765600,29.19,1254805200,0.6,teller,34.74,0.72,1254722400teller,38.871994,-105.182552,0.55,,0.002,0.0134,1254783600,0.54,rain,1004.51,CO,1254747712,1254789510,53.15,1254765600,34.47,1254805200,1254722400,7.38,234,4.11
0,2009-10-06 00:00:00,56.09,1254873600,23.33,1254826800,0.15,teller,23.22,0.57,1254808800teller,38.871994,-105.182552,0.58,,0.0001,0.0034,1254873600,0.12,rain,1016.09,CO,1254834169,1254875817,56.09,1254873600,28.19,1254830400,1254808800,9.87,210,4.26
0,2009-10-07 00:00:00,61.71,1254949200,27.51,1254913200,0.22,teller,25.84,0.48,1254895200teller,38.871994,-105.182552,0.62,,0.0001,0.0029,1254960000,0.09,rain,1011.78,CO,1254920626,1254962125,61.71,1254949200,31.31,1254960000,1254895200,9.54,233,4.96
0,2009-10-08 00:00:00,40.9,1254981600,23.18,1255064400,0.67,teller,28.01,0.76,1254981600teller,38.871994,-105.182552,0.65,,0.0009,0.0063,1255050000,0.29,rain,1014.86,CO,1255007083,1255048433,42.98,1254981600,29.43,1255064400,1254981600,7.36,335,2.56
0,2009-10-09 00:00:00,42.82,1255125600,18.58,1255150800,0.43,teller,25.38,0.73,1255068000teller,38.871994,-105.182552,0.69,0.086,0.0004,0.0033,1255068000,0.11,snow,1019.74,CO,1255093541,1255134742,45.83,1255125600,27.36,1255093200,1255068000,7.81,268,4.78
0,2009-10-10 00:00:00,24.39,1255219200,16.78,1255237200,0.66,teller,19.13,0.73,1255154400teller,38.871994,-105.182552,0.73,,0,0,,0,,1024,CO,1255179999,1255221052,31.95,1255219200,23.02,1255179600,1255154400,7.26,234,4.38
0,2009-10-11 00:00:00,40.16,1255305600,16.21,1255269600,0.59,teller,20.77,0.72,1255240800teller,38.871994,-105.182552,0.76,,0,0,,0,,1018.8,CO,1255266457,1255307362,42.33,1255305600,24.21,1255255200,1255240800,8.3,220,7.47
0,2009-10-12 00:00:00,47.07,1255381200,17.91,1255345200,0.33,teller,25.61,0.67,1255327200teller,38.871994,-105.182552,0.8,,0.0001,0.0019,1255363200,0.05,rain,1017.74,CO,1255352916,1255393673,48.91,1255381200,27.73,1255352400,1255327200,7.79,227,6.51
0,2009-10-13 00:00:00,53.56,1255478400,26.22,1255413600,0.6,teller,32.62,0.78,1255413600teller,38.871994,-105.182552,0.84,,0.0028,0.018,1255446000,0.58,rain,1017.17,CO,1255439375,1255479984,53.56,1255478400,33.23,1255442400,1255413600,6.82,208,5.38
0,2009-10-14 00:00:00,60.45,1255557600,32.29,1255521600,0.5,teller,36.07,0.7,1255500000teller,38.871994,-105.182552,0.88,,0.0011,0.0062,1255500000,0.29,rain,1013.46,CO,1255525834,1255566297,60.45,1255557600,38.32,1255521600,1255500000,6.68,271,6.55
0,2009-10-15 00:00:00,57.7,1255640400,34.33,1255611600,0.3,teller,30.37,0.55,1255586400teller,38.871994,-105.182552,0.91,,0.0004,0.0034,1255611600,0.12,rain,1017.84,CO,1255612294,1255652610,57.7,1255640400,39.15,1255608000,1255586400,9.09,313,6.83
0,2009-10-16 00:00:00,55.48,1255730400,28.39,1255690800,0.16,teller,28.98,0.6,1255672800teller,38.871994,-105.182552,0.95,,0,0,,0,,1025.92,CO,1255698755,1255738924,55.48,1255730400,31.85,1255698000,1255672800,9.53,326,1.73
0,2009-10-17 00:00:00,64.2,1255824000,31.71,1255777200,0.13,teller,27.34,0.54,1255759200teller,38.871994,-105.182552,0.98,,0,0,,0,,1027.57,CO,1255785215,1255825239,64.2,1255824000,31.71,1255777200,1255759200,9.5,221,3.56
